,genes,gene_assoc_w_other_rxns?
ATDAMh,"frozenset({<Gene PF3D7_0111500.1-p1 at 0x2b9d2be97e80>, <Gene PF3D7_0110900.1-p1 at 0x2b9d2be97e48>, <Gene PF3D7_0415600.1-p1 at 0x2b9d2be69908>})",yes
ATPS10rpp,"frozenset({<Gene PF3D7_1311300.1-p1 at 0x2b9d2be69e80>, <Gene PF3D7_1235700.1-p1 at 0x2b9d2be69e10>, <Gene PF3D7_0217100.1-p1 at 0x2b9d2be69e48>})",yes
ATPS3g,"frozenset({<Gene PF3D7_1341900.1-p1 at 0x2b9d2bedd828>, <Gene PF3D7_1464700.1-p1 at 0x2b9d2bedd860>, <Gene PF3D7_1311900.1-p1 at 0x2b9d2bedd6a0>, <Gene PF3D7_1354400.1-p1 at 0x2b9d2bedd6d8>, <Gene PF3D7_0806800.1-p1 at 0x2b9d2bedd710>, <Gene PF3D7_0406100.1-p1 at 0x2b9d2bedd748>, <Gene PF3D7_1306600.1-p1 at 0x2b9d2bedd780>, <Gene PF3D7_0519200.1-p1 at 0x2b9d2bedd7b8>, <Gene PF3D7_1140100.1-p1 at 0x2b9d2bedd7f0>})",yes
ATPS3v,"frozenset({<Gene PF3D7_1341900.1-p1 at 0x2b9d2bedd828>, <Gene PF3D7_1464700.1-p1 at 0x2b9d2bedd860>, <Gene PF3D7_1311900.1-p1 at 0x2b9d2bedd6a0>, <Gene PF3D7_1354400.1-p1 at 0x2b9d2bedd6d8>, <Gene PF3D7_0806800.1-p1 at 0x2b9d2bedd710>, <Gene PF3D7_0406100.1-p1 at 0x2b9d2bedd748>, <Gene PF3D7_1306600.1-p1 at 0x2b9d2bedd780>, <Gene PF3D7_0519200.1-p1 at 0x2b9d2bedd7b8>, <Gene PF3D7_1140100.1-p1 at 0x2b9d2bedd7f0>})",yes
ATPS4rpp,"frozenset({<Gene PF3D7_1311300.1-p1 at 0x2b9d2be69e80>, <Gene PF3D7_1235700.1-p1 at 0x2b9d2be69e10>, <Gene PF3D7_0217100.1-p1 at 0x2b9d2be69e48>})",yes
ATPS4rpp_1,"frozenset({<Gene PF3D7_1311300.1-p1 at 0x2b9d2be69e80>, <Gene PF3D7_0217100.1-p1 at 0x2b9d2be69e48>})",yes
ATPSu,"frozenset({<Gene PF3D7_1311300.1-p1 at 0x2b9d2be69e80>, <Gene PF3D7_0217100.1-p1 at 0x2b9d2be69e48>})",yes
BATHORHODOPSINI,frozenset({<Gene PF3D7_1360500.1-p1 at 0x2b9d2be97e10>}),no
BCAROKT,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
BTP,frozenset({<Gene PF3D7_0817500.1-p1 at 0x2b9d2beddb38>}),no
CA2abcpp,frozenset({<Gene PF3D7_1211900.1-p1 at 0x2b9d2bebc5f8>}),no
CA2t3pp,frozenset({<Gene PF3D7_0603500.1-p1 at 0x2b9d2be699e8>}),no
CBFC,frozenset({<Gene PF3D7_1439400.1-p1 at 0x2b9d2be97358>}),no
CBPSn,frozenset({<Gene PF3D7_1308200.1-p1 at 0x2b9d2be69a20>}),no
CDPDAGS18111Z160h,frozenset({<Gene PF3D7_1409900.1-p1 at 0x2b9d2be69b70>}),no
CDPDAGS1819Z160h,frozenset({<Gene PF3D7_1409900.1-p1 at 0x2b9d2be69b70>}),no
CEF,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
CHITOBpts,frozenset({<Gene PF3D7_1469000.1-p1 at 0x2b9d2bedd4e0>}),no
CHLDA1tu,frozenset({<Gene PF3D7_1229100.1-p1 at 0x2b9d2be75668>}),no
CHLDA2tu,frozenset({<Gene PF3D7_1229100.1-p1 at 0x2b9d2be75668>}),no
CHRS,frozenset({<Gene PF3D7_0623000.1-p1 at 0x2b9d2be97a58>}),no
CHYA2,frozenset({<Gene PF3D7_1469600.1-p1 at 0x2b9d2be86b38>}),no
CLIPAabctex,frozenset({<Gene PF3D7_1426500.1-p1 at 0x2b9d2be69b00>}),no
CLPNS120pp,frozenset({<Gene PF3D7_0609400.1-p1 at 0x2b9d2be69b38>}),no
CLPNS140pp,frozenset({<Gene PF3D7_0609400.1-p1 at 0x2b9d2be69b38>}),no
CLPNS141pp,frozenset({<Gene PF3D7_0609400.1-p1 at 0x2b9d2be69b38>}),no
CLPNS160pp,frozenset({<Gene PF3D7_0609400.1-p1 at 0x2b9d2be69b38>}),no
CLPNS161pp,frozenset({<Gene PF3D7_0609400.1-p1 at 0x2b9d2be69b38>}),no
CLPNS180pp,frozenset({<Gene PF3D7_0609400.1-p1 at 0x2b9d2be69b38>}),no
CLPNS181pp,frozenset({<Gene PF3D7_0609400.1-p1 at 0x2b9d2be69b38>}),no
CMK,frozenset({<Gene PF3D7_0503100.1-p1 at 0x2b9d2bebc828>}),no
COLIPAPabctex,frozenset({<Gene PF3D7_1426500.1-p1 at 0x2b9d2be69b00>}),no
COLIPAabcpp,"frozenset({<Gene PF3D7_1447900.1-p1 at 0x2b9d2be75b00>, <Gene PF3D7_1352100.1-p1 at 0x2b9d2be75e10>, <Gene PF3D7_1145500.1-p1 at 0x2b9d2be75e48>, <Gene PF3D7_0523000.1-p1 at 0x2b9d2be75e80>})",yes
COLIPAabctex,frozenset({<Gene PF3D7_1426500.1-p1 at 0x2b9d2be69b00>}),no
CPPPGO_1,frozenset({<Gene PF3D7_1142400.1-p1 at 0x2b9d2bebca20>}),no
CRO4abcpp,frozenset({<Gene PF3D7_1426500.1-p1 at 0x2b9d2be69b00>}),no
CSp,frozenset({<Gene PF3D7_1022500.1-p1 at 0x2b9d2be86d68>}),no
CU1abcpp,frozenset({<Gene PF3D7_0904900.1-p1 at 0x2b9d2bea83c8>}),no
CU2abcu_syn,frozenset({<Gene PF3D7_0904900.1-p1 at 0x2b9d2bea83c8>}),no
CYO1_KT,"frozenset({<Gene mal_mito_3:mRNA-p1 at 0x2b9d2be97320>, <Gene PF3D7_1439400.1-p1 at 0x2b9d2be97358>})",yes
CYO1b2_syn,frozenset({<Gene mal_mito_2:mRNA-p1 at 0x2b9d2be97390>}),no
CYO1b2pp_syn,frozenset({<Gene mal_mito_2:mRNA-p1 at 0x2b9d2be97390>}),no
CYO1b_syn,frozenset({<Gene mal_mito_2:mRNA-p1 at 0x2b9d2be97390>}),no
CYO1bpp_syn,frozenset({<Gene mal_mito_2:mRNA-p1 at 0x2b9d2be97390>}),no
CYOO2pp,frozenset({<Gene mal_mito_2:mRNA-p1 at 0x2b9d2be97390>}),no
CYTBO3_4pp,frozenset({<Gene mal_mito_2:mRNA-p1 at 0x2b9d2be97390>}),no
CYTMQOR3pp,"frozenset({<Gene mal_mito_3:mRNA-p1 at 0x2b9d2be97320>, <Gene PF3D7_1439400.1-p1 at 0x2b9d2be97358>})",yes
CYTP450Rh,frozenset({<Gene PF3D7_0923200.1-p1 at 0x2b9d2be86cc0>}),no
DGDGD4DS1819Z1634Z7Z10Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
DGDGD4DS1829Z12Z1634Z7Z10Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
DGDGD4DS1839Z12Z15Z1634Z7Z10Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
DGDGD4DS1839Z12Z15Z1644Z7Z10Z13Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
DGDGD7DS1819Z1617Z,"frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>, <Gene PF3D7_0511200.1-p1 at 0x2b9d2be86978>})",yes
DGDGD7DS1829Z12Z1617Z,"frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>, <Gene PF3D7_0511200.1-p1 at 0x2b9d2be86978>})",yes
DGDGW3DS1819Z1637Z10Z13Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
DGDGW3DS1829Z12Z1637Z10Z13Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
DGDGW3DS1839Z12Z15Z160,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
DGDGW3DS1839Z12Z15Z1627Z10Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
DGDGW3DS1839Z12Z15Z1634Z7Z10Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
DGDGW3DS1839Z12Z15Z1637Z10Z13Z1,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
DGDGW3DS1839Z12Z15Z1637Z10Z13Z2,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
DGDGW3DS1839Z12Z15Z1644Z7Z10Z13Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
DGDGW6DS1819Z1627Z10Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
DGDGW6DS1829Z12Z160,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
DGDGW6DS1829Z12Z1617Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
DGDGW6DS1829Z12Z1619Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
DGDGW6DS1829Z12Z1627Z10Z1,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
DGDGW6DS1829Z12Z1627Z10Z2,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
DGDGW6DS1829Z12Z1634Z7Z10Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
DGDGW6DS1829Z12Z1637Z10Z13Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
DHORTSn,frozenset({<Gene PF3D7_1308200.1-p1 at 0x2b9d2be69a20>}),no
DNGALh,frozenset({<Gene PF3D7_0926700.1-p1 at 0x2b9d2be86dd8>}),no
DOLPMTcer,frozenset({<Gene PF3D7_1141600.1-p1 at 0x2b9d2bece630>}),no
DXRI,frozenset({<Gene PF3D7_1467300.1-p1 at 0x2b9d2be69ba8>}),no
DXS,frozenset({<Gene PF3D7_1337200.1-p1 at 0x2b9d2bea8320>}),no
EAR100x_1,frozenset({<Gene PF3D7_0615100.1-p1 at 0x2b9d2be69cf8>}),no
EAR120x_1,frozenset({<Gene PF3D7_0615100.1-p1 at 0x2b9d2be69cf8>}),no
EAR140x_1,frozenset({<Gene PF3D7_0615100.1-p1 at 0x2b9d2be69cf8>}),no
EAR160x_1,frozenset({<Gene PF3D7_0615100.1-p1 at 0x2b9d2be69cf8>}),no
EAR180x_1,frozenset({<Gene PF3D7_0615100.1-p1 at 0x2b9d2be69cf8>}),no
EAR181x_1,frozenset({<Gene PF3D7_0615100.1-p1 at 0x2b9d2be69cf8>}),no
EAR40x_1,frozenset({<Gene PF3D7_0615100.1-p1 at 0x2b9d2be69cf8>}),no
EAR60x_1,frozenset({<Gene PF3D7_0615100.1-p1 at 0x2b9d2be69cf8>}),no
EAR80x_1,frozenset({<Gene PF3D7_0615100.1-p1 at 0x2b9d2be69cf8>}),no
ECA4COLIPAabctex,frozenset({<Gene PF3D7_1426500.1-p1 at 0x2b9d2be69b00>}),no
ENLIPAabctex,frozenset({<Gene PF3D7_1426500.1-p1 at 0x2b9d2be69b00>}),no
ENLIPIDAt1ex,frozenset({<Gene PF3D7_1426500.1-p1 at 0x2b9d2be69b00>}),no
ENOf,frozenset({<Gene PF3D7_1015900.1-p1 at 0x2b9d2bea8240>}),no
FACOAL100p,frozenset({<Gene PF3D7_0525100.1-p1 at 0x2b9d2be86b00>}),no
FACOAL100t2pp,"frozenset({<Gene PF3D7_0215000.1-p1 at 0x2b9d2be97828>, <Gene PF3D7_1238800.1-p1 at 0x2b9d2bea8630>, <Gene PF3D7_0401900.1-p1 at 0x2b9d2bea8668>, <Gene PF3D7_1479000.1-p1 at 0x2b9d2bea86a0>, <Gene PF3D7_1372400.1-p1 at 0x2b9d2be696a0>, <Gene PF3D7_0301000.1-p1 at 0x2b9d2bea86d8>, <Gene PF3D7_0525100.1-p1 at 0x2b9d2be86b00>, <Gene PF3D7_0215300.1-p1 at 0x2b9d2bea8710>, <Gene PF3D7_1253400.1-p1 at 0x2b9d2bea8748>, <Gene PF3D7_0731600.1-p1 at 0x2b9d2bea8780>})",yes
FACOAL120p,frozenset({<Gene PF3D7_0525100.1-p1 at 0x2b9d2be86b00>}),no
FACOAL120t2pp,"frozenset({<Gene PF3D7_0215000.1-p1 at 0x2b9d2be97828>, <Gene PF3D7_1238800.1-p1 at 0x2b9d2bea8630>, <Gene PF3D7_0401900.1-p1 at 0x2b9d2bea8668>, <Gene PF3D7_1479000.1-p1 at 0x2b9d2bea86a0>, <Gene PF3D7_1372400.1-p1 at 0x2b9d2be696a0>, <Gene PF3D7_0301000.1-p1 at 0x2b9d2bea86d8>, <Gene PF3D7_0525100.1-p1 at 0x2b9d2be86b00>, <Gene PF3D7_0215300.1-p1 at 0x2b9d2bea8710>, <Gene PF3D7_1253400.1-p1 at 0x2b9d2bea8748>, <Gene PF3D7_0731600.1-p1 at 0x2b9d2bea8780>})",yes
FACOAL140p,frozenset({<Gene PF3D7_0525100.1-p1 at 0x2b9d2be86b00>}),no
FACOAL140t2pp,"frozenset({<Gene PF3D7_0215000.1-p1 at 0x2b9d2be97828>, <Gene PF3D7_1238800.1-p1 at 0x2b9d2bea8630>, <Gene PF3D7_0401900.1-p1 at 0x2b9d2bea8668>, <Gene PF3D7_1479000.1-p1 at 0x2b9d2bea86a0>, <Gene PF3D7_1372400.1-p1 at 0x2b9d2be696a0>, <Gene PF3D7_0301000.1-p1 at 0x2b9d2bea86d8>, <Gene PF3D7_0525100.1-p1 at 0x2b9d2be86b00>, <Gene PF3D7_0215300.1-p1 at 0x2b9d2bea8710>, <Gene PF3D7_1253400.1-p1 at 0x2b9d2bea8748>, <Gene PF3D7_0731600.1-p1 at 0x2b9d2bea8780>})",yes
FACOAL141p,frozenset({<Gene PF3D7_0525100.1-p1 at 0x2b9d2be86b00>}),no
FACOAL141t2pp,"frozenset({<Gene PF3D7_0215000.1-p1 at 0x2b9d2be97828>, <Gene PF3D7_1238800.1-p1 at 0x2b9d2bea8630>, <Gene PF3D7_0401900.1-p1 at 0x2b9d2bea8668>, <Gene PF3D7_1479000.1-p1 at 0x2b9d2bea86a0>, <Gene PF3D7_1372400.1-p1 at 0x2b9d2be696a0>, <Gene PF3D7_0301000.1-p1 at 0x2b9d2bea86d8>, <Gene PF3D7_0525100.1-p1 at 0x2b9d2be86b00>, <Gene PF3D7_0215300.1-p1 at 0x2b9d2bea8710>, <Gene PF3D7_1253400.1-p1 at 0x2b9d2bea8748>, <Gene PF3D7_0731600.1-p1 at 0x2b9d2bea8780>})",yes
FACOAL160p,frozenset({<Gene PF3D7_0525100.1-p1 at 0x2b9d2be86b00>}),no
FACOAL160t2pp,"frozenset({<Gene PF3D7_0215000.1-p1 at 0x2b9d2be97828>, <Gene PF3D7_1238800.1-p1 at 0x2b9d2bea8630>, <Gene PF3D7_0401900.1-p1 at 0x2b9d2bea8668>, <Gene PF3D7_1479000.1-p1 at 0x2b9d2bea86a0>, <Gene PF3D7_1372400.1-p1 at 0x2b9d2be696a0>, <Gene PF3D7_0301000.1-p1 at 0x2b9d2bea86d8>, <Gene PF3D7_0525100.1-p1 at 0x2b9d2be86b00>, <Gene PF3D7_0215300.1-p1 at 0x2b9d2bea8710>, <Gene PF3D7_1253400.1-p1 at 0x2b9d2bea8748>, <Gene PF3D7_0731600.1-p1 at 0x2b9d2bea8780>})",yes
FACOAL161p,frozenset({<Gene PF3D7_0525100.1-p1 at 0x2b9d2be86b00>}),no
FACOAL161t2pp,"frozenset({<Gene PF3D7_0215000.1-p1 at 0x2b9d2be97828>, <Gene PF3D7_1238800.1-p1 at 0x2b9d2bea8630>, <Gene PF3D7_0401900.1-p1 at 0x2b9d2bea8668>, <Gene PF3D7_1479000.1-p1 at 0x2b9d2bea86a0>, <Gene PF3D7_1372400.1-p1 at 0x2b9d2be696a0>, <Gene PF3D7_0301000.1-p1 at 0x2b9d2bea86d8>, <Gene PF3D7_0525100.1-p1 at 0x2b9d2be86b00>, <Gene PF3D7_0215300.1-p1 at 0x2b9d2bea8710>, <Gene PF3D7_1253400.1-p1 at 0x2b9d2bea8748>, <Gene PF3D7_0731600.1-p1 at 0x2b9d2bea8780>})",yes
FACOAL180t2pp,"frozenset({<Gene PF3D7_0215000.1-p1 at 0x2b9d2be97828>, <Gene PF3D7_1238800.1-p1 at 0x2b9d2bea8630>, <Gene PF3D7_0401900.1-p1 at 0x2b9d2bea8668>, <Gene PF3D7_1479000.1-p1 at 0x2b9d2bea86a0>, <Gene PF3D7_1372400.1-p1 at 0x2b9d2be696a0>, <Gene PF3D7_0301000.1-p1 at 0x2b9d2bea86d8>, <Gene PF3D7_0525100.1-p1 at 0x2b9d2be86b00>, <Gene PF3D7_0215300.1-p1 at 0x2b9d2bea8710>, <Gene PF3D7_1253400.1-p1 at 0x2b9d2bea8748>, <Gene PF3D7_0731600.1-p1 at 0x2b9d2bea8780>})",yes
FACOAL181t2pp,"frozenset({<Gene PF3D7_0215000.1-p1 at 0x2b9d2be97828>, <Gene PF3D7_1238800.1-p1 at 0x2b9d2bea8630>, <Gene PF3D7_0401900.1-p1 at 0x2b9d2bea8668>, <Gene PF3D7_1479000.1-p1 at 0x2b9d2bea86a0>, <Gene PF3D7_1372400.1-p1 at 0x2b9d2be696a0>, <Gene PF3D7_0301000.1-p1 at 0x2b9d2bea86d8>, <Gene PF3D7_0525100.1-p1 at 0x2b9d2be86b00>, <Gene PF3D7_0215300.1-p1 at 0x2b9d2bea8710>, <Gene PF3D7_1253400.1-p1 at 0x2b9d2bea8748>, <Gene PF3D7_0731600.1-p1 at 0x2b9d2bea8780>})",yes
FACOAL60t2pp,"frozenset({<Gene PF3D7_0215000.1-p1 at 0x2b9d2be97828>, <Gene PF3D7_1238800.1-p1 at 0x2b9d2bea8630>, <Gene PF3D7_0401900.1-p1 at 0x2b9d2bea8668>, <Gene PF3D7_1479000.1-p1 at 0x2b9d2bea86a0>, <Gene PF3D7_1372400.1-p1 at 0x2b9d2be696a0>, <Gene PF3D7_0301000.1-p1 at 0x2b9d2bea86d8>, <Gene PF3D7_0525100.1-p1 at 0x2b9d2be86b00>, <Gene PF3D7_0215300.1-p1 at 0x2b9d2bea8710>, <Gene PF3D7_1253400.1-p1 at 0x2b9d2bea8748>, <Gene PF3D7_0731600.1-p1 at 0x2b9d2bea8780>})",yes
FACOAL80p,frozenset({<Gene PF3D7_0525100.1-p1 at 0x2b9d2be86b00>}),no
FACOAL80t2pp,"frozenset({<Gene PF3D7_0215000.1-p1 at 0x2b9d2be97828>, <Gene PF3D7_1238800.1-p1 at 0x2b9d2bea8630>, <Gene PF3D7_0401900.1-p1 at 0x2b9d2bea8668>, <Gene PF3D7_1479000.1-p1 at 0x2b9d2bea86a0>, <Gene PF3D7_1372400.1-p1 at 0x2b9d2be696a0>, <Gene PF3D7_0301000.1-p1 at 0x2b9d2bea86d8>, <Gene PF3D7_0525100.1-p1 at 0x2b9d2be86b00>, <Gene PF3D7_0215300.1-p1 at 0x2b9d2bea8710>, <Gene PF3D7_1253400.1-p1 at 0x2b9d2bea8748>, <Gene PF3D7_0731600.1-p1 at 0x2b9d2bea8780>})",yes
FBA3hi,frozenset({<Gene PF3D7_1444800.1-p1 at 0x2b9d2becea58>}),no
FBAf,frozenset({<Gene PF3D7_1444800.1-p1 at 0x2b9d2becea58>}),no
FBAh,frozenset({<Gene PF3D7_1444800.1-p1 at 0x2b9d2becea58>}),no
FE2Gabcpp,frozenset({<Gene PF3D7_0722400.1-p1 at 0x2b9d2be972b0>}),no
FE3Gabcpp,frozenset({<Gene PF3D7_0722400.1-p1 at 0x2b9d2be972b0>}),no
FE3abch,frozenset({<Gene PF3D7_0522700.1-p1 at 0x2b9d2bece940>}),no
FEENTER2tpp,frozenset({<Gene PF3D7_1339900.1-p1 at 0x2b9d2be75f28>}),no
FNORh,"frozenset({<Gene PF3D7_0623200.1-p1 at 0x2b9d2beddb00>, <Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>})",yes
FORt2pp,frozenset({<Gene PF3D7_0316600.1-p1 at 0x2b9d2be97588>}),no
FORthi,frozenset({<Gene PF3D7_0316600.1-p1 at 0x2b9d2be97588>}),no
FORtppi,frozenset({<Gene PF3D7_0316600.1-p1 at 0x2b9d2be97588>}),no
FPGPL,frozenset({<Gene PF3D7_1444800.1-p1 at 0x2b9d2becea58>}),no
FPPSh,frozenset({<Gene PF3D7_1128400.1-p1 at 0x2b9d2bebcda0>}),no
G3PAT160h,frozenset({<Gene PF3D7_1318200.1-p1 at 0x2b9d2bebc860>}),no
G3PAT180h,frozenset({<Gene PF3D7_1318200.1-p1 at 0x2b9d2bebc860>}),no
G3PAT1819Zh,frozenset({<Gene PF3D7_1318200.1-p1 at 0x2b9d2bebc860>}),no
G3PAT181h,frozenset({<Gene PF3D7_1318200.1-p1 at 0x2b9d2bebc860>}),no
G3PD1,"frozenset({<Gene PF3D7_0306400.1-p1 at 0x2b9d2be97fd0>, <Gene PF3D7_1114800.1-p1 at 0x2b9d2bea84e0>})",yes
G3PO,frozenset({<Gene PF3D7_0306400.1-p1 at 0x2b9d2be97fd0>}),no
G6PIh,frozenset({<Gene PF3D7_1436000.1-p1 at 0x2b9d2be97978>}),no
GALabcpp,frozenset({<Gene PF3D7_1434000.1-p1 at 0x2b9d2be756a0>}),no
GALt2pp,frozenset({<Gene PF3D7_0204700.1-p1 at 0x2b9d2bebcf60>}),no
GCPNn,"frozenset({<Gene PF3D7_1321600.1-p1 at 0x2b9d2bebcc18>, <Gene PF3D7_1321500.1-p1 at 0x2b9d2bebcbe0>, <Gene PF3D7_1321500.2-p1 at 0x2b9d2bebcb70>})",yes
GLCt2pp,frozenset({<Gene PF3D7_0204700.1-p1 at 0x2b9d2bebcf60>}),no
GLNTRAT,"frozenset({<Gene PF3D7_0416100.1-p1 at 0x2b9d2be86898>, <Gene PF3D7_0628800.1-p1 at 0x2b9d2bebc5c0>})",yes
GLUKAh,frozenset({<Gene PF3D7_0624000.1-p1 at 0x2b9d2be979b0>}),no
