,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
no_ortho_PrelictumSGS1-like,APAPTm,CRNCARtm,DOLASNT,PLDAGAT_MYRS_ARA_HDE_PC_1_c,PLDAGAT_HDE_EPA_LNA_PE_9_c,PLDAGAT_EPA_EPA_ARA_PC_5_c,PLDAGAT_EPA_EPA_DHA_PE_13_c,PLDAGAT_HDE_EPA_LNA_PC_3_c,PLDAGAT_PALM_EPA_LNA_PC_3_c,PLDAGAT_EPA_EPA_ARA_PC_4_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pchabaudichabaudi,APAPTm,CRNCARtm,DOLASNT,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_VbrassicaformisCCMP3155,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_Pvinckeivinckeivinckei,APAPTm,CRNCARtm,DOLASNT,CBFCc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EhistolyticaHM1IMSS-A,NALN6,DOLASNTc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_NceranaeBRL01,DXHPScmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcruzimarinkelleiB7,LIPOS,APAPTm,ACSERLm,BC10_new,DOLASNT,PLDAGAT_HDE_PALM_LNA_PC_7_c,AGAT_LLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PcynomolgiB,APAPTm,DOLASNT,CBFCc,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_CfasciculataCfCl,APAPTm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LpyrrhocorisH10,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_GintestinalisAssemblageBGS,NORRDX,DOLASNTc,PLDAGAT_LNA_EPA_LNA_PC_7_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumML01,APAPTm,CRNCARtm,DOLASNT,THZPSN_mt2,THZPSNm,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EaedisUSNM41457,4M2OPLOXRD,PLDAGAT16018111Z1819Z2,PLDAGAT16018111Z1819Z4,PLDAGAT16018111Z1601,PLDAGAT16018111Z1602,PLDAGAT18111Z18111Z1601,PLDAGAT18111Z18111Z18111Z2,PLDAGAT18111Z18111Z1819Z4,NTRARz,PLDAGAT16018111Z18111Z1,PLDAGAT16018111Z18111Z2,PLDAGAT16018111Z1819Z3,PLDAGAT18111Z18111Z1819Z3,THZPSN3,3M2OBLOXRD,3M2OPLOXRD,PLDAGAT16018111Z18111Z3,PLDAGAT16018111Z1819Z1,PLDAGAT18111Z18111Z1602,PLDAGAT18111Z18111Z18111Z1,PLDAGAT18111Z18111Z18111Z3,PLDAGAT18111Z18111Z1819Z1,PLDAGAT18111Z18111Z1819Z2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EinvadensIP1,NALN6,DOLASNTc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_CveliaCCMP2878,DHORD3,DHORD2,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EhepatopenaeiTH1,DXHPScmc,PLDAGAT_HDE_EPA_HDE_PE_15_c,PCW3DS_LNA_EPA_sn2_c,PCD12DS_LNA_LNA_sn1_c,PCW3DS_STC_EPA_sn2_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_CtyzzeriUGA55,FAS141ACPm,FAS181ACPm,SUCFUMtm,PTOR,FAS182ACPm,FAS80ACPm_L,CRNCARtm,FAS161ACPm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_CcayetanensisCHN_HEN01,DHORD2,CRNCARtm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfalciparum7G8,APAPTm,DOLASNT,THZPSN_mt2,THZPSNm,GHMT2r_ap,FA141COAabcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_Heriocheircanceri,DIPS,FEDCabc,TALA,TAhc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
