,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
no_ortho_VbrassicaformisCCMP3155,BTS3r,MCBTS3,UPLA4FNT,HISTRSm,PHETRSm,NALN6,MCBTS2,MCBTS,AGPAT190,GLCTR2,LYSTRSm,PPTTm,GLCR1TRB1,HBZOPT6m_1,MCPST,CRNCARtm,GLCR1TRA1,TPK1,CODH2r,DOLASNT,FEROt,CYSS_m,r0016,3NTYROXDAppc,DVPCHLD450ORc,ENLIPIDAt1exc,PSI_2c,DVPCHLD646ORc,LDL_HSSYNnhs,PLDAGAT_LNA_EPA_GLNA_PC_4_c,PLDAGAT_LNA_EPA_LNA_PC_1_c,PLDAGAT_LNA_EPA_LNA_PC_7_c,PLDAGAT_LNA_EPA_GLNA_PE_14_c,PLDAGAT_PALM_EPA_LNA_PC_7_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_Pvinckeivinckeivinckei,CERS226,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,DHPS,CD2t4,DHPS2,UPLA4FNT,CERS126,HISTRSm,PHETRSm,TRPTRSm,AGPAT190,DHORD2,CERS124,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,ALATL,APAPTm,HEMEOSm_1,ASPTRSm,CERS224,CRNCARtm,DOLASNT,HEMELm,SECYSTL,HCGALm,CBFCc,biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EhistolyticaHM1IMSS-A,NORRDX,UPLA4FNT,NALN6,UPLA4NT,FEDCabc,TPK1,NADDPe,LACZe,ADOCBLPPc,ENLIPIDAt1exc,DOLASNTc,GLUB0AT3tc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_NceranaeBRL01,PANTS,NaKt_1,I2FE2SR,HBZOPT6,GLUS_F420,LIPO3S24_BS,SERTRS,THZPSN3,SERTRS2,DXHPScmc,FAS80ACPm_Lc,ENLIPIDAt1exc,protein_bm,GHMT2r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcruzimarinkelleiB7,HEMEOSm,LIPOS,UPLA4FNT,NALN6,IPDDI3x,AHSERL3,I2FE2SR,2HP6MPMOm,FTHFLmi,LYSTRSm,METTRSm,PPTTm,UPLA4NT,HBZOPT6,HBZOPT6m_1,IPDDI3y,APAPTm,HEMEOSm_1,ACSERLm,APCS,BC10_new,UDPDPS2,DMATT2,DOLASNT,ACSERL,IPDPUPT,NDP3ex,CYSS_m,ENLIPIDAt1exc,CHOPT_MYRS_OLE_c,CHOPT_DHA_DHA_c,CHOLESTle_1nhs,CHOPT_HDE_OLE_c,LDL_HSSYNnhs,PLDAGAT_DHA_EPA_DHA_PC_4_c,CHOPT_MYRS_DHA_c,PLDAGAT_HDE_PALM_EPA_PE_9_c,CHOPT_HDE_HDE_c,PLDAGAT_HDE_EPA_DHA_PC_4_c,HDL_HSDEGnhs,RHAT1,2_7_8_3,CHOPT_HDE_DHA_c,ACOADAGAT_HDE_PALM_EPA_c,LPS3enhs,PLDAGAT_HDE_MYRS_LNA_PE_10_c,PLDAGAT_HDE_EPA_OLE_PE_15_c,LPSe_cho,PLDAGAT_HDE_EPA_LNA_PE_13_c,LPCAT_DHA_DHA_sn2_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PcynomolgiB,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,ASNTRSm,HISTRSm,PHETRSm,FTHFLmi,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6m_1,FEDCabc,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,DOLASNT,HEMELm,NDP3ex,SECYSTL,HCGALm,CBFCc,FCLT_ap,HBZOPTm,DOLPMT3,GHMT2r_ap,GHMT2r_m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_CfasciculataCfCl,SQD2_183_9_12_15,NALN6,SQD2_183_6_9_12,FTHFLmi,LYSTRSm,METTRSm,PPTTm,HBZOPT6m_1,FEDCabc,SQD2_181_9,SQD2_182_9_12,APAPTm,HEMEOSm_1,CRNCARtm,TPK1,SQD2_184_6_9_12_15,DOLASNT,NDP3ex,LACZe,LPSSYN_HPc,ENLIPIDAt1exc,PLDAGAT_HDE_ARA_ARA_PE_13_c,PLDAGAT_LNA_EPA_LNA_PC_3_c,PLDAGAT_DHA_EPA_ARA_PE_13_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LpyrrhocorisH10,SQD2_160,SQD2_183_9_12_15,CD2t4,NALN6,SQD2_183_6_9_12,SQD2_181,FTHFLmi,LYSTRSm,METTRSm,PPTTm,HBZOPT6m_1,FEDCabc,SQD2_161,SQD2_181_9,SQD2_182_9_12,HEMEOSm_1,TECA2S,TPK1,SQD2_180,SQD2_184_6_9_12_15,DOLASNT,NDP3ex,LACZe,ASNNe,ENLIPIDAt1exc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_GintestinalisAssemblageBGS,PPPNDO,CERH124,NORRDX,F4H2O,PYDXO_1,NODOx,NODOy,PYAM5PO,SARCOX,ROO,CINNDO,CERH126,HBZOPT6,PDX5POi,THZPSN3,PYDXNO,G13MT,3NTYROXDAppc,ENLIPIDAt1exc,LLDH_ferr_mc,DOLASNTc,LLDH_ferr_xc,protein_bm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumML01,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CDGGGPP3,CD2t4,ASNTRSm,HISTRSm,PHETRSm,AGPAT190,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,CDGGGPP4,DOLASNT,HEMELm,HCGALm,SECYSTL,CYO1bpp_sync,ENLIPIDAt1exc,CYO1b2pp_sync,THZPSN_mt2,THZPSNm,GHMT2r_ap,GHMT2r_m,DOLPMT3,FCLT_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EaedisUSNM41457,PANTS,4M2OPLOXRD,PLDAGAT16018111Z1819Z2,PLDAGAT16018111Z1819Z4,PLDAGAT16018111Z1601,PLDAGAT16018111Z1602,PLDAGAT18111Z18111Z1601,PLDAGAT18111Z18111Z18111Z2,PLDAGAT18111Z18111Z1819Z4,UREASE,HBZOPT6,FEDCabc,NTRARz,PLDAGAT16018111Z18111Z1,PLDAGAT16018111Z18111Z2,PLDAGAT16018111Z1819Z3,PLDAGAT18111Z18111Z1819Z3,THZPSN3,3M2OBLOXRD,3M2OPLOXRD,TPK1,PLDAGAT16018111Z18111Z3,PLDAGAT16018111Z1819Z1,PLDAGAT18111Z18111Z1602,PLDAGAT18111Z18111Z18111Z1,PLDAGAT18111Z18111Z18111Z3,PLDAGAT18111Z18111Z1819Z1,PLDAGAT18111Z18111Z1819Z2,ENLIPIDAt1exc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EinvadensIP1,2AGPGAT141,MCBTS3,2AGPGAT161,UPLA4FNT,NALN6,MCBTS2,MCBTS,2AGPEAT141,UPLA4NT,HBZOPT6,FEDCabc,2AGPEAT161,NTR3B,LACZe,ASNNe,NADDPe,DVPCHLD450ORc,PCHLD450ORc,DOLASNTc,DVPCHLD646ORc,PCHLD646ORc,protein_bm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_CveliaCCMP2878,BTS3r,DHPS,DHORD3,MCBTS3,DHPS2,BTSr,HEMEOMOm,HISTRSm,PHETRSm,NALN6,FOLD3,MCBTS2,MCBTS,DHORD2,2HP6MPMOm,LYSTRSm,PPTTm,HBZOPT6m_1,MCPST,CRNCARtm,TPK1,FOLD3_1,DOLASNT,URO,SULOm,FEROt,GOX_m,r0016,DVPCHLD450ORc,DVPCHLD646ORc,ENLIPIDAt1exc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EhepatopenaeiTH1,2AGPGAT120,2AGPGAT141,2AGPGAT180,AACPS5,AACPS6,AACPS9,PANTS,2AGPEAT140,2AGPEAT160,2AGPGAT161,AACPS1,AACPS3,AACPS4,AACPS7,UPLA4FNT,2AGPEAT141,2AGPGAT160,ALATA_D2,GRTT,DIPS,UDPDPS,UPLA4NT,HBZOPT6,2AGPEAT120,2AGPEAT161,2AGPEAT180,2AGPEAT181,2AGPGAT140,2AGPGAT181,AACPS2,AACPS8,THZPSN3,TPK1,IPDPUPT,GAL1PPppc,DXHPScmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_CtyzzeriUGA55,FAS141ACPm,FAS181ACPm,THRTRSm,VALTRSm,HEXTT,PREPTHS2,MCBTS3,GRTT2,MEGLYXYLAMH,PTOR,3OAS121,3OAS80,ULA4NFT,FAS182ACPm,HBZOPT6m,HEMEOMOm,HISTRSm,TRPTRSm,MCBTS2,MCBTS,AMYe,GLYCOe,LIDOAMH,3OAS60,ALATA_D2,DMATT,OPMEACPS,2HP6MPMOm,FAS80ACPm_L,GHMT2rm,LYSTRSm,METTRSm,HBZOPT6,HBZOPT6m_1,FEDCabc,ALATL,3OAS141,THZPSN3,ASPTRSm,FAS161ACPm,UDPDPS2,AMYLe,DOLASNT,IPDPUPT,SECYSTL,DVPCHLD450ORc,PCHLD450ORc,ENLIPIDAt1exc,DVPCHLD646ORc,PCHLD646ORc,LPEAT_DHA_EPA_sn2_c,PLDAGAT_MYRS_EPA_LNA_PC_7_c,PLDAGAT_LNA_EPA_ARA_PC_7_c,ps2_ST,ACOADAGAT_OLE_EPA_DHA_c,PLDAGAT_MYRS_EPA_MYRS_PC_8_c,PLDAGAT_OLE_EPA_DHA_PC_6_c,AGPATCOA_MYRS_DHA_c,PLDAGAT_DHA_EPA_DHA_PC_6_c,PLDAGAT_LNA_EPA_LNA_PC_3_c,PLDAGAT_LNA_EPA_ARA_PC_8_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_CcayetanensisCHN_HEN01,2AGPGAT141,THRTRSm,VALTRSm,MCBTS3,MEGLYXYLAMH,HCGALm,DHPS2,HISTRSm,PHETRSm,FOLD3,MCBTS2,MCBTS,AGPAT190,LIDOAMH,2AGPEAT141,DHORD2,LYSTRSm,METTRSm,PPTTm,HBZOPT6,HBZOPT6m_1,FEDCabc,ALATL,G12MT4,MECDPDH5,ASPTRSm,CRNCARtm,DOLASNT,G12MT3,HEMELm,SECYSTL,TREHe,CYSS_m,ENLIPIDAt1exc,PCMEH2ppc,HDSc,GLS2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfalciparum7G8,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CDGGGPP3,CD2t4,ASNTRSm,HISTRSm,PHETRSm,AGPAT190,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,CDGGGPP4,DOLASNT,HEMELm,SECYSTL,HCGALm,CYO1b2pp_sync,CYO1bpp_sync,ENLIPIDAt1exc,THZPSN_mt2,THZPSNm,GHMT2r_ap,GHMT2r_m,DOLPMT3,FCLT_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_Heriocheircanceri,GRTT2,NaKt_1,GRTT,DIPS,UDPDPS,HBZOPT6,FEDCabc,THZPSN3,YUMPS,PSUDS,GGTAe2,MLDEP1ppc,MLDEP2ppc,ENLIPIDAt1exc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EmoshkovskiiLaredo,2AGPGAT141,MCBTS3,NORRDX,NALN6,PPDIMAS,MCBTS2,MCBTS,2AGPEAT141,FEDCabc,THZPSN3,TPK1,PDIMAS,DMATT2,UDCPDPex,LACZe,NADDPe,DOLASNTc,ENLIPIDAt1exc,ADOCBLPPc,HPT_h,G1PUT_h,PINAt_h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_HhammondiHH34,2AGPGAT141,THRTRSm,VALTRSm,IACGAMS,CD2t4,DHPS2,HISTRSm,PHETRSm,2AGPEAT141,DHORD2,LYSTRSm,METTRSm,PPTTm,UREASE,HBZOPT6,HBZOPT6m_1,ALATL,HEMEOSm_1,LIPO3S24_BS,MCPST,ASPTRSm,DOLASNT,HEMELm,SECYSTL,CYSS_m,ENLIPIDAt1exc,DVPCHLD646ORc,PCHLD646ORc,DVPCHLD450ORc,PCHLD450ORc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_OcolligataOC4,2AGPGAT120,2AGPGAT141,2AGPGAT180,PANTS,4M2OPLOXRD,GRTT2,2AGPEAT140,2AGPEAT160,2AGPGAT161,2AGPEAT141,2AGPGAT160,GRTT,DIPS,HBZOPT6,FEDCabc,2AGPEAT120,2AGPEAT161,2AGPEAT180,2AGPEAT181,2AGPGAT140,2AGPGAT181,SERTRS,THZPSN3,3M2OBLOXRD,3M2OPLOXRD,SERTRS2,DXHPScmc,OHPHM6nc,GTHPe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumHB3,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CDGGGPP3,CD2t4,ASNTRSm,HISTRSm,PHETRSm,AGPAT190,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,CDGGGPP4,DOLASNT,HEMELm,HCGALm,SECYSTL,CYO1bpp_sync,ENLIPIDAt1exc,CYO1b2pp_sync,THZPSN_mt2,THZPSNm,GHMT2r_ap,GHMT2r_m,DOLPMT3,FCLT_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcruziSylvioX10-1-2012,FAS141ACPm,FAS181ACPm,HEMEOSm,FAS182ACPm,NALN6,I2FE2SR,2HP6MPMOm,FTHFLmi,LYSTRSm,METTRSm,PPTTm,HBZOPT6,HBZOPT6m_1,APAPTm,HEMEOSm_1,APCS,FAS161ACPm,TPK1,DOLASNT,NDP3ex,ASNNe,CHOPT_OLE_MYRS_c,MOAT2,PLDAGAT_HDE_PALM_LNA_PC_7_c,CHOPT_MYRS_DHA_c,CHOPT_OLE_DHA_c,DHNAPHT,PLDAGAT_HDE_PALM_LNA_PC_3_c,PLDAGAT_LNA_EPA_LNA_PC_8_c,MOAT_HP,CHOPT_MYRS_EPA_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumCD01,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CDGGGPP3,CD2t4,ASNTRSm,HISTRSm,PHETRSm,AGPAT190,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,CDGGGPP4,DOLASNT,HEMELm,HCGALm,SECYSTL,ENLIPIDAt1exc,CBFCc,THZPSN_mt2,THZPSNm,GHMT2r_ap,GHMT2r_m,DOLPMT3,FCLT_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvivaxSal1,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CD2t4,ASNTRSm,HISTRSm,PHETRSm,FTHFLmi,GHMT2rm,LYSTRSm,METTRSm,PPTTm,FEDCabc,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,DOLASNT,HEMELm,SECYSTL,HCGALm,CYO1bpp_sync,ENLIPIDAt1exc,CYO1b2pp_sync,DOLPMT3,GHMT2r_ap,GHMT2r_m,FCLT_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TbruceiLister427_2018,2AGPGAT141,HEMEOSm,CD2t4,2AGPGAT161,AHSERL3,2AGPEAT141,2HP6MPMOm,FTHFLmi,LYSTRSm,METTRSm,PPTTm,HBZOPT6,HBZOPT6m_1,APAPTm,HEMEOSm_1,2AGPEAT161,APCS,DOLASNT,ACSERL,NDP3ex,THIORDXm,CYSS_m,ENLIPIDAt1exc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PvivaxP01,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,DHPS,NTRARf,CD2t4,DHPS2,ASNTRSm,HISTRSm,PHETRSm,FTHFLmi,GHMT2rm,LYSTRSm,METTRSm,PPTTm,FEDCabc,ALATL,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,DOLASNT,HEMELm,HCGALm,SECYSTL,CYO1bpp_sync,ENLIPIDAt1exc,CYO1b2pp_sync,biomass,ACOADAGAT_HDE_EPA_ARA_c,PLDAGAT_HDE_EPA_ARA_PE_11_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_AspWSBS2006,2AGPGAT120,2AGPGAT141,AACPS9,2AGPEAT140,2AGPGAT161,AACPS1,AACPS4,AACPS7,NaKt_1,2AGPEAT141,ALATA_D2,DIPS,NNMT,HBZOPT6,FEDCabc,2AGPEAT120,2AGPEAT161,2AGPGAT140,AACPS2,AACPS8,THZPSN3,TPK1,AHALc,OHPHM6nc,protein_bm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PvinckeipetteriCR,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,DHPS,NTRARf,CD2t4,DHPS2,UPLA4FNT,HISTRSm,PHETRSm,TRPTRSm,CERS124,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,ALATL,APAPTm,HEMEOSm_1,ASPTRSm,CERS224,CRNCARtm,DOLASNT,HEMELm,HCGALm,SECYSTL,CBFCc,biomass,PLDAGAT_HDE_EPA_ARA_PE_13_c,PLDAGAT_EPA_EPA_ARA_PC_2_c,ACOADAGAT_HDE_EPA_DHA_c,ACOADAGAT_HDE_EPA_ARA_c,ACOADAGAT_DHA_EPA_DHA_c,ACOADAGAT_EPA_EPA_ARA_c,LPCAT_HDE_EPA_sn2_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EhistolyticaHM3IMSS,2AGPGAT141,NORRDX,UPLA4FNT,NALN6,2AGPEAT141,UPLA4NT,FEDCabc,TPK1,DMATT2,ENLIPIDAt1exc,DOLASNTc,protein_bm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PfalciparumKH02,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CDGGGPP3,CD2t4,ASNTRSm,HISTRSm,PHETRSm,AGPAT190,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,ALATL,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,CDGGGPP4,DOLASNT,HEMELm,HCGALm,SECYSTL,CYO1bpp_sync,CYO1b2pp_sync,ENLIPIDAt1exc,biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyoeliiyoelii17XNL,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CD2t4,UPLA4FNT,HISTRSm,PHETRSm,LYSTRSm,METTRSm,PPTTm,FEDCabc,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,DOLASNT,HEMELm,HCGALm,SECYSTL,CYO1bpp_sync,CYO1b2pp_sync,ENLIPIDAt1exc,GHMT2r_ap,DOLPMT3,FCLT_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PconfusumCUL13,HEMEOSm,THRTRSm,VALTRSm,MCBTS3,SQD2_160,SQD2_183_9_12_15,CD2t4,MOCOS,WCOS,NALN6,MCBTS2,MCBTS,SQD2_183_6_9_12,SQD2_181,CYANST,2HP6MPMOm,FTHFLmi,GHMT2rm,LYSTRSm,METTRSm,NNDPRm,PPTTm,HBZOPT6,HBZOPT6m_1,FEDCabc,SQD2_161,SQD2_181_9,SQD2_182_9_12,ALATL,APAPTm,HEMEOSm_1,LIPO3S24_BS,TPK1,SQD2_180,SQD2_184_6_9_12_15,DOLASNT,SULOm,NDP3ex,UDCPDPex,RE1860E,SECYSTL,ENLIPIDAt1exc,AHALc,PENAMc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PblacklockiG01,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CDGGGPP3,ASNTRSm,HISTRSm,PHETRSm,GHMT2rm,LYSTRSm,METTRSm,HBZOPT6,FEDCabc,ALATL,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,TPK1,CDGGGPP4,DOLASNT,HEMELm,HCGALm,SECYSTL,CBFCc,ENLIPIDAt1exc,biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EhellemSwiss,PANTS,4M2OPLOXRD,DIPS,HBZOPT6,FEDCabc,AGPAT120,THZPSN3,3M2OBLOXRD,3M2OPLOXRD,L_LACD,ENLIPIDAt1exc,OHPHM6nc,GTHPe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TparvaMuguga,CERS226,C100SN,CERS126,EPISTAT_SC,AGPAT190,TKT2,CERS124,ZYMSTAT_SC,HBZOPT6,FEDCabc,S2FE2SR,CERS224,ERGSTAT_SC,FECOSTAT_SC,LANOSTAT_SC,TPK1,AGPAT160190,CYO1b2pp_sync,HBZOPT6mc,AHALc,CYO1bpp_sync,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_GintestinalisAssemblageEP15,CERH124,NORRDX,F4H2O,PYDXO_1,NODOx,NODOy,PYAM5PO,ROO,CERH126,HBZOPT6,FEDCabc,ACGAMT,PDX5POi,THZPSN3,PYDXNO,G13MT,LLDH_ferr_xc,3NTYROXDAppc,ENLIPIDAt1exc,LLDH_ferr_mc,DOLASNTc,r2420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PfalciparumKH01,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CDGGGPP3,CD2t4,ASNTRSm,HISTRSm,PHETRSm,AGPAT190,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,ALATL,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,CDGGGPP4,DOLASNT,HEMELm,HCGALm,SECYSTL,CYO1bpp_sync,ENLIPIDAt1exc,CYO1b2pp_sync,biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TtheileriEdinburgh,HEMEOSm,THRTRSm,VALTRSm,UPLA4FNT,NALN6,2HP6MPMOm,FTHFLmi,GHMT2rm,LYSTRSm,METTRSm,PPTTm,SUCRe,UPLA4NT,HBZOPT6,HBZOPT6m_1,FEDCabc,ALATL,APAPTm,HEMEOSm_1,APCS,DOLASNT,SULOm,LACZe,NDP3ex,ASNNe,SECYSTL,ENLIPIDAt1exc,NDH1_4ppc,NADPNe,LPCAT_OLE_DHA_sn2_c,CHOPT_OLE_PALM_c,PLDAGAT_PALM_ARA_PALM_PE_14_c,CHOPT_OLE_DHA_c,PLDAGAT_PALM_EPA_DHA_PC_3_c,PLDAGAT_EPA_EPA_LNA_PE_16_c,CHOPT_STC_EPA_c,PLDAGAT_MYRS_EPA_LNA_PE_13_c,PLDAGAT_LNA_EPA_ARA_PC_4_c,PLDAGAT_MYRS_EPA_LNA_PC_2_c,CEPTC_16_0_18_2nhs,PLDAGAT_LNA_EPA_ARA_PC_3_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
