,genes,gene_assoc_w_other_rxns?
ACP1619ZD9DS,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
ACP1819ZD9DS,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
ACPh,frozenset({<Gene PF3D7_1111500.1-p1 at 0x7f93133439b0>}),no
ACSp,frozenset({<Gene PF3D7_0627800.1-p1 at 0x7f93133a2a90>}),no
ADSSh,frozenset({<Gene PF3D7_1354500.1-p1 at 0x7f9313343d30>}),no
AGPAT1601819Zh,frozenset({<Gene PF3D7_1444300.1-p1 at 0x7f93133a2b38>}),no
AGPAT160h,frozenset({<Gene PF3D7_1444300.1-p1 at 0x7f93133a2b38>}),no
AGPAT1801819Zh,frozenset({<Gene PF3D7_1444300.1-p1 at 0x7f93133a2b38>}),no
AGPAT18111Z160h,frozenset({<Gene PF3D7_1444300.1-p1 at 0x7f93133a2b38>}),no
AGPAT18111Z1819Zh,frozenset({<Gene PF3D7_1444300.1-p1 at 0x7f93133a2b38>}),no
AGPAT1819Z160h,frozenset({<Gene PF3D7_1444300.1-p1 at 0x7f93133a2b38>}),no
AGPAT1819Z1619Zh,frozenset({<Gene PF3D7_1444300.1-p1 at 0x7f93133a2b38>}),no
AGPAT1819Z18111Zh,frozenset({<Gene PF3D7_1444300.1-p1 at 0x7f93133a2b38>}),no
AGPAT1819Z1819Zh,frozenset({<Gene PF3D7_1444300.1-p1 at 0x7f93133a2b38>}),no
AHAL,frozenset({<Gene PF3D7_1457200.1-p1 at 0x7f93133ad7f0>}),no
AM6PTh,frozenset({<Gene PF3D7_0624000.1-p1 at 0x7f93133b3c88>}),no
AMITKPn,frozenset({<Gene PF3D7_1316100.1-p1 at 0x7f93133b30b8>}),no
APNn,"frozenset({<Gene PF3D7_1321600.1-p1 at 0x7f9313343eb8>, <Gene PF3D7_1321500.2-p1 at 0x7f9313343e48>, <Gene PF3D7_1321500.1-p1 at 0x7f9313343ef0>})",yes
APhi,frozenset({<Gene PF3D7_1111500.1-p1 at 0x7f93133439b0>}),no
ASO4rt2rpp,frozenset({<Gene PF3D7_1340900.1-p1 at 0x7f93133435c0>}),no
ASPCTn,frozenset({<Gene PF3D7_1308200.1-p1 at 0x7f93133a2cf8>}),no
ATAMh,"frozenset({<Gene PF3D7_0111500.1-p1 at 0x7f93133ba198>, <Gene PF3D7_0415600.1-p1 at 0x7f93133a2be0>, <Gene PF3D7_0110900.1-p1 at 0x7f93133ba160>})",yes
ATDAMh,"frozenset({<Gene PF3D7_0111500.1-p1 at 0x7f93133ba198>, <Gene PF3D7_0415600.1-p1 at 0x7f93133a2be0>, <Gene PF3D7_0110900.1-p1 at 0x7f93133ba160>})",yes
ATPS10rpp,"frozenset({<Gene PF3D7_1235700.1-p1 at 0x7f93133a6198>, <Gene PF3D7_1311300.1-p1 at 0x7f93133a6128>, <Gene PF3D7_0217100.1-p1 at 0x7f93133a6160>})",yes
ATPS3g,"frozenset({<Gene PF3D7_1464700.1-p1 at 0x7f9313351a20>, <Gene PF3D7_1311900.1-p1 at 0x7f9313351a58>, <Gene PF3D7_1354400.1-p1 at 0x7f9313351a90>, <Gene PF3D7_0519200.1-p1 at 0x7f9313351ac8>, <Gene PF3D7_1341900.1-p1 at 0x7f9313351b00>, <Gene PF3D7_1140100.1-p1 at 0x7f9313351b38>, <Gene PF3D7_0406100.1-p1 at 0x7f9313351978>, <Gene PF3D7_1306600.1-p1 at 0x7f93133519b0>, <Gene PF3D7_0806800.1-p1 at 0x7f93133519e8>})",yes
ATPS3v,"frozenset({<Gene PF3D7_1464700.1-p1 at 0x7f9313351a20>, <Gene PF3D7_1311900.1-p1 at 0x7f9313351a58>, <Gene PF3D7_1354400.1-p1 at 0x7f9313351a90>, <Gene PF3D7_0519200.1-p1 at 0x7f9313351ac8>, <Gene PF3D7_1341900.1-p1 at 0x7f9313351b00>, <Gene PF3D7_1140100.1-p1 at 0x7f9313351b38>, <Gene PF3D7_0406100.1-p1 at 0x7f9313351978>, <Gene PF3D7_1306600.1-p1 at 0x7f93133519b0>, <Gene PF3D7_0806800.1-p1 at 0x7f93133519e8>})",yes
ATPS4rpp,"frozenset({<Gene PF3D7_1235700.1-p1 at 0x7f93133a6198>, <Gene PF3D7_1311300.1-p1 at 0x7f93133a6128>, <Gene PF3D7_0217100.1-p1 at 0x7f93133a6160>})",yes
ATPS4rpp_1,"frozenset({<Gene PF3D7_1311300.1-p1 at 0x7f93133a6128>, <Gene PF3D7_0217100.1-p1 at 0x7f93133a6160>})",yes
ATPSu,"frozenset({<Gene PF3D7_1311300.1-p1 at 0x7f93133a6128>, <Gene PF3D7_0217100.1-p1 at 0x7f93133a6160>})",yes
BATHORHODOPSINI,frozenset({<Gene PF3D7_1360500.1-p1 at 0x7f93133ba1d0>}),no
BCAROKT,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
BTP,frozenset({<Gene PF3D7_0817500.1-p1 at 0x7f9313351e10>}),no
CA2abcpp,frozenset({<Gene PF3D7_1211900.1-p1 at 0x7f93133438d0>}),no
CA2t3pp,frozenset({<Gene PF3D7_0603500.1-p1 at 0x7f93133a2cc0>}),no
CBFC,frozenset({<Gene PF3D7_1439400.1-p1 at 0x7f93133b3630>}),no
CBPSn,frozenset({<Gene PF3D7_1308200.1-p1 at 0x7f93133a2cf8>}),no
CDPDAGS18111Z160h,frozenset({<Gene PF3D7_1409900.1-p1 at 0x7f93133a2e48>}),no
CDPDAGS1819Z160h,frozenset({<Gene PF3D7_1409900.1-p1 at 0x7f93133a2e48>}),no
CEF,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
CHITOBpts,frozenset({<Gene PF3D7_1469000.1-p1 at 0x7f93133517b8>}),no
CHLDA1tu,frozenset({<Gene PF3D7_1229100.1-p1 at 0x7f93133a6940>}),no
CHLDA2tu,frozenset({<Gene PF3D7_1229100.1-p1 at 0x7f93133a6940>}),no
CHRS,frozenset({<Gene PF3D7_0623000.1-p1 at 0x7f93133b3d30>}),no
CHYA2,frozenset({<Gene PF3D7_1469600.1-p1 at 0x7f93133ade10>}),no
CLIPAabctex,frozenset({<Gene PF3D7_1426500.1-p1 at 0x7f93133a2dd8>}),no
CLPNS120pp,frozenset({<Gene PF3D7_0609400.1-p1 at 0x7f93133a2e10>}),no
CLPNS140pp,frozenset({<Gene PF3D7_0609400.1-p1 at 0x7f93133a2e10>}),no
CLPNS141pp,frozenset({<Gene PF3D7_0609400.1-p1 at 0x7f93133a2e10>}),no
CLPNS160pp,frozenset({<Gene PF3D7_0609400.1-p1 at 0x7f93133a2e10>}),no
CLPNS161pp,frozenset({<Gene PF3D7_0609400.1-p1 at 0x7f93133a2e10>}),no
CLPNS180pp,frozenset({<Gene PF3D7_0609400.1-p1 at 0x7f93133a2e10>}),no
CLPNS181pp,frozenset({<Gene PF3D7_0609400.1-p1 at 0x7f93133a2e10>}),no
CMK,frozenset({<Gene PF3D7_0503100.1-p1 at 0x7f9313343b00>}),no
COLIPAPabctex,frozenset({<Gene PF3D7_1426500.1-p1 at 0x7f93133a2dd8>}),no
COLIPAabcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
COLIPAabctex,frozenset({<Gene PF3D7_1426500.1-p1 at 0x7f93133a2dd8>}),no
CPPPGO_1,frozenset({<Gene PF3D7_1142400.1-p1 at 0x7f9313343cf8>}),no
CRO4abcpp,frozenset({<Gene PF3D7_1426500.1-p1 at 0x7f93133a2dd8>}),no
CSp,frozenset({<Gene PF3D7_1022500.1-p1 at 0x7f93133b3080>}),no
CU1abcpp,frozenset({<Gene PF3D7_0904900.1-p1 at 0x7f93133ba668>}),no
CU2abcu_syn,frozenset({<Gene PF3D7_0904900.1-p1 at 0x7f93133ba668>}),no
CYO1_KT,"frozenset({<Gene PF3D7_1439400.1-p1 at 0x7f93133b3630>, <Gene mal_mito_3:mRNA-p1 at 0x7f93133b35f8>})",yes
CYO1b2_syn,frozenset({<Gene mal_mito_2:mRNA-p1 at 0x7f93133b3668>}),no
CYO1b2pp_syn,frozenset({<Gene mal_mito_2:mRNA-p1 at 0x7f93133b3668>}),no
CYO1b_syn,frozenset({<Gene mal_mito_2:mRNA-p1 at 0x7f93133b3668>}),no
CYO1bpp_syn,frozenset({<Gene mal_mito_2:mRNA-p1 at 0x7f93133b3668>}),no
CYOO2pp,frozenset({<Gene mal_mito_2:mRNA-p1 at 0x7f93133b3668>}),no
CYTBO3_4pp,frozenset({<Gene mal_mito_2:mRNA-p1 at 0x7f93133b3668>}),no
CYTMQOR3pp,"frozenset({<Gene PF3D7_1439400.1-p1 at 0x7f93133b3630>, <Gene mal_mito_3:mRNA-p1 at 0x7f93133b35f8>})",yes
CYTP450Rh,frozenset({<Gene PF3D7_0923200.1-p1 at 0x7f93133adf98>}),no
DGDGD4DS1819Z1634Z7Z10Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
DGDGD4DS1829Z12Z1634Z7Z10Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
DGDGD4DS1839Z12Z15Z1634Z7Z10Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
DGDGD4DS1839Z12Z15Z1644Z7Z10Z13Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
DGDGD7DS1819Z1617Z,"frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>, <Gene PF3D7_0511200.1-p1 at 0x7f93133adc50>})",yes
DGDGD7DS1829Z12Z1617Z,"frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>, <Gene PF3D7_0511200.1-p1 at 0x7f93133adc50>})",yes
DGDGW3DS1819Z1637Z10Z13Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
DGDGW3DS1829Z12Z1637Z10Z13Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
DGDGW3DS1839Z12Z15Z160,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
DGDGW3DS1839Z12Z15Z1627Z10Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
DGDGW3DS1839Z12Z15Z1634Z7Z10Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
DGDGW3DS1839Z12Z15Z1637Z10Z13Z1,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
DGDGW3DS1839Z12Z15Z1637Z10Z13Z2,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
DGDGW3DS1839Z12Z15Z1644Z7Z10Z13Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
DGDGW6DS1819Z1627Z10Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
DGDGW6DS1829Z12Z160,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
DGDGW6DS1829Z12Z1617Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
DGDGW6DS1829Z12Z1619Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
DGDGW6DS1829Z12Z1627Z10Z1,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
DGDGW6DS1829Z12Z1627Z10Z2,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
DGDGW6DS1829Z12Z1634Z7Z10Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
DGDGW6DS1829Z12Z1637Z10Z13Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
DHORTSn,frozenset({<Gene PF3D7_1308200.1-p1 at 0x7f93133a2cf8>}),no
DNGALh,frozenset({<Gene PF3D7_0926700.1-p1 at 0x7f93133b30f0>}),no
DOLPMTcer,frozenset({<Gene PF3D7_1141600.1-p1 at 0x7f931334a908>}),no
DXRI,frozenset({<Gene PF3D7_1467300.1-p1 at 0x7f93133a2e80>}),no
DXS,frozenset({<Gene PF3D7_1337200.1-p1 at 0x7f93133ba5f8>}),no
EAR100x_1,frozenset({<Gene PF3D7_0615100.1-p1 at 0x7f93133a2fd0>}),no
EAR120x_1,frozenset({<Gene PF3D7_0615100.1-p1 at 0x7f93133a2fd0>}),no
EAR140x_1,frozenset({<Gene PF3D7_0615100.1-p1 at 0x7f93133a2fd0>}),no
EAR160x_1,frozenset({<Gene PF3D7_0615100.1-p1 at 0x7f93133a2fd0>}),no
EAR180x_1,frozenset({<Gene PF3D7_0615100.1-p1 at 0x7f93133a2fd0>}),no
EAR181x_1,frozenset({<Gene PF3D7_0615100.1-p1 at 0x7f93133a2fd0>}),no
EAR40x_1,frozenset({<Gene PF3D7_0615100.1-p1 at 0x7f93133a2fd0>}),no
EAR60x_1,frozenset({<Gene PF3D7_0615100.1-p1 at 0x7f93133a2fd0>}),no
EAR80x_1,frozenset({<Gene PF3D7_0615100.1-p1 at 0x7f93133a2fd0>}),no
ECA4COLIPAabctex,frozenset({<Gene PF3D7_1426500.1-p1 at 0x7f93133a2dd8>}),no
ENLIPAabctex,frozenset({<Gene PF3D7_1426500.1-p1 at 0x7f93133a2dd8>}),no
ENLIPIDAt1ex,frozenset({<Gene PF3D7_1426500.1-p1 at 0x7f93133a2dd8>}),no
ENOf,frozenset({<Gene PF3D7_1015900.1-p1 at 0x7f93133ba518>}),no
FACOAL100p,frozenset({<Gene PF3D7_0525100.1-p1 at 0x7f93133addd8>}),no
FACOAL100t2pp,"frozenset({<Gene PF3D7_1253400.1-p1 at 0x7f93133baa20>, <Gene PF3D7_1479000.1-p1 at 0x7f93133baa58>, <Gene PF3D7_0401900.1-p1 at 0x7f93133ba908>, <Gene PF3D7_0215000.1-p1 at 0x7f93133b3b00>, <Gene PF3D7_1238800.1-p1 at 0x7f93133ba940>, <Gene PF3D7_1372400.1-p1 at 0x7f93133a2940>, <Gene PF3D7_0301000.1-p1 at 0x7f93133ba978>, <Gene PF3D7_0731600.1-p1 at 0x7f93133ba9b0>, <Gene PF3D7_0525100.1-p1 at 0x7f93133addd8>, <Gene PF3D7_0215300.1-p1 at 0x7f93133ba9e8>})",yes
FACOAL120p,frozenset({<Gene PF3D7_0525100.1-p1 at 0x7f93133addd8>}),no
FACOAL120t2pp,"frozenset({<Gene PF3D7_1253400.1-p1 at 0x7f93133baa20>, <Gene PF3D7_1479000.1-p1 at 0x7f93133baa58>, <Gene PF3D7_0401900.1-p1 at 0x7f93133ba908>, <Gene PF3D7_0215000.1-p1 at 0x7f93133b3b00>, <Gene PF3D7_1238800.1-p1 at 0x7f93133ba940>, <Gene PF3D7_1372400.1-p1 at 0x7f93133a2940>, <Gene PF3D7_0301000.1-p1 at 0x7f93133ba978>, <Gene PF3D7_0731600.1-p1 at 0x7f93133ba9b0>, <Gene PF3D7_0525100.1-p1 at 0x7f93133addd8>, <Gene PF3D7_0215300.1-p1 at 0x7f93133ba9e8>})",yes
FACOAL140p,frozenset({<Gene PF3D7_0525100.1-p1 at 0x7f93133addd8>}),no
FACOAL140t2pp,"frozenset({<Gene PF3D7_1253400.1-p1 at 0x7f93133baa20>, <Gene PF3D7_1479000.1-p1 at 0x7f93133baa58>, <Gene PF3D7_0401900.1-p1 at 0x7f93133ba908>, <Gene PF3D7_0215000.1-p1 at 0x7f93133b3b00>, <Gene PF3D7_1238800.1-p1 at 0x7f93133ba940>, <Gene PF3D7_1372400.1-p1 at 0x7f93133a2940>, <Gene PF3D7_0301000.1-p1 at 0x7f93133ba978>, <Gene PF3D7_0731600.1-p1 at 0x7f93133ba9b0>, <Gene PF3D7_0525100.1-p1 at 0x7f93133addd8>, <Gene PF3D7_0215300.1-p1 at 0x7f93133ba9e8>})",yes
FACOAL141p,frozenset({<Gene PF3D7_0525100.1-p1 at 0x7f93133addd8>}),no
FACOAL141t2pp,"frozenset({<Gene PF3D7_1253400.1-p1 at 0x7f93133baa20>, <Gene PF3D7_1479000.1-p1 at 0x7f93133baa58>, <Gene PF3D7_0401900.1-p1 at 0x7f93133ba908>, <Gene PF3D7_0215000.1-p1 at 0x7f93133b3b00>, <Gene PF3D7_1238800.1-p1 at 0x7f93133ba940>, <Gene PF3D7_1372400.1-p1 at 0x7f93133a2940>, <Gene PF3D7_0301000.1-p1 at 0x7f93133ba978>, <Gene PF3D7_0731600.1-p1 at 0x7f93133ba9b0>, <Gene PF3D7_0525100.1-p1 at 0x7f93133addd8>, <Gene PF3D7_0215300.1-p1 at 0x7f93133ba9e8>})",yes
FACOAL160p,frozenset({<Gene PF3D7_0525100.1-p1 at 0x7f93133addd8>}),no
FACOAL160t2pp,"frozenset({<Gene PF3D7_1253400.1-p1 at 0x7f93133baa20>, <Gene PF3D7_1479000.1-p1 at 0x7f93133baa58>, <Gene PF3D7_0401900.1-p1 at 0x7f93133ba908>, <Gene PF3D7_0215000.1-p1 at 0x7f93133b3b00>, <Gene PF3D7_1238800.1-p1 at 0x7f93133ba940>, <Gene PF3D7_1372400.1-p1 at 0x7f93133a2940>, <Gene PF3D7_0301000.1-p1 at 0x7f93133ba978>, <Gene PF3D7_0731600.1-p1 at 0x7f93133ba9b0>, <Gene PF3D7_0525100.1-p1 at 0x7f93133addd8>, <Gene PF3D7_0215300.1-p1 at 0x7f93133ba9e8>})",yes
FACOAL161p,frozenset({<Gene PF3D7_0525100.1-p1 at 0x7f93133addd8>}),no
FACOAL161t2pp,"frozenset({<Gene PF3D7_1253400.1-p1 at 0x7f93133baa20>, <Gene PF3D7_1479000.1-p1 at 0x7f93133baa58>, <Gene PF3D7_0401900.1-p1 at 0x7f93133ba908>, <Gene PF3D7_0215000.1-p1 at 0x7f93133b3b00>, <Gene PF3D7_1238800.1-p1 at 0x7f93133ba940>, <Gene PF3D7_1372400.1-p1 at 0x7f93133a2940>, <Gene PF3D7_0301000.1-p1 at 0x7f93133ba978>, <Gene PF3D7_0731600.1-p1 at 0x7f93133ba9b0>, <Gene PF3D7_0525100.1-p1 at 0x7f93133addd8>, <Gene PF3D7_0215300.1-p1 at 0x7f93133ba9e8>})",yes
FACOAL180t2pp,"frozenset({<Gene PF3D7_1253400.1-p1 at 0x7f93133baa20>, <Gene PF3D7_1479000.1-p1 at 0x7f93133baa58>, <Gene PF3D7_0401900.1-p1 at 0x7f93133ba908>, <Gene PF3D7_0215000.1-p1 at 0x7f93133b3b00>, <Gene PF3D7_1238800.1-p1 at 0x7f93133ba940>, <Gene PF3D7_1372400.1-p1 at 0x7f93133a2940>, <Gene PF3D7_0301000.1-p1 at 0x7f93133ba978>, <Gene PF3D7_0731600.1-p1 at 0x7f93133ba9b0>, <Gene PF3D7_0525100.1-p1 at 0x7f93133addd8>, <Gene PF3D7_0215300.1-p1 at 0x7f93133ba9e8>})",yes
FACOAL181t2pp,"frozenset({<Gene PF3D7_1253400.1-p1 at 0x7f93133baa20>, <Gene PF3D7_1479000.1-p1 at 0x7f93133baa58>, <Gene PF3D7_0401900.1-p1 at 0x7f93133ba908>, <Gene PF3D7_0215000.1-p1 at 0x7f93133b3b00>, <Gene PF3D7_1238800.1-p1 at 0x7f93133ba940>, <Gene PF3D7_1372400.1-p1 at 0x7f93133a2940>, <Gene PF3D7_0301000.1-p1 at 0x7f93133ba978>, <Gene PF3D7_0731600.1-p1 at 0x7f93133ba9b0>, <Gene PF3D7_0525100.1-p1 at 0x7f93133addd8>, <Gene PF3D7_0215300.1-p1 at 0x7f93133ba9e8>})",yes
FACOAL60t2pp,"frozenset({<Gene PF3D7_1253400.1-p1 at 0x7f93133baa20>, <Gene PF3D7_1479000.1-p1 at 0x7f93133baa58>, <Gene PF3D7_0401900.1-p1 at 0x7f93133ba908>, <Gene PF3D7_0215000.1-p1 at 0x7f93133b3b00>, <Gene PF3D7_1238800.1-p1 at 0x7f93133ba940>, <Gene PF3D7_1372400.1-p1 at 0x7f93133a2940>, <Gene PF3D7_0301000.1-p1 at 0x7f93133ba978>, <Gene PF3D7_0731600.1-p1 at 0x7f93133ba9b0>, <Gene PF3D7_0525100.1-p1 at 0x7f93133addd8>, <Gene PF3D7_0215300.1-p1 at 0x7f93133ba9e8>})",yes
FACOAL80p,frozenset({<Gene PF3D7_0525100.1-p1 at 0x7f93133addd8>}),no
FACOAL80t2pp,"frozenset({<Gene PF3D7_1253400.1-p1 at 0x7f93133baa20>, <Gene PF3D7_1479000.1-p1 at 0x7f93133baa58>, <Gene PF3D7_0401900.1-p1 at 0x7f93133ba908>, <Gene PF3D7_0215000.1-p1 at 0x7f93133b3b00>, <Gene PF3D7_1238800.1-p1 at 0x7f93133ba940>, <Gene PF3D7_1372400.1-p1 at 0x7f93133a2940>, <Gene PF3D7_0301000.1-p1 at 0x7f93133ba978>, <Gene PF3D7_0731600.1-p1 at 0x7f93133ba9b0>, <Gene PF3D7_0525100.1-p1 at 0x7f93133addd8>, <Gene PF3D7_0215300.1-p1 at 0x7f93133ba9e8>})",yes
FBA3hi,frozenset({<Gene PF3D7_1444800.1-p1 at 0x7f931334ad30>}),no
FBAf,frozenset({<Gene PF3D7_1444800.1-p1 at 0x7f931334ad30>}),no
FBAh,frozenset({<Gene PF3D7_1444800.1-p1 at 0x7f931334ad30>}),no
FE2Gabcpp,frozenset({<Gene PF3D7_0722400.1-p1 at 0x7f93133b3588>}),no
FE3Gabcpp,frozenset({<Gene PF3D7_0722400.1-p1 at 0x7f93133b3588>}),no
FE3abch,frozenset({<Gene PF3D7_0522700.1-p1 at 0x7f931334ac18>}),no
FEENTER2tpp,frozenset({<Gene PF3D7_1339900.1-p1 at 0x7f93133ad240>}),no
FNORh,"frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>, <Gene PF3D7_0623200.1-p1 at 0x7f9313351dd8>})",yes
FORt2pp,frozenset({<Gene PF3D7_0316600.1-p1 at 0x7f93133b3860>}),no
FORthi,frozenset({<Gene PF3D7_0316600.1-p1 at 0x7f93133b3860>}),no
FORtppi,frozenset({<Gene PF3D7_0316600.1-p1 at 0x7f93133b3860>}),no
FPGPL,frozenset({<Gene PF3D7_1444800.1-p1 at 0x7f931334ad30>}),no
FPPSh,frozenset({<Gene PF3D7_1128400.1-p1 at 0x7f931334a0b8>}),no
G3PAT160h,frozenset({<Gene PF3D7_1318200.1-p1 at 0x7f9313343b38>}),no
G3PAT180h,frozenset({<Gene PF3D7_1318200.1-p1 at 0x7f9313343b38>}),no
G3PAT1819Zh,frozenset({<Gene PF3D7_1318200.1-p1 at 0x7f9313343b38>}),no
G3PAT181h,frozenset({<Gene PF3D7_1318200.1-p1 at 0x7f9313343b38>}),no
G3PD1,"frozenset({<Gene PF3D7_1114800.1-p1 at 0x7f93133ba7b8>, <Gene PF3D7_0306400.1-p1 at 0x7f93133ba2e8>})",yes
G3PO,frozenset({<Gene PF3D7_0306400.1-p1 at 0x7f93133ba2e8>}),no
G6PIh,frozenset({<Gene PF3D7_1436000.1-p1 at 0x7f93133b3c50>}),no
GALabcpp,frozenset({<Gene PF3D7_1434000.1-p1 at 0x7f93133a6978>}),no
GALt2pp,frozenset({<Gene PF3D7_0204700.1-p1 at 0x7f931334a278>}),no
GCPNn,"frozenset({<Gene PF3D7_1321600.1-p1 at 0x7f9313343eb8>, <Gene PF3D7_1321500.2-p1 at 0x7f9313343e48>, <Gene PF3D7_1321500.1-p1 at 0x7f9313343ef0>})",yes
GLCt2pp,frozenset({<Gene PF3D7_0204700.1-p1 at 0x7f931334a278>}),no
GLNTRAT,"frozenset({<Gene PF3D7_0628800.1-p1 at 0x7f9313343898>, <Gene PF3D7_0416100.1-p1 at 0x7f93133adb70>})",yes
GLUKAh,frozenset({<Gene PF3D7_0624000.1-p1 at 0x7f93133b3c88>}),no
GLUKBh,frozenset({<Gene PF3D7_0624000.1-p1 at 0x7f93133b3c88>}),no
GLUS,frozenset({<Gene PF3D7_1435300.1-p1 at 0x7f93133a62e8>}),no
GLUS_ferr,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
GLUS_nadph,frozenset({<Gene PF3D7_1435300.1-p1 at 0x7f93133a62e8>}),no
GLUTRS_Gln,frozenset({<Gene PF3D7_1357200.1-p1 at 0x7f93133a6240>}),no
GLYALDtpp,frozenset({<Gene PF3D7_1132800.1-p1 at 0x7f93133a60f0>}),no
GLYCtpp,"frozenset({<Gene spontaneous at 0x7f93133ba898>, <Gene PF3D7_1132800.1-p1 at 0x7f93133a60f0>})",yes
GM1LIPAabcpp,frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>}),no
GM2LIPAabcpp,frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>}),no
