,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
no_ortho_TgondiiFOU,THZPSN,DLYSOXGAT,DES_9,LIPOS,CPPPGOAN2,CPPPGO2,THZSN,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_NausubeliERTm2,THZPSN,PCDAGAT,FEDCabc,SHSL2,DOLASNTc,DXHPScmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LgerbilliLEM452,THZPSN,DES_9,ACSERSULLm,LIPOS,APAPTm,ACSERLm,ARGN_1,THZSN,DES_6,DES_6B,DOLASNT,PLDAGAT_PALM_EPA_DHA_PE_15_c,PLDAGAT_DHA_EPA_DHA_PE_15_c,PLDAGAT_DHA_EPA_DHA_PE_9_c,PLDAGAT_MYRS_EPA_DHA_PE_9_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PreichenowiCDC,DES_9,LIPOS,DXHPScm,ADSHm,APAPTm,APCS,SPRMS,DOLASNT,r2411,DAGAH_EPA_DHA_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcongolenseIL3000,THZPSN,FAS141ACPm,FAS181ACPm,AGM4PA,LIPOS,FAS182ACPm,PUNP8,AGM3PA,FAS180ACPm,PCDAGAT,FORGLUIH,APAPTm,FAS161ACPm,DOLASNT,PLDPE_HDE_ARA_c,PLDAGAT_HDE_EPA_LNA_PC_1_c,GLUDC_m,PLA2PC_HDE_DHA_c,PLDAGAT_HDE_HDE_HDE_PE_15_c,PLDAGAT_MYRS_EPA_HDE_PC_3_c,PLDAGAT_EPA_EPA_ARA_PC_3_c,PLDAGAT_HDE_PALM_LNA_PC_2_c,PLDAGAT_PALM_PALM_LNA_PC_1_c,PLDAGAT_HDE_EPA_LNA_PC_2_c,BLUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LaethiopicaL147,THZPSN,DES_9,ACSERSULLm,LIPOS,APAPTm,ACSERLm,THZSN,DES_6,DES_6B,DOLASNT,ACPS,ACPSm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_ChominisUdeA01,THZPSN,FAS141ACPm,FAS181ACPm,PSERDm_SC,SUCFUMtm,PTOR,CLPNS2_BS,HKNTDH,DXHPScm,FAS160ACPm,FAS182ACPm,OAAICITtm,FAS120ACPm,FAS140ACPm,FAS180ACPm,FAS80ACPm_L,ADSHm,CRNCARtm,FAS100ACPm,FAS161ACPm,THZSN,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_CsuisWienI,THZPSN,LNS14DM,DES_9,AGM4PH,LIPOS,DXHPScm,MG3A,AGM3PH,DHORD2,LNS14DMx,NOS,NOS2_1,AGMH,DHORD5,ALASm,THZSN,OIVD3m,DOLASNT,MG3B,GGH_6DHFl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PbergheiANKA,THZPSN,DLYSOXGAT,DES_9,LIPOS,DXHPScm,PCDAGAT,ADSHm,APAPTm,THZSN,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcruziDm28c2018,THZPSN,DES_9,ACSERSULLm,LIPOS,S2FE2ST,DES_15,APAPTm,ACSERLm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
