,genes,gene_assoc_w_other_rxns?
DGDGW3DS1839Z12Z15Z1627Z10Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
DGDGW3DS1839Z12Z15Z1634Z7Z10Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
DGDGW3DS1839Z12Z15Z1637Z10Z13Z1,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
DGDGW3DS1839Z12Z15Z1637Z10Z13Z2,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
DGDGW3DS1839Z12Z15Z1644Z7Z10Z13Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
DGDGW6DS1819Z1627Z10Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
DGDGW6DS1829Z12Z160,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
DGDGW6DS1829Z12Z1617Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
DGDGW6DS1829Z12Z1619Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
DGDGW6DS1829Z12Z1627Z10Z1,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
DGDGW6DS1829Z12Z1627Z10Z2,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
DGDGW6DS1829Z12Z1634Z7Z10Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
DGDGW6DS1829Z12Z1637Z10Z13Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
DHORTSn,frozenset({<Gene PfDd2_130013900-t41_1-p1 at 0x2b5575e119e8>}),no
DNGALh,frozenset({<Gene PfDd2_090031700-t41_1-p1 at 0x2b5575e2eda0>}),no
DOLPMTcer,frozenset({<Gene PfDd2_110044500-t41_1-p1 at 0x2b5575e744a8>}),no
DXRI,frozenset({<Gene PfDd2_140071600-t41_1-p1 at 0x2b5575e11b70>}),no
DXS,frozenset({<Gene PfDd2_130043000-t41_1-p1 at 0x2b5575e4f2e8>}),no
EAR100x_1,frozenset({<Gene PfDd2_060020000-t41_1-p1 at 0x2b5575e11cc0>}),no
EAR120x_1,frozenset({<Gene PfDd2_060020000-t41_1-p1 at 0x2b5575e11cc0>}),no
EAR140x_1,frozenset({<Gene PfDd2_060020000-t41_1-p1 at 0x2b5575e11cc0>}),no
EAR160x_1,frozenset({<Gene PfDd2_060020000-t41_1-p1 at 0x2b5575e11cc0>}),no
EAR180x_1,frozenset({<Gene PfDd2_060020000-t41_1-p1 at 0x2b5575e11cc0>}),no
EAR181x_1,frozenset({<Gene PfDd2_060020000-t41_1-p1 at 0x2b5575e11cc0>}),no
EAR40x_1,frozenset({<Gene PfDd2_060020000-t41_1-p1 at 0x2b5575e11cc0>}),no
EAR60x_1,frozenset({<Gene PfDd2_060020000-t41_1-p1 at 0x2b5575e11cc0>}),no
EAR80x_1,frozenset({<Gene PfDd2_060020000-t41_1-p1 at 0x2b5575e11cc0>}),no
ECA4COLIPAabctex,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x2b5575e11ac8>}),no
ENLIPAabctex,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x2b5575e11ac8>}),no
ENLIPIDAt1ex,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x2b5575e11ac8>}),no
ENOf,frozenset({<Gene PfDd2_100021300-t41_1-p1 at 0x2b5575e4f208>}),no
FACOAL100p,frozenset({<Gene PfDd2_050030000-t41_1-p1 at 0x2b5575e2e9b0>}),no
FACOAL100t2pp,"frozenset({<Gene PfDd2_020018000-t41_1-p1 at 0x2b5575e4f630>, <Gene PfDd2_130077500-t41_1-p1 at 0x2b5575e11668>, <Gene PfDd2_030006000-t41_1-p1 at 0x2b5575e4f5f8>, <Gene PfDd2_120043600-t41_1-p1 at 0x2b5575e4f588>, <Gene PfDd2_050030000-t41_1-p1 at 0x2b5575e2e9b0>, <Gene PfDd2_040006900-t41_1-p1 at 0x2b5575e4f5c0>, <Gene PfDd2_020017700-t41_1-p1 at 0x2b5575e3e7f0>})",yes
FACOAL120p,frozenset({<Gene PfDd2_050030000-t41_1-p1 at 0x2b5575e2e9b0>}),no
FACOAL120t2pp,"frozenset({<Gene PfDd2_020018000-t41_1-p1 at 0x2b5575e4f630>, <Gene PfDd2_130077500-t41_1-p1 at 0x2b5575e11668>, <Gene PfDd2_030006000-t41_1-p1 at 0x2b5575e4f5f8>, <Gene PfDd2_120043600-t41_1-p1 at 0x2b5575e4f588>, <Gene PfDd2_050030000-t41_1-p1 at 0x2b5575e2e9b0>, <Gene PfDd2_040006900-t41_1-p1 at 0x2b5575e4f5c0>, <Gene PfDd2_020017700-t41_1-p1 at 0x2b5575e3e7f0>})",yes
FACOAL140p,frozenset({<Gene PfDd2_050030000-t41_1-p1 at 0x2b5575e2e9b0>}),no
FACOAL140t2pp,"frozenset({<Gene PfDd2_020018000-t41_1-p1 at 0x2b5575e4f630>, <Gene PfDd2_130077500-t41_1-p1 at 0x2b5575e11668>, <Gene PfDd2_030006000-t41_1-p1 at 0x2b5575e4f5f8>, <Gene PfDd2_120043600-t41_1-p1 at 0x2b5575e4f588>, <Gene PfDd2_050030000-t41_1-p1 at 0x2b5575e2e9b0>, <Gene PfDd2_040006900-t41_1-p1 at 0x2b5575e4f5c0>, <Gene PfDd2_020017700-t41_1-p1 at 0x2b5575e3e7f0>})",yes
FACOAL141p,frozenset({<Gene PfDd2_050030000-t41_1-p1 at 0x2b5575e2e9b0>}),no
