reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
CYSTS,hcys__L_c + ser__L_c --> cyst__L_c + h2o_c,"['EBH_0010620-t26_1-p1', 'EBH_0061500']",1000.0,0.0
DESAT16,h_c + nadph_c + o2_c + pmtcoa_c --> 2.0 h2o_c + hdcoa_c + nadp_c,['EBH_0076010-t26_1-p1'],1000.0,0.0
DRBK,atp_c + drib_c --> 2dr5p_c + adp_c + h_c,['EBH_0025580-t26_1-p1'],1000.0,0.0
D_LACDm,2.0 ficytc_m + lac__D_m --> 2.0 focytc_m + pyr_m,['EBH_0072280-t26_1-p1'],1000.0,0.0
ERGSTt,ergst_e --> ergst_c,['EBH_0078900-t26_1-p1'],1000.0,0.0
FACOAL180,atp_c + coa_c + ocdca_c --> amp_c + ppi_c + stcoa_c,"['EBH_0032710-t26_1-p1', 'EBH_0017680-t26_1-p1']",1000.0,0.0
FAS120,dca_c + 3.0 h_c + malcoa_c + 2.0 nadph_c --> co2_c + coa_c + ddca_c + h2o_c + 2.0 nadp_c,"['EBH_0007810-t26_1-p1', 'EBH_0017680-t26_1-p1']",1000.0,0.0
FAS160,3.0 h_c + malcoa_c + 2.0 nadph_c + ttdca_c --> co2_c + coa_c + h2o_c + hdca_c + 2.0 nadp_c,"['EBH_0007810-t26_1-p1', 'EBH_0017680-t26_1-p1']",1000.0,0.0
FAS161,4.0 h_c + malcoa_c + 3.0 nadph_c + o2_c + ttdca_c --> co2_c + coa_c + 3.0 h2o_c + hdcea_c + 3.0 nadp_c,['EBH_0017680-t26_1-p1'],1000.0,0.0
FAS181,4.0 h_c + hdca_c + malcoa_c + 3.0 nadph_c + o2_c --> co2_c + coa_c + 3.0 h2o_c + 3.0 nadp_c + ocdcea_c,['EBH_0017680-t26_1-p1'],1000.0,0.0
G6PI3,g6p_B_c --> f6p_c,['EBH_0064060-t26_1-p1'],1000.0,0.0
GCC2cm,dhlam_m + nad_m --> h_m + lpam_m + nadh_m,"['EBH_0068870-t26_1-p1', 'EBH_0056740-t26_1-p1']",1000.0,0.0
GLUDxi,glu__L_c + h2o_c + nad_c --> akg_c + h_c + nadh_c + nh4_c,['EBH_0021990-t26_1-p1'],1000.0,0.0
