reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
METAT,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c,['TRSC58_04280-t26_1-p1'],1000.0,0.0
MLTG5,h2o_c + malthp_c --> glc__D_c + malthx_c,['TRSC58_01906-t26_1-p1'],1000.0,0.0
MOADSUx,iscssh_c + moadamp_c + nadh_c --> amp_c + iscs_c + moadcosh_c + nad_c,['TRSC58_04122-t26_1-p1'],1000.0,0.0
MPTSS,atp_c + h_c + moadcoo_c --> moadamp_c + ppi_c,['TRSC58_02845-t26_1-p1'],1000.0,0.0
NACODA,acg5sa_c + h2o_c --> ac_c + glu5sa_c,"['TRSC58_06296-t26_1-p1', 'TRSC58_06786-t26_1-p1']",1000.0,0.0
NADK,atp_c + nad_c --> adp_c + h_c + nadp_c,"['TRSC58_02797', 'TRSC58_01511-t26_1-p1']",1000.0,0.0
NDPK3,atp_c + cdp_c --> adp_c + ctp_c,"['TRSC58_02143-t26_1-p1', 'TRSC58_04501-t26_1-p1', 'TRSC58_01180-t26_1-p1', 'TRSC58_02653-t26_1-p1', 'TRSC58_01680-t26_1-p1', 'TRSC58_04874-t26_1-p1']",1000.0,0.0
NDPK5,atp_c + dgdp_c --> adp_c + dgtp_c,"['TRSC58_02143-t26_1-p1', 'TRSC58_04501-t26_1-p1', 'TRSC58_01180-t26_1-p1', 'TRSC58_02653-t26_1-p1', 'TRSC58_01680-t26_1-p1', 'TRSC58_04874-t26_1-p1']",1000.0,0.0
NDPK6,atp_c + dudp_c --> adp_c + dutp_c,"['TRSC58_02143-t26_1-p1', 'TRSC58_04501-t26_1-p1', 'TRSC58_01180-t26_1-p1', 'TRSC58_02653-t26_1-p1', 'TRSC58_01680-t26_1-p1', 'TRSC58_04874-t26_1-p1']",1000.0,0.0
NNAM,h2o_c + ncam_c --> nac_c + nh4_c,"['TRSC58_06869-t26_1-p1', 'TRSC58_04258-t26_1-p1']",1000.0,0.0
NTD10,h2o_c + xmp_c --> pi_c + xtsn_c,['TRSC58_06382-t26_1-p1'],1000.0,0.0
NTD2,h2o_c + ump_c --> pi_c + uri_c,['TRSC58_06382-t26_1-p1'],1000.0,0.0
NTD5,dtmp_c + h2o_c --> pi_c + thymd_c,['TRSC58_06382-t26_1-p1'],1000.0,0.0
NTD7,amp_c + h2o_c --> adn_c + pi_c,['TRSC58_06382-t26_1-p1'],1000.0,0.0
NTD8,dgmp_c + h2o_c --> dgsn_c + pi_c,['TRSC58_06382-t26_1-p1'],1000.0,0.0
NTP1,atp_c + h2o_c --> adp_c + h_c + pi_c,"['TRSC58_07016-t26_1-p1', 'TRSC58_01966-t26_1-p1', 'TRSC58_00845-t26_1-p1', 'TRSC58_03733-t26_1-p1', 'TRSC58_06990-t26_1-p1', 'TRSC58_00535-t26_1-p1', 'TRSC58_00658-t26_1-p1', 'TRSC58_06076-t26_1-p1', 'TRSC58_06812-t26_1-p1', 'TRSC58_01880-t26_1-p1', 'TRSC58_07144-t26_1-p1']",1000.0,0.0
NTPP1,dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c,['TRSC58_00535-t26_1-p1'],1000.0,0.0
OCTDPS,frdp_c + 5.0 ipdp_c --> octdp_c + 5.0 ppi_c,"['TRSC58_05590-t26_1-p1', 'TRSC58_02460-t26_1-p1']",1000.0,0.0
OMMBLHX,2ommbl_c + 0.5 o2_c --> 2omhmbl_c,['TRSC58_03969-t26_1-p1'],1000.0,0.0
OMPHHX,2omph_c + 0.5 o2_c --> 2ombzl_c,['TRSC58_03969-t26_1-p1'],1000.0,0.0
PFK,atp_c + f6p_c --> adp_c + fdp_c + h_c,['TRSC58_01826-t26_1-p1'],1000.0,0.0
PGCD,3pg_c + nad_c --> 3php_c + h_c + nadh_c,"['TRSC58_06787-t26_1-p1', 'TRSC58_06590-t26_1-p1']",1000.0,0.0
PNTK,atp_c + pnto__R_c --> 4ppan_c + adp_c + h_c,['TRSC58_04937-t26_1-p1'],1000.0,0.0
PPCDC,4ppcys_c + h_c --> co2_c + pan4p_c,['TRSC58_03551-t26_1-p1'],1000.0,0.0
PPCK,atp_c + oaa_c --> adp_c + co2_c + pep_c,"['TRSC58_06415-t26_1-p1', 'TRSC58_02069-t26_1-p1', 'TRSC58_00173-t26_1-p1', 'TRSC58_02506-t26_1-p1', 'TRSC58_05925-t26_1-p1']",1000.0,0.0
PPS,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c,['TRSC58_06266-t26_1-p1'],1000.0,0.0
