reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
CYTP450R,cytP450o_c + h_c + nadph_c --> cytP450r_c + nadp_c,['NCER_100157-t26_1-p1'],1000.0,0.0
FACOAL18111Z,atp_c + coa_c + ocdcea_c --> amp_c + ocdcecoa_c + ppi_c,['NCER_101315-t26_1-p1'],1000.0,0.0
G3PAT180_1,glyc3p_c + ocdccoa_c --> 1odecg3p_c + coa_c,['NCER_100062-t26_1-p1'],1000.0,0.0
CDIPT1819Z160,cdp12dgr1819Z160_c + inost_c --> cmp_c + 2.0 h_c + pail1819Z160_c,['NCER_101400-t26_1-p1'],1000.0,0.0
CDPDAGS1819Z160,ctp_c + 3.0 h_c + pa1819Z160_c --> cdp12dgr1819Z160_c + ppi_c,['NCER_100462-t26_1-p1'],1000.0,0.0
ETHAPT1801819Z,12dgr1801819Z_c + cdpea_c --> cmp_c + h_c + pe1801819Z_c,['NCER_101291-t26_1-p1'],1000.0,0.0
ETHAPT18111Z1819Z,12dgr18111Z1819Z_c + cdpea_c --> cmp_c + h_c + pe18111Z1819Z_c,['NCER_101291-t26_1-p1'],1000.0,0.0
LPLPS1AGPE180,1agpe180_c + h2o_c --> g3pe_c + h_c + ocdca_c,['NCER_100628-t26_1-p1'],1000.0,0.0
LPLPS1AGPE1819Z,1agpe1819Z_c + h2o_c --> g3pe_c + h_c + ocdce9a_c,['NCER_100628-t26_1-p1'],1000.0,0.0
NITR,h_c + nadh_c + no3_c --> h2o_c + nad_c + no2_c,['NCER_100176-t26_1-p1'],1000.0,0.0
G3PD4,glyc3p_c + mqn7_c --> dhap_c + mql7_c,['NCER_100642-t26_1-p1'],1000.0,0.0
HACD1_1,aacoa_c + h_c + nadh_c --> 3hbycoa_c + nad_c,['NCER_102544-t26_1-p1'],1000.0,0.0
3OXCOAT,coa_c + oxadpcoa_c --> accoa_c + succoa_c,['NCER_101355-t26_1-p1'],1000.0,0.0
ACACT1r,2.0 accoa_c --> aacoa_c + coa_c,['NCER_101355-t26_1-p1'],1000.0,0.0
ACACT8r,3ohodcoa_c + coa_c --> accoa_c + pmtcoa_c,['NCER_101355-t26_1-p1'],1000.0,0.0
ACS,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,"['NCER_101275-t26_1-p1', 'NCER_101037-t26_1-p1']",1000.0,0.0
AMPTASECG,cgly_c + h2o_c --> cys__L_c + gly_c,"['NCER_100622-t26_1-p1', 'NCER_101262-t26_1-p1']",1000.0,0.0
ASNS1,asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + h_c + ppi_c,['NCER_100902-t26_1-p1'],1000.0,0.0
CTPS2,atp_c + gln__L_c + h2o_c + utp_c --> adp_c + ctp_c + glu__L_c + 2.0 h_c + pi_c,['NCER_101402-t26_1-p1'],1000.0,0.0
DADK,atp_c + damp_c --> adp_c + dadp_c,"['NCER_100453-t26_1-p1', 'NCER_102036-t26_1-p1', 'NCER_101317-t26_1-p1']",1000.0,0.0
DNMPPA,dhpmp_c + h2o_c --> dhnpt_c + pi_c,"['NCER_101005-t26_1-p1', 'NCER_100319-t26_1-p1', 'NCER_101270-t26_1-p1']",1000.0,0.0
ENO,2pg_c --> h2o_c + pep_c,['NCER_101750-t26_1-p1'],1000.0,0.0
FLVR,h_c + nadph_c + ribflv_c --> nadp_c + rbflvrd_c,['NCER_100157-t26_1-p1'],1000.0,0.0
FMNRx2,fmn_c + h_c + nadph_c --> fmnh2_c + nadp_c,['NCER_100157-t26_1-p1'],1000.0,0.0
G3PD2,glyc3p_c + nadp_c --> dhap_c + h_c + nadph_c,['NCER_102351-t26_1-p1'],1000.0,0.0
G3PD6,glyc3p_c + mqn8_c --> dhap_c + mql8_c,['NCER_100642-t26_1-p1'],1000.0,0.0
GALUi,g1p_c + h_c + utp_c --> ppi_c + udpg_c,"['NCER_100660-t26_1-p1', 'NCER_100663-t26_1-p1']",1000.0,0.0
GAPD,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,['NCER_101501-t26_1-p1'],1000.0,0.0
GK1,atp_c + gmp_c --> adp_c + gdp_c,['NCER_101104-t26_1-p1'],1000.0,0.0
GLYAT,accoa_c + gly_c --> 2aobut_c + coa_c,['NCER_100800-t26_1-p1'],1000.0,0.0
GTHPi,2.0 gthrd_c + h2o2_c --> gthox_c + 2.0 h2o_c,['NCER_101139-t26_1-p1'],1000.0,0.0
GUAD,gua_c + h2o_c + h_c --> nh4_c + xan_c,['NCER_102475-t26_1-p1'],1000.0,0.0
I2FE2SS,fadh2_c + 2.0 fe2_c + 2.0 iscssh_c + iscu_c --> fad_c + 6.0 h_c + 2.0 iscs_c + iscu_2fe2s_c,['NCER_100398-t26_1-p1'],1000.0,0.0
I2FE2SS2,fadh2_c + 2.0 fe2_c + 2.0 iscssh_c + iscu_2fe2s_c --> fad_c + 6.0 h_c + 2.0 iscs_c + iscu_2fe2s2_c,['NCER_100398-t26_1-p1'],1000.0,0.0
IPDDI,ipdp_c --> dmpp_c,['NCER_101544-t26_1-p1'],1000.0,0.0
MAN6PI,man6p_c --> f6p_c,['NCER_100660-t26_1-p1'],1000.0,0.0
NDPK4,atp_c + dtdp_c --> adp_c + dttp_c,"['NCER_102036-t26_1-p1', 'NCER_101309-t26_1-p1']",1000.0,0.0
NTP3,gtp_c + h2o_c --> gdp_c + h_c + pi_c,['NCER_101274-t26_1-p1'],1000.0,0.0
NTPP10,ditp_c + h2o_c --> dimp_c + h_c + ppi_c,['NCER_101274-t26_1-p1'],1000.0,0.0
NTPP11,h2o_c + xtp_c --> h_c + ppi_c + xmp_c,['NCER_101274-t26_1-p1'],1000.0,0.0
PFK_2,atp_c + tag6p__D_c --> adp_c + h_c + tagdp__D_c,['NCER_102427-t26_1-p1'],1000.0,0.0
PGM,2pg_c --> 3pg_c,['NCER_101226-t26_1-p1'],1000.0,0.0
PHETRS,atp_c + phe__L_c + trnaphe_c --> amp_c + phetrna_c + ppi_c,"['NCER_100038-t26_1-p1', 'NCER_101490-t26_1-p1']",1000.0,0.0
SADT2,atp_c + gtp_c + h2o_c + so4_c --> aps_c + gdp_c + pi_c + ppi_c,"['NCER_101816-t26_1-p1', 'NCER_100390-t26_1-p1']",1000.0,0.0
SPODM,2.0 h_c + 2.0 o2s_c --> h2o2_c + o2_c,['NCER_100641-t26_1-p1'],1000.0,0.0
THIORDXi,h2o2_c + trdrd_c --> 2.0 h2o_c + trdox_c,['NCER_100213-t26_1-p1'],1000.0,0.0
TKT1,r5p_c + xu5p__D_c --> g3p_c + s7p_c,['NCER_100905-t26_1-p1'],1000.0,0.0
TRE6PS,g6p_c + udpg_c --> h_c + tre6p_c + udp_c,"['NCER_100278-t26_1-p1', 'NCER_100283-t26_1-p1']",1000.0,0.0
UDCPDPS,frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c,['NCER_100483-t26_1-p1'],1000.0,0.0
UMPK,atp_c + ump_c --> adp_c + udp_c,['NCER_101209-t26_1-p1'],1000.0,0.0
AOXSr,ala__L_c + h_c + pmcoa_c --> 8aonn_c + co2_c + coa_c,['NCER_100379-t26_1-p1'],1000.0,0.0
KAT1,aacoa_c + coa_c --> 2.0 accoa_c,['NCER_101355-t26_1-p1'],1000.0,0.0
ARABR,arab__L_c + h_c + nadph_c --> abt_c + nadp_c,['NCER_101329-t26_1-p1'],1000.0,0.0
DAGCPT_SC,0.01 12dgr_SC_c + cdpchol_c --> cmp_c + h_c + 0.01 pc_SC_c,['NCER_101291-t26_1-p1'],1000.0,0.0
DPGM,13dpg_c --> 23dpg_c + h_c,['NCER_101226-t26_1-p1'],1000.0,0.0
DPMVD,5dpmev_c + atp_c --> adp_c + co2_c + ipdp_c + pi_c,['NCER_102272-t26_1-p1'],1000.0,0.0
DRTPPD,25dthpp_c + h2o_c + h_c --> 5aprbu_c + nh4_c,['NCER_100916-t26_1-p1'],1000.0,0.0
EPISTAT_SC,0.01 epist_c + 0.655 hdcoa_c + 0.01 hexccoa_c + 0.27 odecoa_c + 0.02 pmtcoa_c + 0.03 stcoa_c + 0.015 tdcoa_c --> coa_c + 0.01 epistest_SC_c,['NCER_100059-t26_1-p1'],1000.0,0.0
ETHAPT_SC,0.01 12dgr_SC_c + cdpea_c --> cmp_c + h_c + 0.01 pe_SC_c,['NCER_101291-t26_1-p1'],1000.0,0.0
FACOAL182,atp_c + coa_c + ocdcya_c --> amp_c + ocdycacoa_c + ppi_c,['NCER_101315-t26_1-p1'],1000.0,0.0
FECOSTt,fecost_e --> fecost_c,['NCER_100637-t26_1-p1'],1000.0,0.0
FRTT,frdp_c + ipdp_c --> ggdp_c + ppi_c,['NCER_100483-t26_1-p1'],1000.0,0.0
GALt2,gal_e + h_e --> gal_c + h_c,['NCER_101601-t26_1-p1'],1000.0,0.0
GK2,datp_c + gmp_c --> dadp_c + gdp_c,['NCER_101104-t26_1-p1'],1000.0,0.0
HMGCOAS,coa_c + h_c + hmgcoa_c --> aacoa_c + accoa_c + h2o_c,['NCER_100354-t26_1-p1'],1000.0,0.0
MEVK1,atp_c + mev__R_c --> 5pmev_c + adp_c + h_c,['NCER_101036-t26_1-p1'],1000.0,0.0
PETHCT,ctp_c + ethamp_c + h_c --> cdpea_c + ppi_c,['NCER_101898-t26_1-p1'],1000.0,0.0
PI45BP5P_SC,h2o_c + 0.01 ptd145bp_SC_c --> pi_c + 0.01 ptd4ino_SC_c,['NCER_100169-t26_1-p1'],1000.0,0.0
SADT,atp_c + h_c + so4_c --> aps_c + ppi_c,['NCER_101816-t26_1-p1'],1000.0,0.0
UDPACGLP,acgam1p_c + h_c + utp_c --> ppi_c + udpacgal_c,['NCER_100956-t26_1-p1'],1000.0,0.0
