reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
GDMANE,gdpddman_c --> gdpofuc_c,['TGVAND_286220-t30_1-p1'],1000.0,0.0
GLCP,glycogen_c + pi_c --> g1p_c,['TGVAND_310670-t30_1-p1'],1000.0,0.0
GLNS,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,['TGVAND_273490-t30_1-p1'],1000.0,0.0
GLUSy,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,['TGVAND_261030-t30_1-p1'],1000.0,0.0
GLUTRS,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c,"['TGVAND_241870B', 'TGVAND_263870B-t30_1-p1', 'TGVAND_263870A', 'TGVAND_241870A-t30_1-p1']",1000.0,0.0
GLYCL,gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c,"['TGVAND_237470B-t30_1-p1', 'TGVAND_206470A-t30_1-p1', 'TGVAND_202960-t30_1-p1', 'TGVAND_438740-t30_1-p1', 'TGVAND_305980-t30_1-p1']",1000.0,0.0
GMAND,gdpmann_c --> gdpddman_c + h2o_c,['TGVAND_238940-t30_1-p1'],1000.0,0.0
GMHEPAT,atp_c + gmhep1p_c + h_c --> adphep_DD_c + ppi_c,"['TGVAND_216930-t30_1-p1', 'TGVAND_310280-t30_1-p1']",1000.0,0.0
GRXR,grxox_c + 2.0 gthrd_c --> grxrd_c + gthox_c,['TGVAND_268730-t30_1-p1'],1000.0,0.0
GTHOr,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c,"['TGVAND_238070-t30_1-p1', 'TGVAND_227150-t30_1-p1', 'TGVAND_246920-t30_1-p1', 'TGVAND_206470B-t30_1-p1', 'TGVAND_279400', 'TGVAND_219130-t30_1-p1']",1000.0,0.0
GTPCI,gtp_c + h2o_c --> ahdt_c + for_c + h_c,['TGVAND_253780-t30_1-p1'],1000.0,0.0
HBZOPT,4hbz_c + octdp_c --> 3ophb_c + ppi_c,['TGVAND_259130-t30_1-p1'],1000.0,0.0
HYPOE,h2o_c + pyam5p_c --> pi_c + pydam_c,"['TGVAND_289980-t30_1-p1', 'TGVAND_209870-t30_1-p1']",1000.0,0.0
I4FE4ST,4.0 h_c + iscu_4fe4s_c --> 4fe4s_c + iscu_c,"['TGVAND_300120-t30_1-p1', 'TGVAND_237560-t30_1-p1']",1000.0,0.0
ILETA,akg_c + ile__L_c --> 3mop_c + glu__L_c,['TGVAND_297850-t30_1-p1'],1000.0,0.0
IMPD,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,['TGVAND_233110-t30_1-p1'],1000.0,0.0
LCADi,h2o_c + lald__L_c + nad_c --> 2.0 h_c + lac__L_c + nadh_c,['TGVAND_222160-t30_1-p1'],1000.0,0.0
LEUTAi,4mop_c + glu__L_c --> akg_c + leu__L_c,['TGVAND_248600B-t30_1-p1'],1000.0,0.0
LIPATPT,atp_c + lipoate_c --> lipoamp_c + ppi_c,['TGVAND_271820A-t30_1-p1'],1000.0,0.0
LYSTRS,atp_c + lys__L_c + trnalys_c --> amp_c + lystrna_c + ppi_c,"['TGVAND_205710-t30_1-p1', 'TGVAND_220340', 'TGVAND_220350-t30_1-p1']",1000.0,0.0
MACPD,h_c + malACP_c --> acACP_c + co2_c,"['TGVAND_231890-t30_1-p1', 'TGVAND_293590-t30_1-p1']",1000.0,0.0
MAN1PT2,gdp_c + h_c + man1p_c --> gdpmann_c + pi_c,['TGVAND_257960A-t30_1-p1'],1000.0,0.0
MEPCT,2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c,['TGVAND_306260-t30_1-p1'],1000.0,0.0
METAT,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c,['TGVAND_240690-t30_1-p1'],1000.0,0.0
MLTG5,h2o_c + malthp_c --> glc__D_c + malthx_c,['TGVAND_253030-t30_1-p1'],1000.0,0.0
MLTP1,maltpt_c + pi_c --> g1p_c + maltttr_c,['TGVAND_310670-t30_1-p1'],1000.0,0.0
MOADSUx,iscssh_c + moadamp_c + nadh_c --> amp_c + iscs_c + moadcosh_c + nad_c,"['TGVAND_300120-t30_1-p1', 'TGVAND_211090-t30_1-p1']",1000.0,0.0
MOHMT,3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c,['TGVAND_257050-t30_1-p1'],1000.0,0.0
MPTSS,atp_c + h_c + moadcoo_c --> moadamp_c + ppi_c,"['TGVAND_212100-t30_1-p1', 'TGVAND_264880A-t30_1-p1']",1000.0,0.0
NADK,atp_c + nad_c --> adp_c + h_c + nadp_c,"['TGVAND_244700-t30_1-p1', 'TGVAND_292300']",1000.0,0.0
NDPK3,atp_c + cdp_c --> adp_c + ctp_c,"['TGVAND_202210-t30_1-p1', 'TGVAND_295350-t30_1-p1', 'TGVAND_224900-t30_1-p1']",1000.0,0.0
NDPK5,atp_c + dgdp_c --> adp_c + dgtp_c,"['TGVAND_202210-t30_1-p1', 'TGVAND_295350-t30_1-p1', 'TGVAND_224900-t30_1-p1']",1000.0,0.0
NDPK6,atp_c + dudp_c --> adp_c + dutp_c,"['TGVAND_202210-t30_1-p1', 'TGVAND_295350-t30_1-p1', 'TGVAND_224900-t30_1-p1']",1000.0,0.0
NNAM,h2o_c + ncam_c --> nac_c + nh4_c,['TGVAND_281990-t30_1-p1'],1000.0,0.0
NTD10,h2o_c + xmp_c --> pi_c + xtsn_c,['TGVAND_321530-t30_1-p1'],1000.0,0.0
NTD2,h2o_c + ump_c --> pi_c + uri_c,['TGVAND_321530-t30_1-p1'],1000.0,0.0
NTD5,dtmp_c + h2o_c --> pi_c + thymd_c,['TGVAND_321530-t30_1-p1'],1000.0,0.0
NTD7,amp_c + h2o_c --> adn_c + pi_c,['TGVAND_321530-t30_1-p1'],1000.0,0.0
