reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
FBA2,f1p_c --> dhap_c + glyald_c,['GLP15_2077-t26_1-p1'],1000.0,0.0
G6PI3,g6p_B_c --> f6p_c,['GLP15_4116-t26_1-p1'],1000.0,0.0
GLYCDy,glyc_c + nadp_c --> dha_c + h_c + nadph_c,['GLP15_1649-t26_1-p1'],1000.0,0.0
MEVK3,gtp_c + mev__R_c --> 5pmev_c + gdp_c + h_c,['GLP15_5126-t26_1-p1'],1000.0,0.0
MEVK4,mev__R_c + utp_c --> 5pmev_c + h_c + udp_c,['GLP15_5126-t26_1-p1'],1000.0,0.0
NAPRT,h_c + nac_c + prpp_c --> nicrnt_c + ppi_c,['GLP15_1165-t26_1-p1'],1000.0,0.0
PI35BP5P_SC,h2o_c + 0.01 ptd135bp_SC_c --> pi_c + 0.01 ptd3ino_SC_c,"['GLP15_3004-t26_1-p1', 'GLP15_797-t26_1-p1']",1000.0,0.0
PIN3K_SC,atp_c + 0.01 ptd1ino_SC_c --> adp_c + h_c + 0.01 ptd3ino_SC_c,"['GLP15_361-t26_1-p1', 'GLP15_1669-t26_1-p1']",1000.0,0.0
ZYMSTt,zymst_e --> zymst_c,['GLP15_2601-t26_1-p1'],1000.0,0.0
ALCD1,meoh_c + nad_c --> fald_c + h_c + nadh_c,['GLP15_696-t26_1-p1'],1000.0,0.0
FRUpts,fru_e + pep_c --> f1p_c + pyr_c,['GLP15_1026-t26_1-p1'],1000.0,0.0
SULabc,atp_c + h2o_c + so4_e --> adp_c + h_c + pi_c + so4_c,['GLP15_4647-t26_1-p1'],1000.0,0.0
UAG4Ei,uacgam_c --> udpacgal_c,['GLP15_4908-t26_1-p1'],1000.0,0.0
ARABDI,arab__D_c --> rbl__D_c,['GLP15_835-t26_1-p1'],1000.0,0.0
ACP1_FMN,fmn_c + h2o_c --> pi_c + ribflv_c,['GLP15_201-t26_1-p1'],1000.0,0.0
TSULabc,atp_c + h2o_c + tsul_e --> adp_c + h_c + pi_c + tsul_c,['GLP15_4647-t26_1-p1'],1000.0,0.0
CAATPS,atp_c + 2.0 ca2_c + h2o_c --> adp_c + 2.0 ca2_e + h_e + pi_c,['GLP15_387-t26_1-p1'],1000.0,0.0
ADK2,amp_c + pppi_c --> adp_c + ppi_c,['GLP15_2807-t26_1-p1'],1000.0,0.0
ALCD3ir,h_c + nadh_c + ppal_c --> nad_c + ppoh_c,['GLP15_696-t26_1-p1'],1000.0,0.0
ALR3,acetol_c + h_c + nadph_c --> 12ppd__S_c + nadp_c,['GLP15_696-t26_1-p1'],1000.0,0.0
ARGabc,arg__L_e + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c,['GLP15_2369-t26_1-p1'],1000.0,0.0
METDabc,atp_c + h2o_c + met__D_e --> adp_c + h_c + met__D_c + pi_c,['GLP15_453-t26_1-p1'],1000.0,0.0
THRabc,atp_c + h2o_c + thr__L_e --> adp_c + h_c + pi_c + thr__L_c,['GLP15_1309-t26_1-p1'],1000.0,0.0
13PPDH,3hppnl_c + h_c + nadh_c --> 13ppd_c + nad_c,"['GLP15_2750-t26_1-p1', 'GLP15_696-t26_1-p1']",1000.0,0.0
N2OR,h_c + n2o_c + nadh_c --> h2o_c + n2_c + nad_c,['GLP15_935-t26_1-p1'],1000.0,0.0
NORRDX,2.0 h_c + 2.0 no_c + 2.0 rdxr_c --> h2o_c + n2o_c + 2.0 rdxo_c,['GLP15_4022-t26_1-p1'],1000.0,0.0
VCACT,accoa_c + ppcoa_c --> 3optcoa_c + coa_c,['GLP15_1917-t26_1-p1'],1000.0,0.0
PYK4,cdp_c + h_c + pep_c --> ctp_c + pyr_c,['GLP15_4683-t26_1-p1'],1000.0,0.0
FACOAL1821,atp_c + coa_c + lnlc_c --> amp_c + lnlccoa_c + ppi_c,['GLP15_2964-t26_1-p1'],1000.0,0.0
F4H2O,2.0 f420_2h2_c + o2_c --> 2.0 f420_2_c + 2.0 h2o_c,['GLP15_4022-t26_1-p1'],1000.0,0.0
NOX,h_c + nadh_c + o2_c --> h2o2_c + nad_c,['GLP15_3692-t26_1-p1'],1000.0,0.0
PULLe,399.0 h2o_e + pullulan1200_e --> 400.0 malttr_e,['GLP15_3190-t26_1-p1'],1000.0,0.0
ALCD4y,btoh_c + nadp_c --> btal_c + h_c + nadph_c,['GLP15_2750-t26_1-p1'],1000.0,0.0
HAMR,2.0 h_c + ham_c + nadh_c --> h2o_c + nad_c + nh4_c,['GLP15_935-t26_1-p1'],1000.0,0.0
HYDFDN2r,fdxo_42_c + 2.0 h2_c + nadp_c --> fdxr_42_c + 3.0 h_c + nadph_c,['GLP15_1240-t26_1-p1'],1000.0,0.0
CY_focytb5_c,ficytb5_c --> focytb5_c,['GLP15_3250-t26_1-p1'],1000.0,0.0
PE1801829Z12Zt,atp_c + h2o_c + pe1801829Z12Z_c --> adp_c + h_c + pe1801829Z12Z_e + pi_c,"['GLP15_2493-t26_1-p1', 'GLP15_2846-t26_1-p1']",1000.0,0.0
PE18111Z1829Z12Zt,atp_c + h2o_c + pe18111Z1829Z12Z_c --> adp_c + h_c + pe18111Z1829Z12Z_e + pi_c,"['GLP15_2493-t26_1-p1', 'GLP15_2846-t26_1-p1']",1000.0,0.0
PE18111Z1835Z9Z12Zt,atp_c + h2o_c + pe18111Z1835Z9Z12Z_c --> adp_c + h_c + pe18111Z1835Z9Z12Z_e + pi_c,"['GLP15_2493-t26_1-p1', 'GLP15_2846-t26_1-p1']",1000.0,0.0
