,reaction,GPR,score
388,AACPS5,(PADL01_0018300-t36_1-p1 or PADL01_0030200-t36_1-p1 or PADL01_0207200-t36_1-p1),116.7
389,AACPS5_1,PADL01_0213800-t36_1-p1,30.4
390,AACPS6,(PADL01_0018300-t36_1-p1 or PADL01_0030200-t36_1-p1 or PADL01_0207200-t36_1-p1),116.7
391,AACPS6_1,PADL01_0213800-t36_1-p1,30.4
392,AACPS7,(PADL01_0018300-t36_1-p1 or PADL01_0030200-t36_1-p1 or PADL01_0207200-t36_1-p1),116.7
393,AACPS8,(PADL01_0018300-t36_1-p1 or PADL01_0030200-t36_1-p1 or PADL01_0207200-t36_1-p1),116.7
394,AACPS9,(PADL01_0018300-t36_1-p1 or PADL01_0030200-t36_1-p1 or PADL01_0207200-t36_1-p1),116.7
407,AATC,PADL01_0203300-t36_1-p1,192.2
408,AATG,PADL01_0203300-t36_1-p1,192.2
409,AATGm,PADL01_0203300-t36_1-p1,192.2
414,ABFPT,PADL01_0622100-t36_1-p1,137.9
415,ABFPTh,PADL01_0622100-t36_1-p1,137.9
449,ACACT1r,PADL01_1450900-t36_1-p1,184.1
453,ACACT2r,PADL01_1450900-t36_1-p1,181.8
456,ACACT3r,PADL01_1450900-t36_1-p1,181.8
459,ACACT4r,PADL01_1450900-t36_1-p1,181.8
462,ACACT5r,PADL01_1450900-t36_1-p1,181.8
466,ACACT6r,PADL01_1450900-t36_1-p1,181.8
470,ACACT7r,PADL01_1450900-t36_1-p1,181.8
472,ACACT8r,PADL01_1450900-t36_1-p1,181.8
483,ACALDt,spontaneous,0.0
485,ACALDtpp,spontaneous,0.0
492,ACCOAC,((PADL01_1460000-t36_1-p1 and PADL01_1469500-t36_1-p1) or PADL01_1469500-t36_1-p1),765.0
494,ACCOACrm,PADL01_1469500-t36_1-p1,751.9
495,ACCOAL,PADL01_0626000-t36_1-p1,495.4
499,ACCOAth,PADL01_1035400-t36_1-p1,161.8
500,ACCOAtm,PADL01_1035400-t36_1-p1,161.8
502,ACCOAtx,PADL01_1035400-t36_1-p1,161.8
518,ACGAMPM,PADL01_1128200-t36_1-p1,110.2
562,ACOA100OR,PADL01_1455900-t36_1-p1,60.8
563,ACOA120OR,PADL01_1455900-t36_1-p1,60.8
564,ACOA140OR,PADL01_1455900-t36_1-p1,60.8
565,ACOA160OR,PADL01_1455900-t36_1-p1,60.8
566,ACOA40OR,PADL01_1455900-t36_1-p1,60.8
567,ACOA60OR,PADL01_1455900-t36_1-p1,60.8
568,ACOA80OR,PADL01_1455900-t36_1-p1,60.8
643,ACOAR2m,PADL01_1134100-t36_1-p1,175.6
644,ACOAR3m,PADL01_1134100-t36_1-p1,175.6
645,ACOAR4m,PADL01_1134100-t36_1-p1,175.6
646,ACOAR5m,PADL01_1134100-t36_1-p1,175.6
647,ACOAR6m,PADL01_1134100-t36_1-p1,175.6
648,ACOAR7m,PADL01_1134100-t36_1-p1,175.6
649,ACOATA,((PADL01_0207200-t36_1-p1 and PADL01_0210200-t36_1-p1) or PADL01_0207200-t36_1-p1 or PADL01_0210200-t36_1-p1 or PADL01_0624400-t36_1-p1),387.5
650,ACOATA_1,PADL01_0210200-t36_1-p1,124.4
658,ACONIs,spontaneous,0.0
660,ACONT,PADL01_1341200-t36_1-p1,867.5
662,ACONTa,PADL01_1341200-t36_1-p1,819.3
663,ACONTb,PADL01_1341200-t36_1-p1,819.3
665,ACOTA,PADL01_0607000-t36_1-p1,349.7
669,ACP1619ZD9DS,PADL01_1317000-t36_1-p1,35.03333333333333
670,ACP1819ZD9DS,PADL01_1317000-t36_1-p1,35.03333333333333
674,ACPPAT120,PADL01_0207200-t36_1-p1,38.7
675,ACPPAT140,PADL01_0207200-t36_1-p1,38.7
676,ACPPAT141,PADL01_0207200-t36_1-p1,38.7
677,ACPPAT160,PADL01_0207200-t36_1-p1,38.7
678,ACPPAT161,PADL01_0207200-t36_1-p1,38.7
679,ACPPAT180,PADL01_0207200-t36_1-p1,38.7
680,ACPPAT181,PADL01_0207200-t36_1-p1,38.7
682,ACPS1,PADL01_0419400-t36_1-p1,58.9
692,ACPh,PADL01_1109700-t36_1-p1,66.6
695,ACS,PADL01_0626000-t36_1-p1,525.4
709,ACSm,PADL01_0626000-t36_1-p1,504.6
710,ACSp,PADL01_0626000-t36_1-p1,504.6
712,ACTD2,((PADL01_0503400-t36_1-p1 and PADL01_0815100-t36_1-p1 and PADL01_1122700-t36_1-p1) or PADL01_0924700-t36_1-p1),138.875
716,ACTNabc,(PADL01_0109800-t36_1-p1 and PADL01_0318600-t36_1-p1),21.64
717,ACTNabc1,(PADL01_0109800-t36_1-p1 and PADL01_0318600-t36_1-p1),21.64
718,ACYP,PADL01_1109700-t36_1-p1,66.6
721,ACt2r,PADL01_1122300-t36_1-p1,172.9
726,ADA,PADL01_1028000-t36_1-p1,114.4
728,ADAPAT,PADL01_0607000-t36_1-p1,262.7
731,ADCL,PADL01_0921400-t36_1-p1,151.0
735,ADCS,PADL01_0921400-t36_1-p1,151.0
746,ADK1,(PADL01_0108500-t36_1-p1 or PADL01_0414800-t36_1-p1 or PADL01_1007300-t36_1-p1),210.3
747,ADK1m,(PADL01_0108500-t36_1-p1 or PADL01_0414800-t36_1-p1),150.6
748,ADK2,PADL01_0414800-t36_1-p1,117.9
749,ADK3,(PADL01_0414800-t36_1-p1 or PADL01_0927900-t36_1-p1 or PADL01_1007300-t36_1-p1),197.6
751,ADK4,(PADL01_0414800-t36_1-p1 or PADL01_1007300-t36_1-p1),197.6
753,ADKd,PADL01_0414800-t36_1-p1,110.5
754,ADMDC,PADL01_1031500-t36_1-p1,61.2
755,ADNCYC,PADL01_1359500-t36_1-p1,79.7
756,ADNK1,(PADL01_0414800-t36_1-p1 or PADL01_1007300-t36_1-p1),169.5
792,ADSHm,PADL01_0519900-t36_1-p1,592.0
793,ADSK,(PADL01_0910000-t36_1-p1 or PADL01_1356100-t36_1-p1),88.95
795,ADSL1r,PADL01_0205400-t36_1-p1,397.5
796,ADSL2r,PADL01_0205400-t36_1-p1,397.5
