,TgondiiGT1,TgondiiME49,Pfalciparum3D7,PbergheiANKA,PvivaxSal1,ChominisTU502_2012,CparvumIowaII,EhistolyticaHM1IMSS-A,LmajorSD75,TcruziCLBrener,TbruceiLister427,VbrassicaformisCCMP3155,BbovisT2Bo,gf_no_ortho_NfowleriATCC30863
DNTPPA,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
ACYP_2,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,not in model,lethal,lethal,not in model
ALDD2xm,lethal,lethal,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
ATPPRT,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
CERS126,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
DAGAH_OLE_STC_c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
PYAM5PO,lethal,lethal,lethal,lethal,nonlethal,,,lethal,not in model,,lethal,lethal,not in model,lethal
ACOADAGAT1601819Z160,lethal,lethal,not in model,lethal,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
RBPI,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
2_PERIOD_4_PERIOD_1_PERIOD_141,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
r2465_1,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,lethal
HMR_0410,not in model,not in model,not in model,lethal,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
PEDS18111Z1845Z9Z12Z15Z,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
EX_feoxam_e,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,lethal,lethal
EX_pe161_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
ECOAH4m,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
ARAB14LO,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
SEPHCHCS,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
FLDR2,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
EX_2agpe180_e,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
CHOPT_PALM_PALM_c,not in model,not in model,not in model,lethal,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
PDHcr,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
OAACITtm,lethal,lethal,lethal,lethal,nonlethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
pe_prod8,not in model,not in model,lethal,lethal,lethal,,,not in model,lethal,,not in model,not in model,not in model,not in model
UDPACGLP,lethal,lethal,lethal,lethal,not in model,,,not in model,lethal,,lethal,lethal,lethal,lethal
LCYSTATm,lethal,lethal,not in model,lethal,lethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
ps_prod6,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
DSERDHr,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,nonlethal
DSCLCOCH,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
SMOX,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
ASPO2y,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
2AGPEAT161,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
MGDGW6DS1829Z12Z1627Z10Z2c,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,lethal,not in model
ACOADAGAT_EPA_EPA_DHA_c,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
DESAT20_1,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
THFGLUH,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,lethal,lethal,not in model,lethal
EX_ferrich_e,not in model,not in model,lethal,lethal,not in model,,,not in model,not in model,,lethal,lethal,lethal,lethal
FACOAL100t2ppc,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
DPCOAK_ap,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
CDAPPA141,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
DUTUP,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
CMPN,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,lethal,not in model,not in model,not in model
GRGTc,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
DAGK181_1,lethal,lethal,not in model,not in model,not in model,,,lethal,not in model,,lethal,not in model,not in model,not in model
MTHFDm_1,lethal,lethal,not in model,not in model,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
PYDAMK,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,not in model,lethal
VALTRPVALr,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
MGDGD7DS1829Z12Z1617Zc,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,lethal,not in model
LYSDC,not in model,not in model,lethal,lethal,nonlethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
ALDD3,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
ASNTRS,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
MOD_2mhopc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,lethal,lethal
DASYN183_6_9_12,lethal,lethal,lethal,not in model,lethal,,,not in model,lethal,,not in model,lethal,not in model,not in model
EAR120x_ap,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
POLYAO2,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
TAGAH1819Z18111Z1845Z9Z12Z15Z,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
KAS20SA,lethal,lethal,lethal,lethal,nonlethal,,,not in model,not in model,,not in model,lethal,not in model,lethal
3DH5HPBMTm,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
TMDPK,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,lethal
lipid1,not in model,not in model,lethal,lethal,lethal,,,lethal,not in model,,not in model,not in model,not in model,not in model
GTHRDH_syn,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,lethal,lethal,lethal
PLDAGAT_HDE_ARA_HDE_PE_13_c,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
FACOAE1839Z12Z15Z,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
BACCL,lethal,lethal,lethal,not in model,lethal,,,not in model,not in model,,lethal,lethal,not in model,lethal
NDPK7,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
DHDPRy,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
EX_murein5p3p_e,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
FAO141p_evenc,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
EX_dsbard_e,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
PCD6DS_MYRS_GLNA_sn2_c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
TAGAH18111Z18111Z180,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
G3PAT181_1,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
PSERDm_SC,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
BLACT,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,lethal,not in model,not in model,not in model
UDPKAAT,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
r1116,not in model,not in model,lethal,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
OMHPALTD,not in model,not in model,not in model,lethal,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
PLPSA21819Z1835Z9Z12Z,lethal,lethal,lethal,lethal,nonlethal,,,not in model,not in model,,not in model,lethal,lethal,lethal
ACHMSSELCYSL,lethal,lethal,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,not in model
EX_pe1801819Z_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
ATPtm,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
MCITL2m,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
EX_mqn8_e,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
HXAt3,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
PHETHRLYSr,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,lethal,not in model
MDH2m,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
XPPT,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,lethal
EX_ps140_e,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
3OAR121_ap,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
TRPTA,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,not in model,lethal
MMSAD1,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
PHCDm,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,not in model,not in model,not in model
TOCOPHOM2,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
ACACT5pc,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
ASPO3,not in model,not in model,not in model,not in model,lethal,,,not in model,not in model,,not in model,lethal,not in model,lethal
PDHam2mic,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
OPHHX,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,lethal,lethal,lethal,lethal
EX_pg180_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
PLDAGAT_EPA_EPA_DHA_PE_15_c,not in model,not in model,not in model,lethal,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
PRDX,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
XYLabc,not in model,not in model,not in model,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,lethal
PLDAGAT_PALM_EPA_LNA_PC_7_c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
ACOADAGAT1819Z18111Z160,lethal,lethal,not in model,lethal,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
SACCD2,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,lethal
PAPA_OLE_PALM,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
NDP7,lethal,lethal,lethal,not in model,lethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
ACCOAC_1c,lethal,lethal,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
ACACT6r,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
PLA2PE_STC_STC_c,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
ACDHmi,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
AGPAT161,lethal,lethal,lethal,lethal,lethal,,,lethal,not in model,,not in model,lethal,not in model,not in model
PLDAGAT1819Z18111Z1602,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
HACD9m,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
BTNCc,lethal,lethal,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
PPA2,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
COLIPAPabctexc,lethal,lethal,lethal,not in model,lethal,,,lethal,lethal,,lethal,lethal,not in model,lethal
LPLIPAL2ATE140,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
PLDAGAT1801819Z18111Z1,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
FE2utm,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
CA2abc,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
G12MT1gc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
RBK,lethal,lethal,lethal,not in model,not in model,,,lethal,lethal,,lethal,lethal,lethal,not in model
EX_pgp18111Z160_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
TAGAH16018111Z18111Z,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
OPMEACPS,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,lethal,lethal,not in model,not in model
DH3MCHCDH,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
PMPK,not in model,not in model,lethal,not in model,lethal,,,lethal,not in model,,not in model,lethal,not in model,lethal
CRVStu,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
DGDGW6DS1829Z12Z1637Z10Z13Zc,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,lethal,not in model
PRO1x,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
AGPATCOA1819Z160,not in model,not in model,lethal,lethal,nonlethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
ACPS1ap,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
2DGULRGx,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
GTMLT,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
ARGLYSex,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
ARUH,not in model,not in model,not in model,not in model,not in model,,,lethal,lethal,,not in model,lethal,not in model,lethal
PA120tap,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
SELCYSLY2_1,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
PA161abcppc,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
ETHAPT_STC_GLNA_c,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
FEROt,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
NADPPPSm,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
IDPA,not in model,not in model,lethal,not in model,lethal,,,not in model,lethal,,lethal,not in model,not in model,not in model
PUNP3,not in model,not in model,not in model,lethal,lethal,,,lethal,not in model,,not in model,not in model,not in model,lethal
GLYCt2,lethal,lethal,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
EX_gm1lipa_e,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,lethal,not in model,lethal
Clt,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,lethal,lethal,not in model,not in model
AGPATCOA_MYRS_EPA_c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
RNTR4c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
HEPKA2,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,not in model
ICDHyr,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
RNTR3,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
FBA3hic,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
DOLPMT1_c,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
DVPCHLDRc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
ACOAD3,lethal,lethal,not in model,not in model,not in model,,,not in model,lethal,,not in model,lethal,not in model,lethal
PPAer,not in model,not in model,not in model,lethal,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
GALm,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,not in model,not in model,not in model
pe_prod10,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
GLNSP1,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
SGPL12r,not in model,not in model,not in model,lethal,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
EX_cyssermet_e,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
EX_valserarg_e,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
acoa_prod11,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
ASPTRS,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,lethal,nonlethal,,nonlethal,nonlethal,nonlethal,nonlethal
EX_arbt_e,not in model,not in model,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
ALCD2y,not in model,not in model,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
LPEH2055Z8Z11Z14Z17Z_sn1_c,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
DURIPP,not in model,not in model,not in model,lethal,lethal,,,lethal,not in model,,not in model,not in model,not in model,not in model
3OAS100_ap,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
PLDAGAT1819Z1819Z1602,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
FEtm,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
DASYN161,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,lethal,nonlethal,,nonlethal,nonlethal,nonlethal,nonlethal
GMPS2,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
AGPAT180_ap,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
ATGH,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
THRt2m,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,lethal,lethal,not in model,not in model
PDE1,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
DTTGY,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
NDH1_2uc,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,not in model,not in model,lethal
MOCOS,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
34HPPYRI,not in model,not in model,lethal,lethal,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
PBAL,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
XYLt2,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,lethal,not in model
EX_malthx_e,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
EX_dcacoa_e,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
G3PIabcppc,lethal,lethal,not in model,lethal,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
QULNS,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
GGPS,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,lethal,not in model
ATDGDmc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,lethal,lethal
HEMEAS,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,lethal,lethal
EX_na1_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
DGDGGH1839Z12Z15Z1634Z7Z10Zc,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
SUCFUMt,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,lethal
FASm1801,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
ACOADAGAT1819Z18111Z18111Z,lethal,lethal,not in model,lethal,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
HPROb,lethal,lethal,not in model,not in model,nonlethal,,,not in model,not in model,,not in model,not in model,not in model,lethal
3HAD180,lethal,lethal,lethal,lethal,lethal,,,lethal,not in model,,not in model,lethal,not in model,not in model
HISLYSTHRt,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,lethal,not in model
MI1456PKnc,lethal,lethal,lethal,lethal,lethal,,,lethal,not in model,,not in model,lethal,not in model,not in model
GLYCt,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,lethal
EX_pe_e,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
EX_glycogen1500_e,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
PED5DS18111Z1835Z9Z12Z,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
MALCRNt,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
TECA2S,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
r1641,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,lethal,not in model,not in model,not in model
PEDS1829Z12Z1835Z9Z12Z,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
FACOAE160,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,nonlethal,not in model,nonlethal
CYTBO3,not in model,lethal,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,lethal,lethal
G5SADs,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
MPMTc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
AACPS4,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
DHAD2m,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
ACTD,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,not in model
UDPGLDC,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
HPYRRy,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,lethal,not in model,not in model
SMPD3l_host,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
SERTRPHISt,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
pe_prod20,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
LPLIPAL2E141,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
PAPA160,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
MOTH2,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
GLUt2r,not in model,not in model,not in model,lethal,lethal,,,not in model,lethal,,lethal,lethal,not in model,lethal
dgl_prod8,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
PLDAGAT_MYRS_EPA_DHA_PE_12_c,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
ADPT2,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,lethal,not in model,not in model,not in model
GTHPm,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
DHRc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,lethal,not in model,not in model,not in model
FUCASE,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
DHORTS,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
XYLANabc,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
ALCD19,lethal,lethal,lethal,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
GMT1,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,lethal,not in model
ALAtmi,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
PSCVT,lethal,lethal,not in model,lethal,lethal,,,lethal,not in model,,not in model,lethal,not in model,not in model
PE181abcppc,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
OGMEACPR,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
R5PFLc,not in model,not in model,lethal,lethal,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
PLDAGAT_LNA_EPA_LNA_PC_5_c,not in model,not in model,not in model,lethal,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
GLUSfx,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
ALCD2x,nonlethal,nonlethal,not in model,not in model,not in model,,,lethal,not in model,,nonlethal,nonlethal,not in model,nonlethal
CHITOBptsc,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
EX_fecost_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,not in model,lethal
