,TgondiiGT1,TgondiiME49,Pfalciparum3D7,PbergheiANKA,PvivaxSal1,ChominisTU502_2012,CparvumIowaII,EhistolyticaHM1IMSS-A,LmajorSD75,TcruziCLBrener,TbruceiLister427,VbrassicaformisCCMP3155,BbovisT2Bo,gf_no_ortho_NfowleriATCC30863
ALDD12,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
CS,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
HADPCOADH3,lethal,lethal,not in model,not in model,not in model,,,not in model,lethal,,not in model,lethal,not in model,lethal
GLUt2m,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
PAPt,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
SUCDi,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
PEDS1801845Z9Z12Z15Z,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
FASm2402,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
ARGN_1,not in model,not in model,lethal,lethal,lethal,,,lethal,lethal,,not in model,lethal,not in model,not in model
SER_AL,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
PGLCNDH,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
EX_ddca_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
MI1PS,not in model,not in model,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,lethal
FCLT_1c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
3OAR181_1c,lethal,lethal,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,not in model
BNORhc,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,not in model
EX_serargtrp_e,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
NMNDA,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
H2ASE_syn,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,not in model,not in model,not in model
INDPYRD,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,lethal,not in model,not in model
FLVR,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
SK_trnapro_c,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
acoa_prod6,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
4HBZFm,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
DKDH,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
CACOAL,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
MALTpts,not in model,not in model,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
INOSR,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
GALM2,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,not in model
CYO1b2pp_sync,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,lethal,lethal
Cuabc,lethal,lethal,lethal,not in model,lethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
CHORM,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
EX_acolipa_e,lethal,lethal,lethal,not in model,lethal,,,lethal,lethal,,lethal,lethal,not in model,lethal
EX_4abz_e,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
HMR_2380,not in model,not in model,not in model,lethal,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
MALLAC,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
TAGAH1801819Z160,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
ATPS10_3,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
MNabc,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
EX_dsbcrd_e,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
SPMDabc,lethal,not in model,lethal,not in model,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,lethal
EX_tsul_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,not in model,lethal
PUNP5,not in model,not in model,not in model,lethal,lethal,,,lethal,not in model,,not in model,not in model,not in model,lethal
MANAO,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
ATPM,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,lethal,lethal
HMR_0846nhs,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
CU1abcppc,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
PPACOALmc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
2AGPGAT181,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
EX_12dgr181_e,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
Kt3r,not in model,not in model,not in model,not in model,not in model,,,lethal,lethal,,not in model,lethal,not in model,lethal
MOD_2mbdhl,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
CLPNS160,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
PLDAGAT_DHA_EPA_DHA_PE_12_c,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
MGDGS_OLE_HDE_c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
MALTHPabc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
BGLA,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,not in model
EX_pgp161_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
LPCAT_HDE_HDE_sn2_c,not in model,not in model,not in model,lethal,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
HPYRDC,not in model,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
DGTSDS1829Z12Z1829Z12Z2,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
BUTCT,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,not in model,not in model,lethal
BMOCOS,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
LPLIPAL2E180,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
C181SN,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,lethal
XANt,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
PLDAGAT1601819Z18111Z2,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
MCPST,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
DSMSTOLR,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
FACOAL240pc,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,lethal,not in model,lethal
PTRCtmi,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
DHPPDA,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
ORNt2r,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
GTPOPm,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
acoa_prod2,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
DHAD1,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,nonlethal,not in model,not in model
TKT1,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,not in model,lethal
DHACOAH,lethal,lethal,not in model,lethal,lethal,,,not in model,lethal,,lethal,lethal,not in model,lethal
UPPDC1,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
EX_ethso3_e,not in model,not in model,not in model,lethal,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
KARI_3hmoac,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,not in model
LCYEc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
VALLEUPHEr,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,lethal,not in model
LYSt5r,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
EX_pc_SC_e,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
CHRPL,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
EPMEACPR,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,not in model,,not in model,nonlethal,not in model,not in model
MGDGW6DS1829Z12Z1637Z10Z13Zc,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,lethal,not in model
EX_colipa_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
pail_uptake,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
MCITLm,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
CODH3,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
IPPMIb,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
NTRIRx,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
ALDD17,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
FUMt2r,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,not in model
EAR120x,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,not in model,lethal,not in model,lethal
ANNAT,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
CHTNS,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
G3PT,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
FE3DHBZSabcppc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
PNTK,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,nonlethal,lethal,nonlethal
NADDPe,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
GLCGSD,lethal,lethal,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,not in model
PROPROPROr,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
UPPDC1_ap,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
3HAD121_ap,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
OPETDC,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
DESAT16,not in model,not in model,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,lethal
AGPAT1819Z18111Zhc,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
ILEARGILEr,not in model,not in model,lethal,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
ATPtmt,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
EX_no2_e,lethal,lethal,lethal,lethal,lethal,,,lethal,not in model,,not in model,lethal,lethal,not in model
FORtmi,not in model,not in model,lethal,lethal,nonlethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
RPE,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,not in model,lethal
DGDGGH1839Z12Z15Z1627Z10Zc,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
ALDD7,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
NH4t3r,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
CYO1bpp_sync,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,lethal,lethal
MCTC,lethal,lethal,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
HMR_4422,not in model,not in model,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,not in model,lethal
IG3PS_1,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
H2O2t,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,lethal,not in model
RNTR2,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
ECOAH1m,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
ACGAMT,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
CYO1_KTc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,lethal,lethal
LPLIPAL2G181,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
GLCNACPT,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
PLDAGAT_HDE_PALM_LNA_PE_10_c,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
EX_argserser_e,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
HMR_0378,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
FA1819ZACPHc,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
NTRARz,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
PHETHPTOX,lethal,lethal,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
EX_glc__D_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
HXAt1,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
DHAD3,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
PLDAGAT_LNA_EPA_LNA_PC_4_c,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
UREAabcppc,not in model,not in model,not in model,not in model,lethal,,,not in model,lethal,,lethal,not in model,not in model,lethal
2agpg140t,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
3MOBDC,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,lethal,not in model,not in model
HACD5m,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
UPLA4NT,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,lethal,not in model
FACOAL80,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
r0016,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
3HAO,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
G3PDm_pf,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
LPLIPAL2G120,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
ATPH1,lethal,lethal,lethal,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
VALTAim,lethal,lethal,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
