,T. gondii GT1,T. gondii ME49,P. falciparum 3D7,P. berghei ANKA,P. vivax Sal1,C. hominis TU502 (2012),C. parvum Iowa II,E. histolytica HM1IMSS-A,L. major SD75,T. cruzi CL Brener,T. brucei Lister 427,V. brassicaformis CCMP3155,B. bovis T2Bo,N. fowleri ATCC30863
3OAR140_ap,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
G3PAT141_ap,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
EX_ppa_e,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
CYOR_q8_mc,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
34DHOXPEGOX,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
CYSTGLUex,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
TARTRDH,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
LPSSYN_HPc,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
EX_pail1819Z160_e,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
NDPK3,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
CPPPGOm,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
ALCD26xim,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
CYOO3,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
PEFLIP,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
NADPHQR2,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
HMSH,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
BZSCT,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
2_7_8_3,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
PLDAGAT_LNA_EPA_GLNA_PC_4_c,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
MERGTROLR,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
SELTORm,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
ISETACabcppc,,,not in model,nonlethal,not in model,,,not in model,,not in model,,,,nonlethal
PCDAGAT,,,not in model,nonlethal,not in model,,,not in model,,not in model,,,,not in model
NDPK2m,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
HEMELhc,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
PSSA161,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
PSD160,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
CHLSTI_1,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
ILEARGILEt,,,nonlethal,not in model,not in model,,,not in model,,not in model,,,,not in model
SARCOX,,,nonlethal,not in model,not in model,,,not in model,,not in model,,,,not in model
ROO,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
THRASNTYRt,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
OMPHHXm,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
MAGAH1819Z,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
RNTR3c2,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
GCALDDm,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
pg_prod6,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
ASPt2_2,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
FOMETRi,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
GLYCTO3,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
C226CRNt,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
EAR140x,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
SK_trnaile_c,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
PI3P5K_SC,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
2DGULRGy,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
GLUCANabc,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
3HPPPNH,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
PLPSD1819Z1819Z,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
HACD3m,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
FPGS4m,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
GUAC,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
TAGAH18111Z18111Z1819Z,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
EX_gm1lipa_e,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
GCC2am,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
HSDy,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
GMHEPK,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
ECOAH9m,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
PLIPA2G140,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
SELCYSS_pf,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
ALCD24xim,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
ALDD10,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
PEDS18111Z1845Z9Z12Z15Z,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
ECOAH7,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
HIBD,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
UDPSQSc,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
EX_asntyrthr_e,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
GALM1,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
OMHPALTD,,,not in model,nonlethal,not in model,,,not in model,,not in model,,,,not in model
LPCH1819Z_sn1_c,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
GMPt6,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
CHLDA2tuc,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
CEPA,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
DHQTi,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
DGGH,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
2agpe180t,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
ALAtm,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
OIVD3,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
EX_acgam_e,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
TAGAH1801819Z1845Z9Z12Z15Z,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
GLNSP3,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
C190cSN,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
PLDAGAT_EPA_EPA_DHA_PE_15_c,,,not in model,nonlethal,not in model,,,not in model,,not in model,,,,not in model
GLYCDy,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
ECOAH1m,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
DHMPTR,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
Protein_t,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
CITCIb,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
CLPNS2_BS,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
PA161abcppc,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
CDGS,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
EX_sula_e,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
PE1819Z1819Zt,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
LPLIPAL2A161,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
ECOAH5m,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
FTR,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
SPMDAT1,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
HMR_9805,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
AP4AH,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
SERTRS2,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
GLYCTO4,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
DKDH,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
ALDD20ym,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
HXAt,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
ADMDC,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
PTRCOX1,,,nonlethal,not in model,not in model,,,not in model,,not in model,,,,not in model
EX_12dgr160_e,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
PYK_ap2,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
HPPK2,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
GLUKA,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
LIPOS,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
CDAPPA120,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
LYSARGLEUt,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
SLCBK1,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
CDPDGPm_SC,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
OCOAT3r,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
EX_pe1819Z1845Z9Z12Z15Z_e,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
LYSabc,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
UTPH1,,,nonlethal,not in model,not in model,,,not in model,,not in model,,,,not in model
LEUt2r,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
EX_ttdca_e,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
OMBZLMm,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
PNTOt2,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
FCLT,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
GAT_c,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
FAS181ACPm,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
DAGAH_OLE_HDE_c,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
TAGAH1601819Z18111Z,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
ACOAD1z,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
ERGSTGLCT,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
PPCSCT,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
L_LACt3,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
PLDAGAT_LNA_EPA_LNA_PE_12_c,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
3OAR60,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
GLCt1,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
SERPHELYSt,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
FBPPH,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
4PEPTabcppc,,,not in model,not in model,nonlethal,,,not in model,,not in model,,,,not in model
ACOADH100_m,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
PSERT,,,nonlethal,not in model,not in model,,,not in model,,not in model,,,,nonlethal
MGDGW3DS1829Z12Z1637Z10Z13Zc,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
INOSTO,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
DM_gly_c,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
PACCOAE,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
ETHAPT_LNA_LNA_c,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
TSULabc,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
ZYMSTt,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
HACD4,,,not in model,not in model,nonlethal,,,not in model,,not in model,,,,nonlethal
ECOAH3m,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
2HP6MPMOm,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
GTHRDt,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
LPLIPAL1A140,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
CINNDO,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
KAS17,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
OIVD2,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
SO3R,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
ACOADAGAT1819Z18111Z180,,,not in model,nonlethal,not in model,,,not in model,,not in model,,,,nonlethal
PLPSA21819Z1845Z9Z12Z15Z,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
PIt8,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
OPTCCL,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
HISt2m,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
LYSTRS,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
PLA2PC_STC_GLNA_c,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
HXAND,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
GUAPRT,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
SK_trnahis_c,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
BZDIOLDH,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
ALDD4x,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
CYTP450R,,,nonlethal,nonlethal,not in model,,,not in model,,not in model,,,,nonlethal
EAR161y,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
ETHAPT_PALM_PALM_c,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
FACOAL240pc,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
FEROc,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
LPLIPAL2A181,,,not in model,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
AGPOP,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
CHTNS,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
EX_glucan4_e,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
GTHOXti,,,nonlethal,not in model,not in model,,,not in model,,not in model,,,,not in model
3HCO3_NAt,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
DKGLCNR2x,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
CHOLD2,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
OAAICITtm,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
DAGAH18111Z1819Z,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
PEPCK_re,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
EX_na1_e,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
ACSERL,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
AGPAT120,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
ORNTA,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
MS,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
RNTR4c,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
METTRPPHEt,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
GMT1,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
CPGNabcppc,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
44MZYMMO,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
EX_dsbcox_e,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
EX_so3_e,,,nonlethal,not in model,nonlethal,,,not in model,,not in model,,,,nonlethal
FRUK,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
PLDAGAT16018111Z1819Z3,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
MPMTc,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
LCYAc,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
OMCDCm,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
FACOAE60,,,nonlethal,nonlethal,not in model,,,not in model,,not in model,,,,not in model
RTOT5_cho,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
FAH140c,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
GTMLT,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
EHGLAT,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
SHSL1,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
CITtbm,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
FORt,,,nonlethal,not in model,not in model,,,not in model,,not in model,,,,nonlethal
TRSARr,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
ETHAPT_MYRS_DHA_c,,,nonlethal,not in model,not in model,,,not in model,,not in model,,,,not in model
FTAL,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
EX_fru_e,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
EX_mops_e,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
1AGPEAT18111Z1819Z,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
EX_salcn_e,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
EX_ergstest_SC_e,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
PCMEH2ppc,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
LGTHL,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
HACD7,,,not in model,not in model,nonlethal,,,not in model,,not in model,,,,nonlethal
CLPNS_SA,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
INDPYRD,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
GRTT2,,,not in model,not in model,nonlethal,,,not in model,,not in model,,,,not in model
NORRDX,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
FldAct,,,nonlethal,not in model,not in model,,,not in model,,not in model,,,,not in model
ME1,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
PETHCT,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
lipid10,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,not in model
XYLOS3,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
AGM3PH,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
ILEPROLYSt,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
SALCHS2FEabcppc,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
EX_orot_e,,,not in model,not in model,not in model,,,not in model,,not in model,,,,not in model
3OAS161,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
EX_gam_e,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
EX_dca_e,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
PPASMCT1,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
EX_cpgn_e,,,not in model,not in model,not in model,,,not in model,,not in model,,,,nonlethal
C22STDSx,,,not in model,not in model,nonlethal,,,not in model,,not in model,,,,nonlethal
PG181abcppc,,,nonlethal,nonlethal,nonlethal,,,not in model,,not in model,,,,nonlethal
