,gf_PadleriG01,P. berghei,P. billcollinsi,P. blacklocki,P. chabaudi,P. coatneyi,P. cynomolgi B,P. cynomolgi M,P. falciparum 3D7,P. falciparum Dd2,P. fragile,P. gaboni G01,P. gaboni SY75,P. vivax Sal1
ACACT3r,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_ergst_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
lipid4,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
HMR_2861,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_2agpe160_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PYK,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
FRDO3r,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
SERASr,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
FAH120c,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
FE2tm,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
GTHS,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
DHRT_2mbcoa,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_tchola_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PLA2PC_OLE_HDE_c,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
r2136,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
MI145PK,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
SMPD3l,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_thmmp_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
MI1PS,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
MTRI,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
S2FE2ST,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PSP_L,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
MI1456PK,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
GLUN,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
GLUSy,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
T2DECAI_ap,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
HEX4,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PYK5,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
ASNTRAT,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
dgl_prod2,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
G5SD,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
DEDOLP2,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
K2L4Aabctexc,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
TRPILETRPt,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
2agpe181t,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
ACt2r,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
LYSTRS,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
MANt2,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
LEUTAi,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
ARGARGr,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
AACPS6_1c,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
GLCR1TRA1,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PLIPA2G180,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
DHACOAH,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
ATGDm,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
AMID3,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
CYSTBLc,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
AGPAT140_ap,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
LPLIPAL2ATG160,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
MCITSm,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
KAS15,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
GLUTRS,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
HACD4,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_pe120_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
TRDRm,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
CYTBD,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
NDPK1,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
OMHPALTD,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
3OAR40,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
MTHFR5,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PE1801819Zt,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
MECDPS_ap,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
FASC181ACP,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_gal_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PDE2,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
UGCG,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_cd2_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
ARTPLM1,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
AGPATCOA1801819Z,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
GLYCt,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
FACOAL141,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
SERPT,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_fol_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
TRPTRS,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
NO2t3,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_mal__L_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
r1467,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
3HAD140_ap,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
acylpg_prod7,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
ACOADAGAT1801819Z180,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PI45BPP,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PPPGO3,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
CHSTEROLt2,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
3M2OPLOXRD,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_phe__L_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PGCD,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_clpn141_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
1AGPEAT1829Z12Z1835Z9Z12Z,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
FOMETRi,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
ALATRS,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
GM1LIPAabcppc,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
DOLPGT2,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
ACOAD4f,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
O2tmt,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
GAT1_SC,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
FCLT_ap,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
3OAS140,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
MALOAAtm,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PAIL1819Z160t,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
T4HCINNMFM,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
ACOADAGAT18111Z1819Z1835Z9Z12Z,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
O2tm,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_chol_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
ACOAD20,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
FAS160_ap,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_enlipidA_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
TUNGSabcppc,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_adn_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
OAAAKGtm,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
DESAT14,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
GLYK,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PGKm,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PFK_2,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
3HAD120,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
2agpe160t,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
XANt,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
SULFACabcppc,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_cysi__L_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
FPGS8,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
LPLIPAL1G120,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
THMATPe,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
FAH1819Zc,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PTOLDOX,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
DXPRIi_ap,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
MACPD,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
DXHPScm,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
DHQS,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
ASNTRSm,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
FBA3hic,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PGLYCP,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
LEUt2r,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
G3PCabcppc,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
S4FE4ST,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
METHFtm,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
RPE,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
NH4t,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_salchs4fe_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
ADA,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
AMOc,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
FAOXC1811603m,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
DAGAH_STC_EPA_c,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_nh4_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
CERH124,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
OGMEACPD,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
DADK,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PUNP4,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_pc_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_glucan1500_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
GLYVESSEC,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
CDPDAGtm_cho,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
DASYN161,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
FACOAL160t2ppc,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
CDPDGPm_SC,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_2agpe141_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_malttr_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
FAS240_L,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
KAS14_ap,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
CITL,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
ATPS1,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_protein_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
LPLIPAL1G141,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
KAS10,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
3OAS120,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_metmetile_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
CYSGLUexR,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
D_LACDcm,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
pe_prod15,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PYDXNO,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
FAS160COA,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PIt5m,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
2HP6MPMOm,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PLIPA2A161,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
5MTHFt,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
UDPACGLP,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
P5CRm,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
3HAD80_ap,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
ETHAPT_OLE_EPA_c,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
G1PTT,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
ILETA,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_glyald_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
TRPILETRPr,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
3OAR180_ap,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
CLPNS120,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_ac_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PMPK,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
FRDO2r,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_ttdcea_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
2AGPEAT181,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
LPLIPAL2G120,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
GCCb,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
