,T. gondii ARI,T. gondii FOU,T. gondii GAB2-2007-GAL-DOM2,T. gondii GT1,T. gondii MAS,T. gondii ME49,T. gondii p89,T. gondii RUB,T. gondii TgCatPRC2,T. gondii VAND,T. gondii VEG
ACP1819ZD9DSc,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
EX_sprm_e,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
MALLAC,not in model,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model
DMATT,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
NTPP11,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
GLUDxi,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
3OAR100,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
HYPTROX,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model
PDHa,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
MPTAT,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
EX_ptrc_e,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
FAO181p_oddc,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
DHRT_2mbcoa,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
EX_citr__L_e,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
EX_protein_e,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
C22STDSx,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
EX_chsterol_e,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
LPLPS1AGPE18111Z,nonlethal,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model,nonlethal,nonlethal,not in model
EX_pe1819Z1819Z_e,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
FAO10,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
HDSc,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
EX_isetac_e,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
FAS140,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ACACT2c,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
PYK,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
MTOLDOX,not in model,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,not in model,nonlethal,not in model
PNTOt2,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model
DM_thr__L_c,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
DCMPDA,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
CCP2m,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ACOTA,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
3HAD180,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ASPGLU2m,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
MGDGW3DS1829Z12Z1637Z10Z13Zc,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
UGLYCH,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,not in model,nonlethal,not in model
ACACT5pc,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
GLYCLm,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
LCADm,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
UPPRT,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
CMPA,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
GTHPm,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ADCS,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
FA80ACPHi,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
PHCYT_BS,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
DGDGD4DS1839Z12Z15Z1644Z7Z10Z13Zc,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
BTS_nadph,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
NO2Rc,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
MYCSacp56,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model
ILEtm,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
EX_tchola_e,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
FAS140COA,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
TAG_HDE_HDE_PALMt_h,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
CPPPGO,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
OAADC,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
NTPP9,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
NADNe,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
DHORDi,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ILETAm,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
TAGAH1801819Z1835Z9Z12Z,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
DLYSPYRAT,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,nonlethal,not in model
EX_ni2_e,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
GCCbim,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
3OAR181_1c,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
APPAT,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
SO3t_1,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model
MG2abc,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ACCOACrm,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
OGCOAAT,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
FA160COAabcp_1c,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
PI45BPP_SC,not in model,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
MOTH1,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
EX_pa120_e,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ACACT7r,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
TAGAH18111Z1819Z1835Z9Z12Z,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
MGDGD4DS1819Z1644Z7Z10Z13Zc,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
APG3PAT160,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PDIMAS,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
dgl_prod3,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
DDPAm,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
HSERTA,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
MTAM_nh4,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
2AGPEAT141,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
MALTabc,nonlethal,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
EX_ps140_e,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
PLPSA21819Z1845Z9Z12Z15Z,nonlethal,not in model,nonlethal,not in model,not in model,not in model,not in model,not in model,nonlethal,nonlethal,not in model
GLYOX_2,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
DGTCY,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
HACD8,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
BFBP,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
DAGK_OLE_HDE,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
PDH,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
PCHLD450ORc,nonlethal,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
NTPP8,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
SGAT,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ACOAO6pc,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
EX_tyr__L_e,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
XYLabc,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
LLDH_ferr_m,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
EAR140x,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
SHSL1,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
FAO1,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
EX_cu_e,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
EX_pa140_e,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
FASm180,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
MMSAD3,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
EX_glyc_e,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
A3GALT4c,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,not in model,not in model
3OAS80_1c,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ACOAD4_1,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
FACOALPREPH,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
1AGPEAT18111Z1835Z9Z12Z,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
1AGPEAT1801819Z,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
SUCD2_u6m,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
FA141COAabcpc,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
FMETDF,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ADSS,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
LYSTRSm,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
EX_glu__L_e,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
GCCc,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
VALTAim,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
SOTA,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
GDRm,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model,nonlethal,not in model
PS181abcppc,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ACOAR4mc,not in model,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model
ACOADAGAT18111Z18111Z1845Z9Z12Z15Z,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
GTPH1,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
TKT2hc,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
AACPS6_1c,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
NO2R,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
GHBDHx,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
FE2tm,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
PE1819Z1819Zt,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
2AGPGAT120,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
NDPK6,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ECOAH12m,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ECOAH11pc,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
NDPK4,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
GLYOX_1,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
GLNSP1,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
PC,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
MECDPS,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
1AGPEAT1801829Z12Z,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
FASm2202,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
S4FE4SR,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
AKGDbm,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
PGLc,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
HACD4m,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ALPHNH,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
HCO3abc,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,nonlethal,not in model
AMALT1,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
GLYOX,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
SUCLm,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ECOAH4,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
EX_murein5px3p_e,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
OMCDC,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ACP1619ZD9DSc,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
SELCYSTLh,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
MBCOAi,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
NIabc,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
FBA2,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ZHYc,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
EHGLATm,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
TAGAH1819Z18111Z1845Z9Z12Z15Z,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
EAR140y,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
BTS,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
LEUTA,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
DGDGW6DS1829Z12Z1627Z10Z2c,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
PYK3,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
GLNS,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ACP1819ZD9DS_h,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_ser__L_e,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
HVCD,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
PYDXO_1,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
METAT,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
DGDGGH1819Z1617Zc,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
DRPA,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
PE18111Z1845Z9Z12Z15Zt,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
FCLT,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
GLBRAN2,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ABUTDm,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
THFOR2,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
EX_salchs4fe_e,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
GLPT,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
LEUt2r,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
DHDPS,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
THRTRSm,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
DGDGGH1839Z12Z15Z160c,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ARBabc,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model
GLYTA_1,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ASNTRS,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
GLNTRS,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
FAS260,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
CERS324,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,not in model,not in model
TMDPP,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
TAGAH18111Z18111Z1845Z9Z12Z15Z,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
