,T. gondii ARI,T. gondii FOU,T. gondii GAB2-2007-GAL-DOM2,T. gondii GT1,T. gondii MAS,T. gondii ME49,T. gondii p89,T. gondii RUB,T. gondii TgCatPRC2,T. gondii VAND,T. gondii VEG
SO3t_1,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
MG2abc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ACCOACrm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
OGCOAAT,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FA160COAabcp_1c,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PI45BPP_SC,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
MOTH1,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_pa120_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ACACT7r,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
TAGAH18111Z1819Z1835Z9Z12Z,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
MGDGD4DS1819Z1644Z7Z10Z13Zc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
APG3PAT160,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PDIMAS,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
dgl_prod3,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DDPAm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
HSERTA,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
MTAM_nh4,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
2AGPEAT141,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
MALTabc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_ps140_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PLPSA21819Z1845Z9Z12Z15Z,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
GLYOX_2,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DGTCY,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
HACD8,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
BFBP,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DAGK_OLE_HDE,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PDH,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PCHLD450ORc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
NTPP8,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
SGAT,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ACOAO6pc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_tyr__L_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
XYLabc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
LLDH_ferr_m,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EAR140x,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
SHSL1,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FAO1,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_cu_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_pa140_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FASm180,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
MMSAD3,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_glyc_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
A3GALT4c,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
3OAS80_1c,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ACOAD4_1,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FACOALPREPH,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
1AGPEAT18111Z1835Z9Z12Z,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
1AGPEAT1801819Z,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
SUCD2_u6m,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FA141COAabcpc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FMETDF,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ADSS,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
LYSTRSm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_glu__L_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
GCCc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
VALTAim,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
SOTA,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
GDRm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PS181abcppc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ACOAR4mc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ACOADAGAT18111Z18111Z1845Z9Z12Z15Z,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
GTPH1,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
