,T. gondii GT1,T. gondii ME49,P. falciparum 3D7,P. berghei ANKA,P. vivax Sal1,C. hominis TU502 (2012),C. parvum Iowa II,E. histolytica HM1IMSS-A,L. major SD75,T. cruzi CL Brener,T. brucei Lister 427,V. brassicaformis CCMP3155,B. bovis T2Bo,N. fowleri ATCC30863
AP4AH,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
SERTRS2,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
GLYCTO4,,,not in model,not in model,not in model,,,not in model,,,,,,
DKDH,,,not in model,not in model,not in model,,,not in model,,,,,,
ALDD20ym,,,not in model,not in model,not in model,,,not in model,,,,,,
HXAt,,,not in model,not in model,not in model,,,not in model,,,,,,
ADMDC,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
PTRCOX1,,,nonlethal,not in model,not in model,,,not in model,,,,,,
EX_12dgr160_e,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
PYK_ap2,,,not in model,nonlethal,nonlethal,,,not in model,,,,,,
HPPK2,,,not in model,nonlethal,nonlethal,,,not in model,,,,,,
GLUKA,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
LIPOS,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
CDAPPA120,,,not in model,not in model,not in model,,,not in model,,,,,,
LYSARGLEUt,,,not in model,not in model,not in model,,,not in model,,,,,,
SLCBK1,,,not in model,not in model,not in model,,,not in model,,,,,,
CDPDGPm_SC,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
OCOAT3r,,,not in model,not in model,not in model,,,not in model,,,,,,
EX_pe1819Z1845Z9Z12Z15Z_e,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
LYSabc,,,not in model,not in model,not in model,,,nonlethal,,,,,,
UTPH1,,,nonlethal,not in model,not in model,,,not in model,,,,,,
LEUt2r,,,not in model,nonlethal,nonlethal,,,not in model,,,,,,
EX_ttdca_e,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
OMBZLMm,,,not in model,nonlethal,nonlethal,,,not in model,,,,,,
PNTOt2,,,not in model,nonlethal,nonlethal,,,not in model,,,,,,
FCLT,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
GAT_c,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
FAS181ACPm,,,not in model,not in model,not in model,,,not in model,,,,,,
DAGAH_OLE_HDE_c,,,not in model,not in model,not in model,,,not in model,,,,,,
TAGAH1601819Z18111Z,,,not in model,not in model,not in model,,,nonlethal,,,,,,
ACOAD1z,,,not in model,not in model,not in model,,,not in model,,,,,,
ERGSTGLCT,,,not in model,not in model,not in model,,,not in model,,,,,,
PPCSCT,,,not in model,not in model,not in model,,,not in model,,,,,,
L_LACt3,,,not in model,not in model,not in model,,,not in model,,,,,,
PLDAGAT_LNA_EPA_LNA_PE_12_c,,,not in model,not in model,not in model,,,not in model,,,,,,
3OAR60,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
GLCt1,,,not in model,nonlethal,nonlethal,,,nonlethal,,,,,,
SERPHELYSt,,,not in model,not in model,not in model,,,not in model,,,,,,
FBPPH,,,not in model,not in model,not in model,,,not in model,,,,,,
4PEPTabcppc,,,not in model,not in model,nonlethal,,,not in model,,,,,,
ACOADH100_m,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
PSERT,,,nonlethal,not in model,not in model,,,nonlethal,,,,,,
MGDGW3DS1829Z12Z1637Z10Z13Zc,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
INOSTO,,,not in model,not in model,not in model,,,not in model,,,,,,
DM_gly_c,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
PACCOAE,,,not in model,not in model,not in model,,,not in model,,,,,,
ETHAPT_LNA_LNA_c,,,not in model,not in model,not in model,,,not in model,,,,,,
TSULabc,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
ZYMSTt,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
HACD4,,,not in model,not in model,nonlethal,,,not in model,,,,,,
ECOAH3m,,,not in model,not in model,not in model,,,not in model,,,,,,
2HP6MPMOm,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
GTHRDt,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
LPLIPAL1A140,,,not in model,nonlethal,nonlethal,,,not in model,,,,,,
CINNDO,,,not in model,not in model,not in model,,,not in model,,,,,,
KAS17,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
OIVD2,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
SO3R,,,not in model,not in model,not in model,,,nonlethal,,,,,,
ACOADAGAT1819Z18111Z180,,,not in model,nonlethal,not in model,,,not in model,,,,,,
PLPSA21819Z1845Z9Z12Z15Z,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
PIt8,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
OPTCCL,,,not in model,not in model,not in model,,,not in model,,,,,,
HISt2m,,,not in model,not in model,not in model,,,not in model,,,,,,
LYSTRS,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
PLA2PC_STC_GLNA_c,,,not in model,not in model,not in model,,,not in model,,,,,,
HXAND,,,not in model,not in model,not in model,,,not in model,,,,,,
GUAPRT,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
SK_trnahis_c,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
BZDIOLDH,,,not in model,not in model,not in model,,,not in model,,,,,,
ALDD4x,,,not in model,not in model,not in model,,,nonlethal,,,,,,
CYTP450R,,,nonlethal,nonlethal,not in model,,,not in model,,,,,,
EAR161y,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
ETHAPT_PALM_PALM_c,,,not in model,not in model,not in model,,,not in model,,,,,,
FACOAL240pc,,,not in model,not in model,not in model,,,not in model,,,,,,
FEROc,,,not in model,not in model,not in model,,,not in model,,,,,,
LPLIPAL2A181,,,not in model,nonlethal,nonlethal,,,not in model,,,,,,
AGPOP,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
CHTNS,,,not in model,not in model,not in model,,,nonlethal,,,,,,
EX_glucan4_e,,,not in model,not in model,not in model,,,not in model,,,,,,
GTHOXti,,,nonlethal,not in model,not in model,,,not in model,,,,,,
3HCO3_NAt,,,not in model,not in model,not in model,,,not in model,,,,,,
DKGLCNR2x,,,not in model,not in model,not in model,,,not in model,,,,,,
CHOLD2,,,not in model,not in model,not in model,,,nonlethal,,,,,,
OAAICITtm,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
DAGAH18111Z1819Z,,,not in model,not in model,not in model,,,nonlethal,,,,,,
PEPCK_re,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
EX_na1_e,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
ACSERL,,,not in model,not in model,not in model,,,nonlethal,,,,,,
AGPAT120,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
ORNTA,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
MS,,,not in model,not in model,not in model,,,not in model,,,,,,
RNTR4c,,,not in model,not in model,not in model,,,not in model,,,,,,
METTRPPHEt,,,not in model,not in model,not in model,,,not in model,,,,,,
GMT1,,,not in model,not in model,not in model,,,not in model,,,,,,
CPGNabcppc,,,not in model,not in model,not in model,,,not in model,,,,,,
44MZYMMO,,,not in model,not in model,not in model,,,not in model,,,,,,
EX_dsbcox_e,,,not in model,not in model,not in model,,,not in model,,,,,,
EX_so3_e,,,nonlethal,not in model,nonlethal,,,not in model,,,,,,
FRUK,,,not in model,not in model,not in model,,,nonlethal,,,,,,
PLDAGAT16018111Z1819Z3,,,not in model,not in model,not in model,,,not in model,,,,,,
MPMTc,,,not in model,not in model,not in model,,,not in model,,,,,,
LCYAc,,,not in model,not in model,not in model,,,not in model,,,,,,
OMCDCm,,,not in model,not in model,not in model,,,not in model,,,,,,
FACOAE60,,,nonlethal,nonlethal,not in model,,,not in model,,,,,,
RTOT5_cho,,,not in model,not in model,not in model,,,not in model,,,,,,
FAH140c,,,not in model,not in model,not in model,,,not in model,,,,,,
GTMLT,,,not in model,not in model,not in model,,,not in model,,,,,,
EHGLAT,,,not in model,not in model,not in model,,,nonlethal,,,,,,
SHSL1,,,not in model,not in model,not in model,,,nonlethal,,,,,,
CITtbm,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
FORt,,,nonlethal,not in model,not in model,,,not in model,,,,,,
TRSARr,,,not in model,not in model,not in model,,,not in model,,,,,,
ETHAPT_MYRS_DHA_c,,,nonlethal,not in model,not in model,,,not in model,,,,,,
FTAL,,,not in model,not in model,not in model,,,not in model,,,,,,
EX_fru_e,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
EX_mops_e,,,not in model,not in model,not in model,,,not in model,,,,,,
1AGPEAT18111Z1819Z,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
EX_salcn_e,,,not in model,not in model,not in model,,,nonlethal,,,,,,
EX_ergstest_SC_e,,,not in model,not in model,not in model,,,not in model,,,,,,
PCMEH2ppc,,,not in model,not in model,not in model,,,not in model,,,,,,
LGTHL,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
HACD7,,,not in model,not in model,nonlethal,,,not in model,,,,,,
CLPNS_SA,,,not in model,not in model,not in model,,,not in model,,,,,,
INDPYRD,,,not in model,not in model,not in model,,,not in model,,,,,,
GRTT2,,,not in model,not in model,nonlethal,,,not in model,,,,,,
NORRDX,,,not in model,not in model,not in model,,,nonlethal,,,,,,
FldAct,,,nonlethal,not in model,not in model,,,not in model,,,,,,
ME1,,,not in model,not in model,not in model,,,nonlethal,,,,,,
PETHCT,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
lipid10,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
XYLOS3,,,not in model,not in model,not in model,,,nonlethal,,,,,,
AGM3PH,,,not in model,not in model,not in model,,,nonlethal,,,,,,
ILEPROLYSt,,,not in model,not in model,not in model,,,not in model,,,,,,
SALCHS2FEabcppc,,,not in model,not in model,not in model,,,not in model,,,,,,
EX_orot_e,,,not in model,not in model,not in model,,,not in model,,,,,,
3OAS161,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
EX_gam_e,,,not in model,not in model,not in model,,,nonlethal,,,,,,
EX_dca_e,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
PPASMCT1,,,not in model,not in model,not in model,,,not in model,,,,,,
EX_cpgn_e,,,not in model,not in model,not in model,,,not in model,,,,,,
C22STDSx,,,not in model,not in model,nonlethal,,,not in model,,,,,,
PG181abcppc,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
R_group_phosphotase_1,,,nonlethal,not in model,not in model,,,not in model,,,,,,
EX_pg181_e,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
CD2abc2,,,not in model,not in model,not in model,,,not in model,,,,,,
GLYBt2r,,,not in model,not in model,not in model,,,not in model,,,,,,
LPLPS1AGPE18111Z,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
ACOADAGAT1601819Z180,,,not in model,nonlethal,not in model,,,not in model,,,,,,
ABOR,,,not in model,not in model,not in model,,,not in model,,,,,,
AGPRim,,,nonlethal,not in model,not in model,,,not in model,,,,,,
CYOO6m,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
FAS161,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
EX_atp_e,,,nonlethal,not in model,not in model,,,not in model,,,,,,
SO4t2,,,not in model,not in model,not in model,,,not in model,,,,,,
LYSTRSm,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
NADH2_u6m,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
PS141abcppc,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
AGPATACP_OLE_HDE,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
PG1819Z160t,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
ps_prod7,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
PDE5,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
ATGH,,,not in model,not in model,not in model,,,not in model,,,,,,
AMID3,,,nonlethal,nonlethal,not in model,,,not in model,,,,,,
HACD6m,,,not in model,not in model,not in model,,,not in model,,,,,,
FAEL183_cho,,,not in model,nonlethal,not in model,,,not in model,,,,,,
BWCOS,,,not in model,not in model,not in model,,,not in model,,,,,,
KAT2,,,not in model,nonlethal,nonlethal,,,not in model,,,,,,
ABUTD,,,nonlethal,not in model,not in model,,,nonlethal,,,,,,
DGDGW6DS1829Z12Z1637Z10Z13Zc,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
TPI_ap,,,not in model,nonlethal,nonlethal,,,not in model,,,,,,
TAGAH18111Z1819Z180,,,not in model,not in model,not in model,,,nonlethal,,,,,,
MAGAH160,,,not in model,not in model,not in model,,,nonlethal,,,,,,
G3PDm,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
EX_HC00007_e,,,not in model,not in model,not in model,,,not in model,,,,,,
RE3165C,,,not in model,not in model,not in model,,,not in model,,,,,,
FAOXC1811603m,,,not in model,nonlethal,nonlethal,,,not in model,,,,,,
NMNDA,,,not in model,not in model,not in model,,,nonlethal,,,,,,
G12MT1c,,,not in model,not in model,not in model,,,not in model,,,,,,
ASPTAm,,,not in model,nonlethal,nonlethal,,,not in model,,,,,,
ALCD19_L,,,not in model,nonlethal,not in model,,,not in model,,,,,,
ZNabc,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
ASPO3_1,,,nonlethal,nonlethal,not in model,,,not in model,,,,,,
TRPTRSm,,,not in model,nonlethal,not in model,,,not in model,,,,,,
GLYTA,,,not in model,not in model,not in model,,,nonlethal,,,,,,
DLDLBTc,,,not in model,nonlethal,nonlethal,,,not in model,,,,,,
NARK,,,not in model,not in model,not in model,,,not in model,,,,,,
DM_met__L_c,,,nonlethal,nonlethal,nonlethal,,,nonlethal,,,,,,
ILEt_m,,,not in model,not in model,not in model,,,not in model,,,,,,
CDGS1,,,not in model,not in model,not in model,,,nonlethal,,,,,,
CHOLSH,,,not in model,not in model,not in model,,,not in model,,,,,,
QMO2,,,not in model,nonlethal,nonlethal,,,not in model,,,,,,
PLA2PC_HDE_ALNA_c,,,not in model,not in model,not in model,,,not in model,,,,,,
3NUCLE2,,,not in model,not in model,not in model,,,not in model,,,,,,
HMR_4957,,,nonlethal,not in model,not in model,,,not in model,,,,,,
PSSA160,,,nonlethal,nonlethal,nonlethal,,,not in model,,,,,,
VALVALr,,,nonlethal,not in model,not in model,,,not in model,,,,,,
