,PfalciparumCD01,PfalciparumDd2,EhistolyticaHM1IMSS-A,TgondiiGAB2-2007-GAL-DOM2,Tgondiip89,EhellemATCC50504,CsuisWienI
tag18111Z18111Z1835Z9Z12Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
dh3mchc_c,not present in model,not present in model,not present in model,produced,produced,not present in model,neither
hexACP_m,produced,produced,not present in model,produced,produced,not present in model,produced
ergst_c,produced,produced,neither,neither,neither,neither,neither
aps_m,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
mql6_c,produced,produced,not present in model,produced,produced,not present in model,produced
3dh5hpb_m,neither,neither,not present in model,neither,neither,not present in model,neither
sphs1p_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
3htdcoa_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
nad_e,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
stys_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
tmlgnc_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
pe160_c,produced,produced,produced,produced,produced,neither,produced
acser_m,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
phdcaACP_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
3hbcoa__R_c,not present in model,not present in model,produced,neither,neither,not present in model,not present in model
sucbz_c,neither,neither,neither,neither,neither,not present in model,neither
ribflv_c,neither,neither,neither,neither,neither,neither,neither
hdcea_e,produced,produced,produced,produced,produced,produced,produced
tag18111Z18111Z1819Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
glcurn_c,not present in model,not present in model,neither,neither,neither,not present in model,not present in model
icolipaAR1_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
pt2coa_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
cdpchol_c,produced,produced,produced,produced,produced,produced,produced
pe1801835Z9Z12Z_e,produced,produced,produced,produced,produced,neither,produced
acglc__D_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
3hggdp_c,not present in model,not present in model,not present in model,not present in model,not present in model,produced,not present in model
udpacgal_c,produced,produced,neither,produced,produced,produced,produced
seasmet_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
pgp1819Z160_e,neither,neither,neither,produced,produced,neither,produced
mmmeroacidcyc1AMP_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
adp_c,produced,produced,produced,produced,produced,produced,produced
pa141_c,produced,produced,neither,produced,produced,produced,neither
bhb_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
sph1p_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
dcacoa_c,produced,produced,produced,produced,produced,produced,produced
ergst_e,produced,produced,neither,neither,neither,neither,neither
pg1819Z160_e,neither,neither,neither,neither,neither,neither,neither
pgp18111Z160_e,neither,neither,neither,produced,produced,neither,produced
uppg3_c,neither,neither,not present in model,neither,neither,not present in model,neither
ibt_e,not present in model,not present in model,neither,not present in model,not present in model,not present in model,neither
anhm_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,produced
hdeACP_c,produced,produced,produced,produced,produced,produced,produced
pnto__R_m,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,produced
utp_m,produced,produced,not present in model,produced,produced,not present in model,produced
trdox_c,produced,produced,produced,produced,produced,produced,produced
pa182_9_12_c,neither,neither,not present in model,neither,neither,not present in model,neither
ptth_c,neither,neither,neither,neither,neither,not present in model,neither
glycogen_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
rbflvrd_c,produced,produced,not present in model,produced,produced,produced,not present in model
fecostest_SC_c,neither,neither,not present in model,produced,produced,not present in model,not present in model
5mdr1p_c,neither,neither,neither,neither,neither,not present in model,produced
cechddd_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
pe160_e,produced,produced,produced,produced,produced,neither,produced
hexdp_m,produced,produced,not present in model,produced,produced,not present in model,produced
ahcys_c,produced,produced,produced,produced,produced,produced,produced
idp_m,produced,produced,not present in model,produced,produced,not present in model,produced
focytc_c,produced,produced,not present in model,produced,produced,produced,produced
pa120_c,produced,produced,neither,produced,produced,produced,produced
ocdce9a_c,produced,produced,produced,produced,produced,produced,produced
2ppoh_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
chitob_e,neither,neither,neither,neither,neither,not present in model,neither
hdceap_c,produced,produced,not present in model,produced,produced,not present in model,produced
enter_e,neither,neither,neither,neither,neither,not present in model,neither
epist_c,produced,produced,neither,neither,neither,neither,neither
ergtetrol_c,produced,produced,not present in model,produced,produced,not present in model,produced
ibcoa_c,produced,produced,produced,produced,produced,produced,produced
pimACP_c,produced,produced,neither,neither,neither,neither,neither
mn2_e,neither,neither,neither,neither,neither,neither,neither
2oxoadp_c,neither,neither,not present in model,neither,neither,not present in model,neither
nadh_m,produced,produced,not present in model,produced,produced,not present in model,produced
aflburppa_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
3hibutcoa_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
3mb2coa_m,not present in model,not present in model,not present in model,produced,produced,not present in model,neither
lac__L_m,neither,neither,not present in model,produced,produced,not present in model,neither
cdpdag_SC_c,produced,produced,not present in model,produced,produced,produced,produced
3hptcoa_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
1p3h5c_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
pe_HP_c,produced,produced,not present in model,produced,produced,not present in model,not present in model
sulfac_e,not present in model,not present in model,not present in model,not present in model,not present in model,neither,not present in model
ile__L_m,neither,neither,not present in model,produced,produced,not present in model,produced
dgdg1839Z12Z15Z1637Z10Z13Z_c,produced,produced,not present in model,produced,produced,not present in model,produced
mptamp_c,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
sertrna_c,produced,produced,produced,produced,produced,produced,produced
ala_B_c,not present in model,not present in model,produced,produced,produced,neither,produced
mi134p_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
hxcoa_c,produced,produced,produced,produced,produced,produced,produced
m1ocdca_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
5drib_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
hg2_e,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,neither
lido_e,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
pg180_e,produced,produced,produced,produced,produced,neither,produced
fdxrd_c,produced,produced,produced,produced,produced,produced,produced
sql_c,neither,neither,not present in model,neither,neither,not present in model,neither
2agpe160_c,neither,neither,neither,neither,neither,not present in model,neither
pg18111Z160_e,neither,neither,neither,neither,neither,neither,neither
glyc3p_m,produced,produced,not present in model,produced,produced,not present in model,produced
man_e,not present in model,not present in model,neither,not present in model,not present in model,not present in model,produced
hexc_c,produced,produced,produced,produced,produced,not present in model,produced
gicolipaBR1_c,not present in model,not present in model,not present in model,neither,neither,not present in model,not present in model
mlthf_m,produced,produced,not present in model,produced,produced,not present in model,produced
vanlt_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
q8h2_c,produced,produced,produced,produced,produced,produced,produced
mmmycolate_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
pa1819Z1619Z_c,produced,produced,produced,produced,produced,neither,produced
nmn_e,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
cro4_c,neither,neither,not present in model,neither,neither,neither,neither
dhf_c,produced,produced,not present in model,produced,produced,produced,produced
lplarg_c,produced,produced,not present in model,produced,produced,not present in model,produced
ribflv_m,neither,neither,not present in model,not present in model,not present in model,not present in model,not present in model
itp_c,produced,produced,produced,produced,produced,produced,produced
m_tol_c,not present in model,not present in model,not present in model,neither,neither,not present in model,not present in model
e4hglu_c,not present in model,not present in model,neither,neither,neither,not present in model,neither
lipoate_c,neither,neither,not present in model,neither,neither,not present in model,neither
q6_c,not present in model,not present in model,neither,not present in model,not present in model,neither,not present in model
cgly_e,not present in model,not present in model,not present in model,not present in model,not present in model,produced,not present in model
dgtp_c,produced,produced,produced,produced,produced,produced,produced
mettrna_m,produced,produced,not present in model,produced,produced,not present in model,produced
tsul_c,produced,produced,neither,produced,produced,neither,produced
cbl2_e,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,neither
co2_m,produced,produced,not present in model,produced,produced,not present in model,produced
ttdca_c,produced,produced,produced,produced,produced,produced,produced
btd_RR_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
arab__D_c,neither,neither,neither,neither,neither,neither,neither
fdxrd_m,produced,produced,not present in model,produced,produced,not present in model,produced
agm_c,produced,produced,produced,produced,produced,not present in model,produced
acmum_e,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
Lglyald_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
pmcoa_c,neither,neither,not present in model,neither,neither,neither,neither
2hmcnsad_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
crpxan_c,produced,produced,not present in model,produced,produced,not present in model,produced
ind3eth_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
12dgr1601819Z_c,not present in model,not present in model,produced,produced,produced,produced,produced
3c2hmp_c,neither,neither,not present in model,not present in model,not present in model,not present in model,not present in model
ficytC_c,neither,produced,not present in model,not present in model,not present in model,not present in model,not present in model
Lfmkynr_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
2mbcoa_c,produced,produced,produced,produced,produced,produced,produced
dhpt_c,produced,produced,not present in model,produced,produced,produced,produced
dextrin_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,neither
56dura_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
pgp161_e,neither,neither,neither,produced,produced,neither,produced
ficytc_m,produced,produced,not present in model,produced,produced,not present in model,produced
lanost_c,produced,produced,neither,neither,neither,neither,neither
fa1coa_c,produced,produced,produced,produced,produced,produced,produced
sufse_c,produced,produced,not present in model,produced,produced,not present in model,produced
adocblp_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
fe2_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
bzsuccoa_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
mgdg1829Z12Z1634Z7Z10Z_c,produced,produced,not present in model,produced,produced,not present in model,produced
adphep_DD_c,produced,produced,produced,produced,produced,produced,produced
urcan_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
methf_c,produced,produced,produced,produced,produced,neither,produced
itaccoa_m,produced,produced,not present in model,produced,produced,not present in model,produced
4hthr_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
hpmdtria_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
ficytb5_c,produced,produced,not present in model,produced,produced,not present in model,produced
3hmbcoa_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
dimp_c,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,produced
isomal_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,neither
3spyr_c,produced,produced,produced,produced,produced,not present in model,produced
sqdg1829Z12Z160_c,produced,produced,not present in model,produced,produced,not present in model,produced
pa161_c,produced,produced,neither,produced,produced,produced,produced
cdpdddecg_c,produced,produced,produced,produced,produced,not present in model,produced
trnatyr_c,neither,neither,neither,neither,neither,neither,neither
3hddecACP_c,produced,produced,produced,produced,produced,not present in model,produced
lcts_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
mstrACP_c,neither,neither,not present in model,not present in model,not present in model,not present in model,neither
dmarach_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
ocACP_m,produced,produced,not present in model,produced,produced,not present in model,produced
3omrsACP_c,produced,produced,produced,produced,produced,not present in model,produced
pheme_c,produced,produced,neither,produced,produced,neither,produced
acrn_c,produced,produced,not present in model,not present in model,not present in model,not present in model,not present in model
mag1819Z_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
3hhexACP_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
mql7_c,produced,produced,produced,produced,produced,produced,not present in model
hpdca_c,not present in model,not present in model,produced,produced,produced,not present in model,not present in model
12dag3p_BS_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
pyam5p_c,produced,produced,produced,produced,produced,produced,produced
lipopb_c,produced,produced,not present in model,produced,produced,not present in model,produced
pa183_6_9_12_c,neither,neither,not present in model,neither,neither,not present in model,neither
succ_c,produced,produced,produced,produced,produced,not present in model,produced
tre_c,not present in model,not present in model,not present in model,produced,produced,produced,produced
trnathr_m,neither,neither,not present in model,neither,neither,not present in model,neither
tag1801819Z1845Z9Z12Z15Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
gln__L_m,produced,produced,not present in model,produced,produced,not present in model,produced
fa9coa_c,produced,produced,produced,produced,produced,produced,produced
glp_c,neither,neither,neither,neither,neither,neither,neither
cdpglyc_c,not present in model,not present in model,not present in model,produced,produced,produced,produced
val__L_e,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,neither
colipa_e,neither,neither,neither,neither,neither,neither,neither
pa_c,produced,produced,produced,produced,produced,neither,produced
mg2_c,neither,neither,neither,neither,neither,neither,neither
2agpe141_c,neither,neither,neither,neither,neither,not present in model,neither
glucan4_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
icit_c,produced,produced,not present in model,produced,produced,not present in model,produced
acglu_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
tdecoa_c,produced,produced,produced,produced,produced,produced,produced
suc6p_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,neither
pgp180_c,neither,neither,neither,produced,produced,neither,produced
zymstest_SC_c,neither,neither,not present in model,produced,produced,not present in model,not present in model
ttp_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
focytC_c,produced,produced,not present in model,not present in model,not present in model,not present in model,not present in model
flxr_c,neither,neither,produced,neither,neither,not present in model,neither
etfrd_m,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
oc2coa_c,produced,produced,produced,produced,produced,not present in model,produced
glyc2p_c,not present in model,not present in model,neither,neither,neither,not present in model,neither
decd_tb_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
hgmeACP_c,produced,produced,produced,produced,produced,not present in model,produced
lipo3_24_BS_c,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
mi4p__D_c,not present in model,not present in model,produced,neither,neither,not present in model,neither
nadph_m,produced,produced,not present in model,produced,produced,not present in model,produced
pe1801829Z12Z_e,produced,produced,produced,produced,produced,neither,produced
dxyl5p_c,produced,produced,produced,produced,produced,neither,produced
2hhxdal_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
4hbz_m,neither,neither,not present in model,neither,neither,not present in model,neither
pep_c,produced,produced,produced,produced,produced,produced,produced
acg5sa_m,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
3oxdhscoa_c,neither,neither,not present in model,not present in model,not present in model,not present in model,not present in model
3hdcoa_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
id3acald_m,not present in model,not present in model,not present in model,neither,neither,not present in model,not present in model
trnagly_c,neither,neither,neither,neither,neither,neither,neither
hpmeACP_c,produced,produced,produced,produced,produced,not present in model,produced
cu2_c,neither,neither,not present in model,neither,neither,not present in model,neither
toct2eACP_c,produced,produced,produced,produced,produced,not present in model,produced
pg18111Z1613E_c,produced,produced,not present in model,produced,produced,not present in model,produced
Nbfortyr_c,produced,produced,not present in model,produced,produced,not present in model,not present in model
ppcoa_c,produced,produced,produced,produced,produced,produced,produced
3hfrdp_c,not present in model,not present in model,not present in model,not present in model,not present in model,produced,not present in model
tcggrpp_c,neither,neither,not present in model,neither,neither,neither,neither
ppdima_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
ttdcea_e,produced,produced,neither,neither,neither,neither,neither
13BDglcn_c,produced,produced,not present in model,produced,produced,not present in model,produced
dgdp_c,produced,produced,produced,produced,produced,produced,produced
lgt__S_c,produced,produced,produced,produced,produced,neither,produced
frdp_c,produced,produced,not present in model,produced,produced,produced,produced
34hpp_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
ps141_c,produced,produced,not present in model,neither,neither,neither,neither
3hoctACP_m,produced,produced,not present in model,produced,produced,not present in model,produced
pydxn_c,produced,produced,produced,produced,produced,not present in model,produced
but_e,not present in model,not present in model,produced,not present in model,not present in model,not present in model,neither
degly_e,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
thymd_m,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,produced
prpncoa_c,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
3ohexACP_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
6p2dhglcn_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,produced
egmeACP_c,produced,produced,not present in model,produced,produced,not present in model,produced
tdec2eACP_c,produced,produced,produced,produced,produced,not present in model,produced
udpLa4fn_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
focytC_m,not present in model,produced,not present in model,not present in model,not present in model,not present in model,not present in model
mal__L_c,produced,produced,produced,produced,produced,not present in model,produced
4hbz_c,neither,neither,produced,neither,neither,neither,neither
ppp9_c,produced,produced,produced,neither,neither,not present in model,neither
cdec3eACP_c,produced,produced,neither,neither,neither,not present in model,produced
dgdg1839Z12Z15Z1644Z7Z10Z13Z_c,produced,produced,not present in model,produced,produced,not present in model,produced
ni2_e,neither,neither,neither,neither,neither,neither,neither
citr__L_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
2agpg161_c,neither,neither,neither,neither,neither,not present in model,neither
moadcosh_c,produced,produced,produced,produced,produced,produced,produced
ddca_c,produced,produced,produced,produced,produced,produced,produced
23dhb_c,neither,neither,produced,not present in model,not present in model,not present in model,not present in model
ergstest_SC_c,produced,produced,not present in model,produced,produced,not present in model,produced
ump_c,produced,produced,produced,produced,produced,neither,produced
fdxo_2_2_c,produced,produced,neither,produced,produced,not present in model,produced
dgdg1819Z1627Z10Z_c,produced,produced,not present in model,produced,produced,not present in model,produced
3opimcoa_c,not present in model,not present in model,not present in model,produced,produced,neither,produced
duri_c,produced,produced,produced,produced,produced,neither,not present in model
anhm4p_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,produced
2pglyc_c,neither,neither,not present in model,neither,neither,not present in model,neither
hpyr_m,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
hdd2coa_c,produced,produced,produced,produced,produced,not present in model,produced
phthiocerol_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
pg160_e,produced,produced,produced,produced,produced,neither,produced
manb_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
pe161_e,produced,produced,produced,produced,produced,neither,produced
melt_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
lanostest_SC_c,neither,neither,not present in model,produced,produced,not present in model,not present in model
glyc3p_e,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
pep_m,produced,produced,not present in model,produced,produced,not present in model,produced
pa190190_c,produced,produced,not present in model,not present in model,not present in model,not present in model,produced
iscu_2fe2s_c,produced,produced,produced,produced,produced,produced,produced
pe1829Z12Z1835Z9Z12Z_c,produced,produced,produced,produced,produced,neither,produced
glutrna_gln_c,produced,produced,not present in model,produced,produced,not present in model,produced
chitin_c,not present in model,not present in model,produced,not present in model,not present in model,produced,not present in model
na15dap_c,produced,produced,not present in model,not present in model,not present in model,not present in model,not present in model
gdpgpi_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
asp__L_c,produced,produced,produced,produced,produced,neither,produced
5g2oxpt_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
crncoa_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
glu__L_e,not present in model,not present in model,produced,not present in model,produced,produced,not present in model
cpppg1_c,produced,produced,not present in model,produced,produced,not present in model,produced
mantr_e,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
ptd135bp_SC_c,produced,produced,produced,neither,neither,neither,produced
imp_m,produced,produced,not present in model,produced,produced,not present in model,produced
dd2coa_m,produced,produced,not present in model,produced,produced,not present in model,produced
dvchlda_c,not present in model,not present in model,not present in model,not present in model,produced,not present in model,produced
4hglu_c,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,produced
dhna_c,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
mgdg1839Z12Z15Z1634Z7Z10Z_c,produced,produced,not present in model,produced,produced,not present in model,produced
ogmeACP_c,produced,produced,produced,produced,produced,not present in model,produced
n2o_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
dgdg1829Z12Z160_c,produced,produced,not present in model,produced,produced,not present in model,produced
tag18111Z1819Z1835Z9Z12Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
rhodopsin_c,produced,produced,not present in model,produced,produced,not present in model,produced
dhlam_c,produced,produced,not present in model,produced,produced,not present in model,produced
cer2_26_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
glytrna_c,produced,produced,produced,produced,produced,produced,produced
fmn_m,produced,produced,not present in model,produced,produced,not present in model,produced
2pg_m,neither,neither,not present in model,neither,neither,not present in model,neither
hphhlipa_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
malthx_e,not present in model,not present in model,not present in model,not present in model,produced,not present in model,produced
lnlnca_c,neither,neither,neither,neither,neither,neither,neither
id3acald_c,not present in model,not present in model,neither,neither,neither,not present in model,neither
ptd4ino_SC_c,produced,produced,produced,produced,produced,produced,produced
pe18111Z1829Z12Z_e,produced,produced,produced,produced,produced,neither,produced
4hproara_aragalara_gal_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
betald_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
ala__D_c,neither,neither,not present in model,neither,neither,neither,neither
3c4mop_m,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
udcpp_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
abt__L_c,not present in model,not present in model,not present in model,produced,produced,produced,produced
trnasecys_c,neither,neither,neither,neither,neither,neither,neither
hmgcoa_c,not present in model,not present in model,not present in model,neither,neither,produced,not present in model
Sfglutth_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
din_c,produced,produced,produced,produced,produced,neither,produced
14glun_c,not present in model,not present in model,neither,produced,produced,not present in model,produced
carn_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
bgly_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
ipdp_m,produced,produced,not present in model,produced,produced,not present in model,produced
urea_e,produced,produced,not present in model,not present in model,not present in model,neither,not present in model
datp_c,produced,produced,produced,produced,produced,produced,produced
dgdg1829Z12Z1617Z_c,produced,produced,not present in model,produced,produced,not present in model,produced
udcal_c,not present in model,not present in model,neither,neither,neither,not present in model,not present in model
tmhexc_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
2agpg160_c,neither,neither,neither,neither,neither,not present in model,neither
4mcat_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
cd2_c,neither,neither,neither,not present in model,neither,not present in model,neither
6pgc_c,neither,neither,not present in model,neither,neither,neither,produced
12dgr1819Z18111Z_c,not present in model,not present in model,produced,produced,produced,produced,produced
met__L_m,produced,produced,not present in model,produced,produced,not present in model,produced
acorn_m,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
thymd_c,produced,produced,produced,produced,produced,neither,produced
gthrd_m,produced,produced,not present in model,produced,produced,not present in model,produced
3spyr_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
arachACP_c,produced,produced,produced,produced,produced,not present in model,produced
pcox_e,not present in model,produced,not present in model,not present in model,not present in model,not present in model,not present in model
3ocmrs7eACP_c,produced,produced,produced,produced,produced,not present in model,produced
tartr__D_c,neither,neither,neither,neither,neither,not present in model,neither
ppi_c,produced,produced,produced,produced,produced,produced,produced
ps181_c,produced,produced,not present in model,neither,neither,neither,neither
acaro_c,neither,neither,not present in model,neither,neither,not present in model,neither
ocACP_c,produced,produced,produced,produced,produced,not present in model,produced
rbl__D_c,produced,produced,produced,produced,produced,produced,produced
ca_c,produced,produced,produced,produced,produced,neither,produced
tamocta_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
q6h2_m,produced,produced,not present in model,produced,produced,not present in model,produced
btcoa_c,neither,neither,produced,produced,produced,produced,produced
cys__L_e,not present in model,not present in model,produced,produced,produced,not present in model,produced
phitcoa_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
ctbtcoa_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
glutar_c,neither,neither,neither,produced,produced,not present in model,produced
coa_m,produced,produced,not present in model,produced,produced,not present in model,produced
dad_2_c,produced,produced,produced,produced,produced,neither,produced
3hhcoa_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
meglyxyl_e,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
prephthACP_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
pser__L_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
amet_m,produced,produced,not present in model,produced,produced,not present in model,produced
ptrc_c,produced,produced,produced,produced,neither,neither,neither
asnglcnacglcnacman_man_manman_manman_manmanmanglcglc_c,not present in model,not present in model,neither,neither,neither,not present in model,neither
camp_c,produced,produced,not present in model,produced,produced,not present in model,produced
pyr_m,produced,produced,not present in model,produced,produced,not present in model,produced
pgp160_e,neither,neither,neither,produced,produced,neither,produced
o16a4colipa_c,neither,neither,neither,neither,neither,neither,neither
1agpe18111Z_c,produced,produced,neither,produced,neither,neither,neither
trnahis_m,neither,neither,not present in model,neither,neither,not present in model,neither
acald_c,produced,produced,produced,produced,produced,produced,produced
salchs4_c,neither,neither,neither,neither,neither,not present in model,neither
dhlplarg_c,neither,neither,not present in model,neither,neither,not present in model,neither
cell6_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
nmn_c,neither,neither,produced,neither,neither,not present in model,neither
ps180_c,produced,produced,not present in model,neither,neither,neither,neither
cdpdodec6912eg_c,produced,produced,not present in model,produced,produced,not present in model,produced
met__D_c,neither,neither,neither,neither,neither,neither,not present in model
hxa_e,neither,neither,produced,produced,produced,neither,neither
fru_B_c,neither,neither,produced,produced,produced,not present in model,not present in model
13ppd_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
bz12diol_c,produced,produced,not present in model,produced,produced,not present in model,neither
gmhep17bp_c,produced,produced,produced,produced,produced,produced,produced
m4macchitppdol_c,not present in model,not present in model,not present in model,not present in model,not present in model,produced,not present in model
35ccmp_c,neither,neither,not present in model,neither,neither,not present in model,neither
xyl__D_e,neither,neither,produced,neither,neither,neither,neither
3mop_m,produced,produced,not present in model,produced,produced,not present in model,produced
tgua_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
rib__D_e,neither,neither,produced,produced,produced,neither,produced
for_m,produced,produced,not present in model,produced,not present in model,not present in model,not present in model
acetol_c,produced,produced,produced,produced,produced,produced,produced
cl_e,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
ptal_c,not present in model,not present in model,neither,neither,neither,not present in model,not present in model
mssg_c,not present in model,not present in model,not present in model,not present in model,produced,not present in model,not present in model
ptd3ino_SC_c,produced,produced,produced,produced,produced,produced,produced
pa140_c,produced,produced,neither,produced,produced,produced,produced
5mdru1p_c,produced,produced,produced,produced,produced,not present in model,not present in model
ahcys_m,produced,produced,not present in model,produced,produced,not present in model,produced
met__L_c,produced,produced,produced,produced,produced,neither,produced
4hproaraaragalara_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
asntrna_m,produced,produced,not present in model,produced,produced,not present in model,produced
manttr_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
g6p_A_c,produced,produced,produced,produced,produced,produced,produced
