,TgondiiGT1,TgondiiME49,Pfalciparum3D7_generic_biomass,Pfalciparum3D7_species_biomass,PbergheiANKA_generic_biomass,PbergheiANKA_species_biomass,PcynomolgiB_generic_biomass,PcynomolgiB_species_biomass,PvivaxSal1_generic_biomass,PvivaxSal1_species_biomass,ChominisTU502_2012,CparvumIowaII,PknowlesiH_generic_biomass,PknowlesiH_species_biomass,Pfalciparum3D7_without_ortho_generic_biomass,Pfalciparum3D7_without_ortho_species_biomass,PbergheiANKA_without_ortho_generic_biomass,PbergheiANKA_without_ortho_species_biomass,PcynomolgiB_without_ortho_generic_biomass,PcynomolgiB_without_ortho_species_biomass,PvivaxSal1_without_ortho_generic_biomass,PvivaxSal1_without_ortho_species_biomass,PknowlesiH_without_ortho_generic_biomass,PknowlesiH_without_ortho_species_biomass,pfal2018,pviv2018,pber2018,pkno2018,pcyn2018,ipfa2017,tg2015,itgo2020,ipbe2019_blood,ipbe2019_liver,iPfal19
R04162_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0000000000000029,NA,NA,NA
CBFCc,NA,NA,0.9999999999999986,0.9999999999999986,1.0000000000000004,1.0000000000000004,0.9999999999999979,0.9999999999999979,0.9999999999999994,0.9999999999999994,NA,NA,0.9999999999999999,0.9999999999999999,0.9999999999999987,0.9999999999999987,2.0591138536487594e-11,2.0591138536487594e-11,0.9999999999999959,0.9999999999999959,0.0,0.0,0.9999999999999988,0.9999999999999988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALTabc,0.9999999999999959,1.0000000000000007,NA,NA,NA,NA,0.9999999999999998,0.9999999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999964,0.9999999999999964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARGt2r,NA,NA,NA,NA,0.41849925254357073,0.41849925254357073,0.3277946936277998,0.3277946936277998,0.4224698649524726,0.4224698649524726,NA,NA,0.46925200216604307,0.46925200216604307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000000000001
R04984_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0000000000000038,NA,NA,NA
EXCbothC00058_e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999998163,0.999999999999677,NA
EXC_BOTH_C06612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA
AGPOP,1.0000000000000002,1.0,0.9999999999999992,0.9999999999999992,1.0,1.0,1.0000000000000013,1.0000000000000013,0.999999999999999,0.999999999999999,0.9999999999999148,0.9999999999935643,1.0000000000000009,1.0000000000000009,0.9999999999999989,0.9999999999999989,1.0000000000000016,1.0000000000000016,0.9999999999999966,0.9999999999999966,0.9999999999999996,0.9999999999999996,0.999999999999999,0.999999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EX_taur_e,0.9999999999999963,1.0000000000000007,0.9999999999999976,0.9999999999999976,0.9999999999999991,0.9999999999999991,NA,NA,0.9999999999999994,0.9999999999999994,0.9999999999999246,0.9999999999999867,1.0000000000000004,1.0000000000000004,1.000000000000001,1.000000000000001,1.0000000000000009,1.0000000000000009,NA,NA,0.9999999999999997,0.9999999999999997,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R01325_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999993,NA,NA,NA
MTAM_nh4,1.0000000000000007,1.0000000000000027,0.9999999999999998,0.9999999999999998,0.9999999999999993,0.9999999999999993,1.0000000000000002,1.0000000000000002,0.9999999999999994,0.9999999999999994,NA,NA,1.0000000000000007,1.0000000000000007,0.9999999999999991,0.9999999999999991,1.000000000000001,1.000000000000001,0.9999999999999966,0.9999999999999966,0.9999999999999982,0.9999999999999982,1.0000000000000002,1.0000000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UDPG4E,1.000000000000006,1.0000000000000018,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999245,0.9999999999999847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tc2mC00037_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0000000000000333,0.0,NA
EXCbothC11537_e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999544,0.9999999999997596,NA
R08954_TGME49_304480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA
EXC_BOTH_C05198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,NA,NA,NA
Tc2eC04281_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000000000089,0.9999999999996967,NA
R04425_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA
FACOAL80,0.9999999999999947,1.0000000000000058,0.9999999999999986,0.9999999999999986,0.9999999999999991,0.9999999999999991,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999236,0.9999999999999848,1.0000000000000013,1.0000000000000013,1.0000000000000013,1.0000000000000013,0.9999999999999986,0.9999999999999986,0.9999999999999968,0.9999999999999968,0.9999999999999989,0.9999999999999989,0.9999999999999929,0.9999999999999929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
