,TgondiiGT1,TgondiiME49,Pfalciparum3D7_generic_biomass,Pfalciparum3D7_species_biomass,PbergheiANKA_generic_biomass,PbergheiANKA_species_biomass,PcynomolgiB_generic_biomass,PcynomolgiB_species_biomass,PvivaxSal1_generic_biomass,PvivaxSal1_species_biomass,ChominisTU502_2012,CparvumIowaII,PknowlesiH_generic_biomass,PknowlesiH_species_biomass,Pfalciparum3D7_without_ortho_generic_biomass,Pfalciparum3D7_without_ortho_species_biomass,PbergheiANKA_without_ortho_generic_biomass,PbergheiANKA_without_ortho_species_biomass,PcynomolgiB_without_ortho_generic_biomass,PcynomolgiB_without_ortho_species_biomass,PvivaxSal1_without_ortho_generic_biomass,PvivaxSal1_without_ortho_species_biomass,PknowlesiH_without_ortho_generic_biomass,PknowlesiH_without_ortho_species_biomass,pfal2018,pviv2018,pber2018,pkno2018,pcyn2018,ipfa2017,tg2015,iPfal19
ENLIPIDAt1exc,0.9999999999998574,0.9999999999999989,0.9999999999999987,0.9999999999999987,NA,NA,NA,NA,1.0000000000000002,1.0000000000000002,0.9999999999999968,1.0000000000000193,0.9999999999999984,0.9999999999999984,0.9999999999999936,0.9999999999999936,NA,NA,NA,NA,0.999999999999965,0.999999999999965,1.0000000000000004,1.0000000000000004,NA,NA,NA,NA,NA,NA,NA,NA
R07384_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000000000001,NA,NA
PYAM5PO,0.9999999999998569,1.0000000000000002,0.9999999999999982,0.9999999999999982,0.9960889386259537,0.9960889386259537,0.9964292069561427,0.9964292069561427,0.9871532414621027,0.9871532414621027,NA,NA,0.9903640420113161,0.9903640420113161,0.9999999999999912,0.9999999999999912,1.0000000000019684,1.0000000000019684,0.9999999999999927,0.9999999999999927,0.9999999999999657,0.9999999999999657,1.0000000000000002,1.0000000000000002,0.9999999999999996,1.0000000000000002,0.9999999999999997,1.0000000000000004,1.0000000000000018,NA,NA,0.9999999999999633
FACOAL1831,0.9999999999998574,0.9999999999999981,0.9999999999999982,0.9999999999999982,0.9999999999999987,0.9999999999999987,0.9999999999999984,0.9999999999999984,1.0000000000000004,1.0000000000000004,0.999999999999999,1.0000000000000153,0.9999999999999986,0.9999999999999986,0.9999999999999907,0.9999999999999907,1.0000000000019709,1.0000000000019709,1.0000000000000124,1.0000000000000124,0.9999999999999657,0.9999999999999657,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA
T_c_to_e_C03344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
AGPATCOA1819Z18111Z,NA,NA,0.9999999999999989,0.9999999999999989,0.9999999999999999,0.9999999999999999,0.9999999999999979,0.9999999999999979,1.0000000000000007,1.0000000000000007,0.9999999999998896,1.0000000000000182,0.9999999999999997,0.9999999999999997,0.999999999999992,0.999999999999992,1.0000000000019718,1.0000000000019718,1.0000000000000049,1.0000000000000049,0.9999999999999645,0.9999999999999645,1.0000000000000022,1.0000000000000022,NA,NA,NA,NA,NA,NA,NA,NA
EX_arg_DASH_L_LPAREN_e_RPAREN_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7950806522214244,0.7950806522242566,0.7673154810782773,0.7602477090280942,0.7549672445982697,NA,NA,NA
G3PD2m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000000000004,0.9999999999999999,1.0000000000000047,0.9999999999999981,1.000000000000001,NA,NA,NA
R07766_TGME49_315640_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
Q00184_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
